experiment,condition,environment,seed,adaptation_budget,success_rate,adaptation_auc,episodes_to_50,episodes_to_80,sample_saving_to_50,sample_saving_to_80,transfer_gain_vs_from_scratch,unseen_prediction_calibration_error
transfer,from_scratch_contextual_policy,opaque_dependency_l6,1009,0,0.0,0.09375,,,,,0.09375,0.05
transfer,from_scratch_contextual_policy,opaque_dependency_l6,1009,1,0.0,0.09375,,,,,0.09375,0.05
transfer,from_scratch_contextual_policy,opaque_dependency_l6,1009,4,0.0,0.09375,,,,,0.09375,0.05
transfer,from_scratch_contextual_policy,opaque_dependency_l6,1009,16,0.0,0.09375,,,,,0.09375,0.05
transfer,from_scratch_contextual_policy,opaque_dependency_l6,1009,64,0.25,0.09375,,,,,0.09375,0.05
transfer,from_scratch_contextual_policy,opaque_dependency_l6,1061,0,0.0,0.09375,,,,,0.046875,0.05
transfer,from_scratch_contextual_policy,opaque_dependency_l6,1061,1,0.0,0.09375,,,,,0.046875,0.05
transfer,from_scratch_contextual_policy,opaque_dependency_l6,1061,4,0.0,0.09375,,,,,0.046875,0.05
transfer,from_scratch_contextual_policy,opaque_dependency_l6,1061,16,0.0,0.09375,,,,,0.046875,0.05
transfer,from_scratch_contextual_policy,opaque_dependency_l6,1061,64,0.25,0.09375,,,,,0.046875,0.05
transfer,from_scratch_contextual_policy,opaque_dependency_l6,1103,0,0.0,0.046875,,,,,-0.2109375,0.025
transfer,from_scratch_contextual_policy,opaque_dependency_l6,1103,1,0.0,0.046875,,,,,-0.2109375,0.025
transfer,from_scratch_contextual_policy,opaque_dependency_l6,1103,4,0.0,0.046875,,,,,-0.2109375,0.025
transfer,from_scratch_contextual_policy,opaque_dependency_l6,1103,16,0.0,0.046875,,,,,-0.2109375,0.025
transfer,from_scratch_contextual_policy,opaque_dependency_l6,1103,64,0.125,0.046875,,,,,-0.2109375,0.025
transfer,from_scratch_contextual_policy,opaque_dependency_l6,1151,0,0.0,0.046875,,,,,0.0,0.025
transfer,from_scratch_contextual_policy,opaque_dependency_l6,1151,1,0.0,0.046875,,,,,0.0,0.025
transfer,from_scratch_contextual_policy,opaque_dependency_l6,1151,4,0.0,0.046875,,,,,0.0,0.025
transfer,from_scratch_contextual_policy,opaque_dependency_l6,1151,16,0.0,0.046875,,,,,0.0,0.025
transfer,from_scratch_contextual_policy,opaque_dependency_l6,1151,64,0.125,0.046875,,,,,0.0,0.025
transfer,from_scratch_contextual_policy,opaque_dependency_l6,1201,0,0.0,0.09375,,,,,0.046875,0.05
transfer,from_scratch_contextual_policy,opaque_dependency_l6,1201,1,0.0,0.09375,,,,,0.046875,0.05
transfer,from_scratch_contextual_policy,opaque_dependency_l6,1201,4,0.0,0.09375,,,,,0.046875,0.05
transfer,from_scratch_contextual_policy,opaque_dependency_l6,1201,16,0.0,0.09375,,,,,0.046875,0.05
transfer,from_scratch_contextual_policy,opaque_dependency_l6,1201,64,0.25,0.09375,,,,,0.046875,0.05
transfer,from_scratch_contextual_policy,opaque_dependency_l6,1259,0,0.0,0.15234375,,,,,0.10546875,0.075
transfer,from_scratch_contextual_policy,opaque_dependency_l6,1259,1,0.0,0.15234375,,,,,0.10546875,0.075
transfer,from_scratch_contextual_policy,opaque_dependency_l6,1259,4,0.0,0.15234375,,,,,0.10546875,0.075
transfer,from_scratch_contextual_policy,opaque_dependency_l6,1259,16,0.125,0.15234375,,,,,0.10546875,0.075
transfer,from_scratch_contextual_policy,opaque_dependency_l6,1259,64,0.25,0.15234375,,,,,0.10546875,0.075
transfer,from_scratch_contextual_policy,opaque_dependency_l6,1301,0,0.0,0.1708984375,,,,,0.046875,0.125
transfer,from_scratch_contextual_policy,opaque_dependency_l6,1301,1,0.125,0.1708984375,,,,,0.046875,0.125
transfer,from_scratch_contextual_policy,opaque_dependency_l6,1301,4,0.125,0.1708984375,,,,,0.046875,0.125
transfer,from_scratch_contextual_policy,opaque_dependency_l6,1301,16,0.125,0.1708984375,,,,,0.046875,0.125
transfer,from_scratch_contextual_policy,opaque_dependency_l6,1301,64,0.25,0.1708984375,,,,,0.046875,0.125
transfer,from_scratch_contextual_policy,opaque_dependency_l6,131,0,0.0,0.15234375,,,,,0.05859375,0.075
transfer,from_scratch_contextual_policy,opaque_dependency_l6,131,1,0.0,0.15234375,,,,,0.05859375,0.075
transfer,from_scratch_contextual_policy,opaque_dependency_l6,131,4,0.0,0.15234375,,,,,0.05859375,0.075
transfer,from_scratch_contextual_policy,opaque_dependency_l6,131,16,0.125,0.15234375,,,,,0.05859375,0.075
transfer,from_scratch_contextual_policy,opaque_dependency_l6,131,64,0.25,0.15234375,,,,,0.05859375,0.075
transfer,from_scratch_contextual_policy,opaque_dependency_l6,1361,0,0.0,0.046875,,,,,0.0,0.025
transfer,from_scratch_contextual_policy,opaque_dependency_l6,1361,1,0.0,0.046875,,,,,0.0,0.025
transfer,from_scratch_contextual_policy,opaque_dependency_l6,1361,4,0.0,0.046875,,,,,0.0,0.025
transfer,from_scratch_contextual_policy,opaque_dependency_l6,1361,16,0.0,0.046875,,,,,0.0,0.025
transfer,from_scratch_contextual_policy,opaque_dependency_l6,1361,64,0.125,0.046875,,,,,0.0,0.025
transfer,from_scratch_contextual_policy,opaque_dependency_l6,1423,0,0.0,0.046875,,,,,-0.1787109375,0.025
transfer,from_scratch_contextual_policy,opaque_dependency_l6,1423,1,0.0,0.046875,,,,,-0.1787109375,0.025
transfer,from_scratch_contextual_policy,opaque_dependency_l6,1423,4,0.0,0.046875,,,,,-0.1787109375,0.025
transfer,from_scratch_contextual_policy,opaque_dependency_l6,1423,16,0.0,0.046875,,,,,-0.1787109375,0.025
transfer,from_scratch_contextual_policy,opaque_dependency_l6,1423,64,0.125,0.046875,,,,,-0.1787109375,0.025
transfer,from_scratch_contextual_policy,opaque_dependency_l6,1481,0,0.0,0.09375,,,,,0.09375,0.05
transfer,from_scratch_contextual_policy,opaque_dependency_l6,1481,1,0.0,0.09375,,,,,0.09375,0.05
transfer,from_scratch_contextual_policy,opaque_dependency_l6,1481,4,0.0,0.09375,,,,,0.09375,0.05
transfer,from_scratch_contextual_policy,opaque_dependency_l6,1481,16,0.0,0.09375,,,,,0.09375,0.05
transfer,from_scratch_contextual_policy,opaque_dependency_l6,1481,64,0.25,0.09375,,,,,0.09375,0.05
transfer,from_scratch_contextual_policy,opaque_dependency_l6,1543,0,0.0,0.046875,,,,,-0.05859375,0.025
transfer,from_scratch_contextual_policy,opaque_dependency_l6,1543,1,0.0,0.046875,,,,,-0.05859375,0.025
transfer,from_scratch_contextual_policy,opaque_dependency_l6,1543,4,0.0,0.046875,,,,,-0.05859375,0.025
transfer,from_scratch_contextual_policy,opaque_dependency_l6,1543,16,0.0,0.046875,,,,,-0.05859375,0.025
transfer,from_scratch_contextual_policy,opaque_dependency_l6,1543,64,0.125,0.046875,,,,,-0.05859375,0.025
