experiment,suite,condition,environment,model,phase,action_family,seed,episode_rows,success,steps,high_level_steps,primitive_steps,reward,errors,repeats,prediction_score,holdout_score,holdout_gain,imagined_nodes,imagination_depth,actual_return,runtime_seconds,real_transitions,imagined_transitions,action_proposals,novelty_score,repeat_rate,error_rate,learning_auc,final_tail_success,first_success_real_transitions,adaptation_auc,episodes_to_50,episodes_to_80,transfer_gain_vs_from_scratch,sample_saving_to_50,sample_saving_to_80,unseen_prediction_calibration_error
ablation,ablation,contextual_policy,opaque_dependency_l6,none,evaluation_seen,opaque,1009,200,0.0,6.0,6.0,6.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0033845730003667996,6.0,0.0,6.0,,0.0,0.0,,,,,,,,,,
ablation,ablation,contextual_policy,opaque_dependency_l6,none,evaluation_seen,opaque,1061,200,0.0,6.0,6.0,6.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0029983004997484386,6.0,0.0,6.0,,0.0,0.0,,,,,,,,,,
ablation,ablation,contextual_policy,opaque_dependency_l6,none,evaluation_seen,opaque,1103,200,0.0,6.0,6.0,6.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0035397650001687,6.0,0.0,6.0,,0.0,0.0,,,,,,,,,,
ablation,ablation,contextual_policy,opaque_dependency_l6,none,evaluation_seen,opaque,1151,200,0.0,6.0,6.0,6.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.003283119499537861,6.0,0.0,6.0,,0.0,0.0,,,,,,,,,,
ablation,ablation,contextual_policy,opaque_dependency_l6,none,evaluation_seen,opaque,1201,200,0.0,6.0,6.0,6.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0025398204999510197,6.0,0.0,6.0,,0.0,0.0,,,,,,,,,,
ablation,ablation,contextual_policy,opaque_dependency_l6,none,evaluation_seen,opaque,1259,200,0.0,6.0,6.0,6.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0031615065010555552,6.0,0.0,6.0,,0.0,0.0,,,,,,,,,,
ablation,ablation,contextual_policy,opaque_dependency_l6,none,evaluation_seen,opaque,1301,200,0.0,6.0,6.0,6.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.002644153499713866,6.0,0.0,6.0,,0.0,0.0,,,,,,,,,,
ablation,ablation,contextual_policy,opaque_dependency_l6,none,evaluation_seen,opaque,131,200,0.0,6.0,6.0,6.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.003197552500641905,6.0,0.0,6.0,,0.0,0.0,,,,,,,,,,
ablation,ablation,contextual_policy,opaque_dependency_l6,none,evaluation_seen,opaque,1361,200,0.0,6.0,6.0,6.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0030453219993796664,6.0,0.0,6.0,,0.0,0.0,,,,,,,,,,
ablation,ablation,contextual_policy,opaque_dependency_l6,none,evaluation_seen,opaque,1423,200,0.0,6.0,6.0,6.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0027780444991367405,6.0,0.0,6.0,,0.0,0.0,,,,,,,,,,
