experiment,suite,environment,phase,metric,target,baseline,paired_seed_count,target_mean,baseline_mean,paired_mean_difference,ci95_low,ci95_high,effect_size_dz,p_value,oracle_excluded,p_value_holm
autonomy,autonomy,opaque_dependency_l4,evaluation_seen,success,full_aassr,contextual_policy,30,0.0,0.0,0.0,0.0,0.0,0.0,1.0,True,1.0
autonomy,autonomy,opaque_dependency_l4,evaluation_seen,steps,full_aassr,contextual_policy,30,4.0,4.0,0.0,0.0,0.0,0.0,1.0,True,1.0
autonomy,autonomy,opaque_dependency_l4,evaluation_seen,high_level_steps,full_aassr,contextual_policy,30,4.0,4.0,0.0,0.0,0.0,0.0,1.0,True,1.0
autonomy,autonomy,opaque_dependency_l4,evaluation_seen,primitive_steps,full_aassr,contextual_policy,30,4.0,4.0,0.0,0.0,0.0,0.0,1.0,True,1.0
autonomy,autonomy,opaque_dependency_l4,evaluation_seen,reward,full_aassr,contextual_policy,30,0.0,0.0,0.0,0.0,0.0,0.0,1.0,True,1.0
autonomy,autonomy,opaque_dependency_l4,evaluation_seen,errors,full_aassr,contextual_policy,30,0.0,0.0,0.0,0.0,0.0,0.0,1.0,True,1.0
autonomy,autonomy,opaque_dependency_l4,evaluation_seen,repeats,full_aassr,contextual_policy,30,0.0,0.0,0.0,0.0,0.0,0.0,1.0,True,1.0
autonomy,autonomy,opaque_dependency_l4,evaluation_seen,prediction_score,full_aassr,contextual_policy,30,0.0,0.0,0.0,0.0,0.0,0.0,1.0,True,1.0
autonomy,autonomy,opaque_dependency_l4,evaluation_seen,holdout_score,full_aassr,contextual_policy,30,1.0,0.0,1.0,0.9999999999999999,1.0,1.7751104772046158e+16,4.999750012499375e-05,True,0.00014999250037498125
autonomy,autonomy,opaque_dependency_l4,evaluation_seen,imagined_nodes,full_aassr,contextual_policy,30,0.0,0.0,0.0,0.0,0.0,0.0,1.0,True,1.0
autonomy,autonomy,opaque_dependency_l4,evaluation_seen,imagination_depth,full_aassr,contextual_policy,30,0.0,0.0,0.0,0.0,0.0,0.0,1.0,True,1.0
autonomy,autonomy,opaque_dependency_l4,evaluation_seen,actual_return,full_aassr,contextual_policy,30,0.0,0.0,0.0,0.0,0.0,0.0,1.0,True,1.0
autonomy,autonomy,opaque_dependency_l4,evaluation_seen,runtime_seconds,full_aassr,contextual_policy,30,0.0023708782000176143,0.001973741316459685,0.0003971368835579293,0.0002852316836748893,0.0004976970671462671,1.3361601053951884,4.999750012499375e-05,True,0.00024998750062496874
autonomy,autonomy,opaque_dependency_l4,evaluation_seen,real_transitions,full_aassr,contextual_policy,30,4.0,4.0,0.0,0.0,0.0,0.0,1.0,True,1.0
autonomy,autonomy,opaque_dependency_l4,evaluation_seen,imagined_transitions,full_aassr,contextual_policy,30,0.0,0.0,0.0,0.0,0.0,0.0,1.0,True,1.0
autonomy,autonomy,opaque_dependency_l4,evaluation_seen,action_proposals,full_aassr,contextual_policy,30,4.0,4.0,0.0,0.0,0.0,0.0,1.0,True,1.0
autonomy,autonomy,opaque_dependency_l4,evaluation_seen,repeat_rate,full_aassr,contextual_policy,30,0.0,0.0,0.0,0.0,0.0,0.0,1.0,True,1.0
autonomy,autonomy,opaque_dependency_l4,evaluation_seen,error_rate,full_aassr,contextual_policy,30,0.0,0.0,0.0,0.0,0.0,0.0,1.0,True,1.0
autonomy,autonomy,opaque_dependency_l4,evaluation_seen,success,full_aassr,dqn,30,0.0,0.1,-0.1,-0.15,-0.05,-0.7101745039685363,0.0008499575021248938,True,0.003399830008499575
autonomy,autonomy,opaque_dependency_l4,evaluation_seen,steps,full_aassr,dqn,30,4.0,4.0,0.0,0.0,0.0,0.0,1.0,True,1.0
