experiment,suite,environment,phase,metric,target,baseline,paired_seed_count,target_mean,baseline_mean,paired_mean_difference,ci95_low,ci95_high,effect_size_dz,p_value,oracle_excluded,p_value_holm
creativity,creativity,multi_solution_dependency,evaluation_unseen_adaptation,success,full_aassr,aassr_no_imagination,30,1.0,1.0,0.0,0.0,0.0,0.0,1.0,True,1.0
creativity,creativity,multi_solution_dependency,evaluation_unseen_adaptation,steps,full_aassr,aassr_no_imagination,30,3.3333333333333335,3.3333333333333335,0.0,0.0,0.0,0.0,1.0,True,1.0
creativity,creativity,multi_solution_dependency,evaluation_unseen_adaptation,high_level_steps,full_aassr,aassr_no_imagination,30,3.3333333333333335,3.3333333333333335,0.0,0.0,0.0,0.0,1.0,True,1.0
creativity,creativity,multi_solution_dependency,evaluation_unseen_adaptation,primitive_steps,full_aassr,aassr_no_imagination,30,3.3333333333333335,3.3333333333333335,0.0,0.0,0.0,0.0,1.0,True,1.0
creativity,creativity,multi_solution_dependency,evaluation_unseen_adaptation,reward,full_aassr,aassr_no_imagination,30,1.0,1.0,0.0,0.0,0.0,0.0,1.0,True,1.0
creativity,creativity,multi_solution_dependency,evaluation_unseen_adaptation,errors,full_aassr,aassr_no_imagination,30,0.0,0.0,0.0,0.0,0.0,0.0,1.0,True,1.0
creativity,creativity,multi_solution_dependency,evaluation_unseen_adaptation,repeats,full_aassr,aassr_no_imagination,30,0.0,0.0,0.0,0.0,0.0,0.0,1.0,True,1.0
creativity,creativity,multi_solution_dependency,evaluation_unseen_adaptation,imagined_nodes,full_aassr,aassr_no_imagination,30,0.0,0.0,0.0,0.0,0.0,0.0,1.0,True,1.0
creativity,creativity,multi_solution_dependency,evaluation_unseen_adaptation,actual_return,full_aassr,aassr_no_imagination,30,1.0,1.0,0.0,0.0,0.0,0.0,1.0,True,1.0
creativity,creativity,multi_solution_dependency,evaluation_unseen_adaptation,runtime_seconds,full_aassr,aassr_no_imagination,30,0.00036673000108243694,0.00026419333395703387,0.00010253666712540305,9.417889102931236e-05,0.00011070333356555139,4.420010424174594,4.999750012499375e-05,True,0.0002999850007499625
creativity,creativity,multi_solution_dependency,evaluation_unseen_adaptation,real_transitions,full_aassr,aassr_no_imagination,30,3.3333333333333335,3.3333333333333335,0.0,0.0,0.0,0.0,1.0,True,1.0
creativity,creativity,multi_solution_dependency,evaluation_unseen_adaptation,imagined_transitions,full_aassr,aassr_no_imagination,30,0.0,0.0,0.0,0.0,0.0,0.0,1.0,True,1.0
creativity,creativity,multi_solution_dependency,evaluation_unseen_adaptation,action_proposals,full_aassr,aassr_no_imagination,30,3.3333333333333335,3.3333333333333335,0.0,0.0,0.0,0.0,1.0,True,1.0
creativity,creativity,multi_solution_dependency,evaluation_unseen_adaptation,novelty_score,full_aassr,aassr_no_imagination,30,1.0,1.0,0.0,0.0,0.0,0.0,1.0,True,1.0
creativity,creativity,multi_solution_dependency,evaluation_unseen_adaptation,repeat_rate,full_aassr,aassr_no_imagination,30,0.0,0.0,0.0,0.0,0.0,0.0,1.0,True,1.0
creativity,creativity,multi_solution_dependency,evaluation_unseen_adaptation,error_rate,full_aassr,aassr_no_imagination,30,0.0,0.0,0.0,0.0,0.0,0.0,1.0,True,1.0
creativity,creativity,multi_solution_dependency,evaluation_unseen_adaptation,success,full_aassr,aassr_no_novelty,30,1.0,1.0,0.0,0.0,0.0,0.0,1.0,True,1.0
creativity,creativity,multi_solution_dependency,evaluation_unseen_adaptation,steps,full_aassr,aassr_no_novelty,30,3.3333333333333335,3.3333333333333335,0.0,0.0,0.0,0.0,1.0,True,1.0
creativity,creativity,multi_solution_dependency,evaluation_unseen_adaptation,high_level_steps,full_aassr,aassr_no_novelty,30,3.3333333333333335,3.3333333333333335,0.0,0.0,0.0,0.0,1.0,True,1.0
creativity,creativity,multi_solution_dependency,evaluation_unseen_adaptation,primitive_steps,full_aassr,aassr_no_novelty,30,3.3333333333333335,3.3333333333333335,0.0,0.0,0.0,0.0,1.0,True,1.0
creativity,creativity,multi_solution_dependency,evaluation_unseen_adaptation,reward,full_aassr,aassr_no_novelty,30,1.0,1.0,0.0,0.0,0.0,0.0,1.0,True,1.0
creativity,creativity,multi_solution_dependency,evaluation_unseen_adaptation,errors,full_aassr,aassr_no_novelty,30,0.0,0.0,0.0,0.0,0.0,0.0,1.0,True,1.0
creativity,creativity,multi_solution_dependency,evaluation_unseen_adaptation,repeats,full_aassr,aassr_no_novelty,30,0.0,0.0,0.0,0.0,0.0,0.0,1.0,True,1.0
creativity,creativity,multi_solution_dependency,evaluation_unseen_adaptation,imagined_nodes,full_aassr,aassr_no_novelty,30,0.0,0.0,0.0,0.0,0.0,0.0,1.0,True,1.0
creativity,creativity,multi_solution_dependency,evaluation_unseen_adaptation,actual_return,full_aassr,aassr_no_novelty,30,1.0,1.0,0.0,0.0,0.0,0.0,1.0,True,1.0
creativity,creativity,multi_solution_dependency,evaluation_unseen_adaptation,runtime_seconds,full_aassr,aassr_no_novelty,30,0.00036673000108243694,0.00036804777822302035,-1.3177771405834333e-06,-2.1618885026934258e-05,1.4882220097610518e-05,-0.025577591094516655,0.9002549872506375,True,0.9002549872506375
creativity,creativity,multi_solution_dependency,evaluation_unseen_adaptation,real_transitions,full_aassr,aassr_no_novelty,30,3.3333333333333335,3.3333333333333335,0.0,0.0,0.0,0.0,1.0,True,1.0
creativity,creativity,multi_solution_dependency,evaluation_unseen_adaptation,imagined_transitions,full_aassr,aassr_no_novelty,30,0.0,0.0,0.0,0.0,0.0,0.0,1.0,True,1.0
creativity,creativity,multi_solution_dependency,evaluation_unseen_adaptation,action_proposals,full_aassr,aassr_no_novelty,30,3.3333333333333335,3.3333333333333335,0.0,0.0,0.0,0.0,1.0,True,1.0
creativity,creativity,multi_solution_dependency,evaluation_unseen_adaptation,novelty_score,full_aassr,aassr_no_novelty,30,1.0,1.0,0.0,0.0,0.0,0.0,1.0,True,1.0
creativity,creativity,multi_solution_dependency,evaluation_unseen_adaptation,repeat_rate,full_aassr,aassr_no_novelty,30,0.0,0.0,0.0,0.0,0.0,0.0,1.0,True,1.0
creativity,creativity,multi_solution_dependency,evaluation_unseen_adaptation,error_rate,full_aassr,aassr_no_novelty,30,0.0,0.0,0.0,0.0,0.0,0.0,1.0,True,1.0
creativity,creativity,multi_solution_dependency,evaluation_unseen_adaptation,success,full_aassr,dqn,30,1.0,1.0,0.0,0.0,0.0,0.0,1.0,True,1.0
creativity,creativity,multi_solution_dependency,evaluation_unseen_adaptation,steps,full_aassr,dqn,30,3.3333333333333335,3.1,0.2333333333333335,0.05555555555555576,0.4222222222222224,0.46295659455985266,0.021898905054747262,True,0.13139343032848358
creativity,creativity,multi_solution_dependency,evaluation_unseen_adaptation,high_level_steps,full_aassr,dqn,30,3.3333333333333335,3.1,0.2333333333333335,0.055555555555555726,0.41111111111111126,0.46295659455985266,0.021648917554122293,True,0.12989350532473376
creativity,creativity,multi_solution_dependency,evaluation_unseen_adaptation,primitive_steps,full_aassr,dqn,30,3.3333333333333335,3.1,0.2333333333333335,0.06666666666666682,0.4111111111111112,0.46295659455985266,0.024998750062496876,True,0.14999250037498124
creativity,creativity,multi_solution_dependency,evaluation_unseen_adaptation,reward,full_aassr,dqn,30,1.0,1.0,0.0,0.0,0.0,0.0,1.0,True,1.0
creativity,creativity,multi_solution_dependency,evaluation_unseen_adaptation,errors,full_aassr,dqn,30,0.0,0.0,0.0,0.0,0.0,0.0,1.0,True,1.0
creativity,creativity,multi_solution_dependency,evaluation_unseen_adaptation,repeats,full_aassr,dqn,30,0.0,0.0,0.0,0.0,0.0,0.0,1.0,True,1.0
creativity,creativity,multi_solution_dependency,evaluation_unseen_adaptation,imagined_nodes,full_aassr,dqn,30,0.0,0.0,0.0,0.0,0.0,0.0,1.0,True,1.0
creativity,creativity,multi_solution_dependency,evaluation_unseen_adaptation,actual_return,full_aassr,dqn,30,1.0,1.0,0.0,0.0,0.0,0.0,1.0,True,1.0
creativity,creativity,multi_solution_dependency,evaluation_unseen_adaptation,runtime_seconds,full_aassr,dqn,30,0.00036673000108243694,0.0023197322230165203,-0.0019530022219340836,-0.002095542223024596,-0.0018123488931450992,-4.789680988980741,4.999750012499375e-05,True,0.0002999850007499625
creativity,creativity,multi_solution_dependency,evaluation_unseen_adaptation,real_transitions,full_aassr,dqn,30,3.3333333333333335,3.1,0.2333333333333335,0.05555555555555576,0.41111111111111126,0.46295659455985266,0.024198790060496977,True,0.14519274036298185
creativity,creativity,multi_solution_dependency,evaluation_unseen_adaptation,imagined_transitions,full_aassr,dqn,30,0.0,0.0,0.0,0.0,0.0,0.0,1.0,True,1.0
creativity,creativity,multi_solution_dependency,evaluation_unseen_adaptation,action_proposals,full_aassr,dqn,30,3.3333333333333335,3.1,0.2333333333333335,0.055555555555555726,0.41111111111111126,0.46295659455985266,0.024348782560871956,True,0.14609269536523173
creativity,creativity,multi_solution_dependency,evaluation_unseen_adaptation,novelty_score,full_aassr,dqn,30,1.0,1.0,0.0,0.0,0.0,0.0,1.0,True,1.0
creativity,creativity,multi_solution_dependency,evaluation_unseen_adaptation,repeat_rate,full_aassr,dqn,30,0.0,0.0,0.0,0.0,0.0,0.0,1.0,True,1.0
creativity,creativity,multi_solution_dependency,evaluation_unseen_adaptation,error_rate,full_aassr,dqn,30,0.0,0.0,0.0,0.0,0.0,0.0,1.0,True,1.0
creativity,creativity,multi_solution_dependency,evaluation_unseen_adaptation,success,full_aassr,novelty_search,30,1.0,1.0,0.0,0.0,0.0,0.0,1.0,True,1.0
creativity,creativity,multi_solution_dependency,evaluation_unseen_adaptation,steps,full_aassr,novelty_search,30,3.3333333333333335,3.3333333333333335,0.0,0.0,0.0,0.0,1.0,True,1.0
creativity,creativity,multi_solution_dependency,evaluation_unseen_adaptation,high_level_steps,full_aassr,novelty_search,30,3.3333333333333335,3.3333333333333335,0.0,0.0,0.0,0.0,1.0,True,1.0
creativity,creativity,multi_solution_dependency,evaluation_unseen_adaptation,primitive_steps,full_aassr,novelty_search,30,3.3333333333333335,3.3333333333333335,0.0,0.0,0.0,0.0,1.0,True,1.0
creativity,creativity,multi_solution_dependency,evaluation_unseen_adaptation,reward,full_aassr,novelty_search,30,1.0,1.0,0.0,0.0,0.0,0.0,1.0,True,1.0
creativity,creativity,multi_solution_dependency,evaluation_unseen_adaptation,errors,full_aassr,novelty_search,30,0.0,0.0,0.0,0.0,0.0,0.0,1.0,True,1.0
creativity,creativity,multi_solution_dependency,evaluation_unseen_adaptation,repeats,full_aassr,novelty_search,30,0.0,0.0,0.0,0.0,0.0,0.0,1.0,True,1.0
creativity,creativity,multi_solution_dependency,evaluation_unseen_adaptation,imagined_nodes,full_aassr,novelty_search,30,0.0,0.0,0.0,0.0,0.0,0.0,1.0,True,1.0
creativity,creativity,multi_solution_dependency,evaluation_unseen_adaptation,actual_return,full_aassr,novelty_search,30,1.0,1.0,0.0,0.0,0.0,0.0,1.0,True,1.0
creativity,creativity,multi_solution_dependency,evaluation_unseen_adaptation,runtime_seconds,full_aassr,novelty_search,30,0.00036673000108243694,0.00025770111080621267,0.00010902889027622424,0.00010047555454851438,0.00011766222305595875,4.435513158516353,4.999750012499375e-05,True,0.0002999850007499625
creativity,creativity,multi_solution_dependency,evaluation_unseen_adaptation,real_transitions,full_aassr,novelty_search,30,3.3333333333333335,3.3333333333333335,0.0,0.0,0.0,0.0,1.0,True,1.0
creativity,creativity,multi_solution_dependency,evaluation_unseen_adaptation,imagined_transitions,full_aassr,novelty_search,30,0.0,0.0,0.0,0.0,0.0,0.0,1.0,True,1.0
creativity,creativity,multi_solution_dependency,evaluation_unseen_adaptation,action_proposals,full_aassr,novelty_search,30,3.3333333333333335,3.3333333333333335,0.0,0.0,0.0,0.0,1.0,True,1.0
creativity,creativity,multi_solution_dependency,evaluation_unseen_adaptation,novelty_score,full_aassr,novelty_search,30,1.0,1.0,0.0,0.0,0.0,0.0,1.0,True,1.0
creativity,creativity,multi_solution_dependency,evaluation_unseen_adaptation,repeat_rate,full_aassr,novelty_search,30,0.0,0.0,0.0,0.0,0.0,0.0,1.0,True,1.0
creativity,creativity,multi_solution_dependency,evaluation_unseen_adaptation,error_rate,full_aassr,novelty_search,30,0.0,0.0,0.0,0.0,0.0,0.0,1.0,True,1.0
creativity,creativity,multi_solution_dependency,evaluation_unseen_adaptation,success,full_aassr,q_learning,30,1.0,1.0,0.0,0.0,0.0,0.0,1.0,True,1.0
creativity,creativity,multi_solution_dependency,evaluation_unseen_adaptation,steps,full_aassr,q_learning,30,3.3333333333333335,3.3333333333333335,0.0,0.0,0.0,0.0,1.0,True,1.0
creativity,creativity,multi_solution_dependency,evaluation_unseen_adaptation,high_level_steps,full_aassr,q_learning,30,3.3333333333333335,3.3333333333333335,0.0,0.0,0.0,0.0,1.0,True,1.0
creativity,creativity,multi_solution_dependency,evaluation_unseen_adaptation,primitive_steps,full_aassr,q_learning,30,3.3333333333333335,3.3333333333333335,0.0,0.0,0.0,0.0,1.0,True,1.0
creativity,creativity,multi_solution_dependency,evaluation_unseen_adaptation,reward,full_aassr,q_learning,30,1.0,1.0,0.0,0.0,0.0,0.0,1.0,True,1.0
creativity,creativity,multi_solution_dependency,evaluation_unseen_adaptation,errors,full_aassr,q_learning,30,0.0,0.0,0.0,0.0,0.0,0.0,1.0,True,1.0
creativity,creativity,multi_solution_dependency,evaluation_unseen_adaptation,repeats,full_aassr,q_learning,30,0.0,0.0,0.0,0.0,0.0,0.0,1.0,True,1.0
creativity,creativity,multi_solution_dependency,evaluation_unseen_adaptation,imagined_nodes,full_aassr,q_learning,30,0.0,0.0,0.0,0.0,0.0,0.0,1.0,True,1.0
creativity,creativity,multi_solution_dependency,evaluation_unseen_adaptation,actual_return,full_aassr,q_learning,30,1.0,1.0,0.0,0.0,0.0,0.0,1.0,True,1.0
creativity,creativity,multi_solution_dependency,evaluation_unseen_adaptation,runtime_seconds,full_aassr,q_learning,30,0.00036673000108243694,0.0001791855556398837,0.0001875444454425532,0.0001809199997094563,0.0001949566649273038,9.344384845527385,4.999750012499375e-05,True,0.0002999850007499625
creativity,creativity,multi_solution_dependency,evaluation_unseen_adaptation,real_transitions,full_aassr,q_learning,30,3.3333333333333335,3.3333333333333335,0.0,0.0,0.0,0.0,1.0,True,1.0
creativity,creativity,multi_solution_dependency,evaluation_unseen_adaptation,imagined_transitions,full_aassr,q_learning,30,0.0,0.0,0.0,0.0,0.0,0.0,1.0,True,1.0
creativity,creativity,multi_solution_dependency,evaluation_unseen_adaptation,action_proposals,full_aassr,q_learning,30,3.3333333333333335,3.3333333333333335,0.0,0.0,0.0,0.0,1.0,True,1.0
creativity,creativity,multi_solution_dependency,evaluation_unseen_adaptation,novelty_score,full_aassr,q_learning,30,1.0,1.0,0.0,0.0,0.0,0.0,1.0,True,1.0
creativity,creativity,multi_solution_dependency,evaluation_unseen_adaptation,repeat_rate,full_aassr,q_learning,30,0.0,0.0,0.0,0.0,0.0,0.0,1.0,True,1.0
creativity,creativity,multi_solution_dependency,evaluation_unseen_adaptation,error_rate,full_aassr,q_learning,30,0.0,0.0,0.0,0.0,0.0,0.0,1.0,True,1.0
creativity,creativity,multi_solution_dependency,evaluation_unseen_adaptation,success,full_aassr,random,30,1.0,1.0,0.0,0.0,0.0,0.0,1.0,True,1.0
creativity,creativity,multi_solution_dependency,evaluation_unseen_adaptation,steps,full_aassr,random,30,3.3333333333333335,3.1222222222222222,0.21111111111111125,0.04444444444444461,0.37777777777777793,0.4441483531015755,0.029248537573121344,True,0.1462426878656067
creativity,creativity,multi_solution_dependency,evaluation_unseen_adaptation,high_level_steps,full_aassr,random,30,3.3333333333333335,3.1222222222222222,0.21111111111111125,0.04444444444444467,0.37777777777777793,0.4441483531015755,0.029698515074246288,True,0.14849257537123145
