experiment,suite,condition,environment,model,phase,action_family,metric,seed_count,mean,sd,ci95_low,ci95_high,minimum,maximum
creativity,creativity,aassr_no_imagination,multi_solution_dependency,online,evaluation_unseen_adaptation,causal_effect_graph,success,30,1.0,0.0,1.0,1.0,1.0,1.0
creativity,creativity,aassr_no_imagination,multi_solution_dependency,online,evaluation_unseen_adaptation,causal_effect_graph,steps,30,3.3333333333333335,0.0,3.3333333333333335,3.3333333333333335,3.3333333333333335,3.3333333333333335
creativity,creativity,aassr_no_imagination,multi_solution_dependency,online,evaluation_unseen_adaptation,causal_effect_graph,high_level_steps,30,3.3333333333333335,0.0,3.3333333333333335,3.3333333333333335,3.3333333333333335,3.3333333333333335
creativity,creativity,aassr_no_imagination,multi_solution_dependency,online,evaluation_unseen_adaptation,causal_effect_graph,primitive_steps,30,3.3333333333333335,0.0,3.3333333333333335,3.3333333333333335,3.3333333333333335,3.3333333333333335
creativity,creativity,aassr_no_imagination,multi_solution_dependency,online,evaluation_unseen_adaptation,causal_effect_graph,reward,30,1.0,0.0,1.0,1.0,1.0,1.0
creativity,creativity,aassr_no_imagination,multi_solution_dependency,online,evaluation_unseen_adaptation,causal_effect_graph,errors,30,0.0,0.0,0.0,0.0,0.0,0.0
creativity,creativity,aassr_no_imagination,multi_solution_dependency,online,evaluation_unseen_adaptation,causal_effect_graph,repeats,30,0.0,0.0,0.0,0.0,0.0,0.0
creativity,creativity,aassr_no_imagination,multi_solution_dependency,online,evaluation_unseen_adaptation,causal_effect_graph,imagined_nodes,30,0.0,0.0,0.0,0.0,0.0,0.0
creativity,creativity,aassr_no_imagination,multi_solution_dependency,online,evaluation_unseen_adaptation,causal_effect_graph,actual_return,30,1.0,0.0,1.0,1.0,1.0,1.0
creativity,creativity,aassr_no_imagination,multi_solution_dependency,online,evaluation_unseen_adaptation,causal_effect_graph,runtime_seconds,30,0.00026419333395703387,1.1841864592201814e-05,0.0002602511121141207,0.00026859333382971167,0.00024843333327832323,0.00030499999411404133
creativity,creativity,aassr_no_imagination,multi_solution_dependency,online,evaluation_unseen_adaptation,causal_effect_graph,real_transitions,30,3.3333333333333335,0.0,3.3333333333333335,3.3333333333333335,3.3333333333333335,3.3333333333333335
creativity,creativity,aassr_no_imagination,multi_solution_dependency,online,evaluation_unseen_adaptation,causal_effect_graph,imagined_transitions,30,0.0,0.0,0.0,0.0,0.0,0.0
creativity,creativity,aassr_no_imagination,multi_solution_dependency,online,evaluation_unseen_adaptation,causal_effect_graph,action_proposals,30,3.3333333333333335,0.0,3.3333333333333335,3.3333333333333335,3.3333333333333335,3.3333333333333335
creativity,creativity,aassr_no_imagination,multi_solution_dependency,online,evaluation_unseen_adaptation,causal_effect_graph,novelty_score,30,1.0,0.0,1.0,1.0,1.0,1.0
creativity,creativity,aassr_no_imagination,multi_solution_dependency,online,evaluation_unseen_adaptation,causal_effect_graph,repeat_rate,30,0.0,0.0,0.0,0.0,0.0,0.0
creativity,creativity,aassr_no_imagination,multi_solution_dependency,online,evaluation_unseen_adaptation,causal_effect_graph,error_rate,30,0.0,0.0,0.0,0.0,0.0,0.0
creativity,creativity,aassr_no_imagination,multi_solution_dependency,online,training,causal_effect_graph,success,30,1.0,0.0,1.0,1.0,1.0,1.0
creativity,creativity,aassr_no_imagination,multi_solution_dependency,online,training,causal_effect_graph,steps,30,3.2882000000000002,0.04610437932673472,3.2714,3.3042666666666665,3.212,3.374
creativity,creativity,aassr_no_imagination,multi_solution_dependency,online,training,causal_effect_graph,high_level_steps,30,3.2882000000000002,0.04610437932673472,3.271733333333333,3.304333333333333,3.212,3.374
creativity,creativity,aassr_no_imagination,multi_solution_dependency,online,training,causal_effect_graph,primitive_steps,30,3.2882000000000002,0.04610437932673472,3.272066666666667,3.3046,3.212,3.374
creativity,creativity,aassr_no_imagination,multi_solution_dependency,online,training,causal_effect_graph,reward,30,1.0,0.0,1.0,1.0,1.0,1.0
creativity,creativity,aassr_no_imagination,multi_solution_dependency,online,training,causal_effect_graph,errors,30,0.0,0.0,0.0,0.0,0.0,0.0
creativity,creativity,aassr_no_imagination,multi_solution_dependency,online,training,causal_effect_graph,repeats,30,0.0,0.0,0.0,0.0,0.0,0.0
creativity,creativity,aassr_no_imagination,multi_solution_dependency,online,training,causal_effect_graph,imagined_nodes,30,0.0,0.0,0.0,0.0,0.0,0.0
creativity,creativity,aassr_no_imagination,multi_solution_dependency,online,training,causal_effect_graph,actual_return,30,1.0,0.0,1.0,1.0,1.0,1.0
creativity,creativity,aassr_no_imagination,multi_solution_dependency,online,training,causal_effect_graph,runtime_seconds,30,0.0007901786533824634,0.00023565683842821986,0.0007227195465820841,0.0008849810600300164,0.0006717434005113318,0.001792829800164327
creativity,creativity,aassr_no_imagination,multi_solution_dependency,online,training,causal_effect_graph,real_transitions,30,3.2882000000000002,0.04610437932673472,3.2723333333333335,3.304466666666667,3.212,3.374
creativity,creativity,aassr_no_imagination,multi_solution_dependency,online,training,causal_effect_graph,imagined_transitions,30,0.0,0.0,0.0,0.0,0.0,0.0
creativity,creativity,aassr_no_imagination,multi_solution_dependency,online,training,causal_effect_graph,action_proposals,30,3.2882000000000002,0.04610437932673472,3.2723333333333335,3.3040666666666665,3.212,3.374
