experiment,suite,condition,environment,model,phase,action_family,seed,episode_rows,success,steps,high_level_steps,primitive_steps,reward,errors,repeats,prediction_score,holdout_score,holdout_gain,imagined_nodes,imagination_depth,actual_return,runtime_seconds,real_transitions,imagined_transitions,action_proposals,novelty_score,repeat_rate,error_rate,learning_auc,final_tail_success,first_success_real_transitions,adaptation_auc,episodes_to_50,episodes_to_80,transfer_gain_vs_from_scratch,sample_saving_to_50,sample_saving_to_80,unseen_prediction_calibration_error
creativity,creativity,aassr_no_imagination,multi_solution_dependency,online,evaluation_unseen_adaptation,causal_effect_graph,1009,3,1.0,3.3333333333333335,3.3333333333333335,3.3333333333333335,1.0,0.0,0.0,,,,0.0,,1.0,0.0002534666661328326,3.3333333333333335,0.0,3.3333333333333335,1.0,0.0,0.0,,,,,,,,,,
creativity,creativity,aassr_no_imagination,multi_solution_dependency,online,evaluation_unseen_adaptation,causal_effect_graph,1061,3,1.0,3.3333333333333335,3.3333333333333335,3.3333333333333335,1.0,0.0,0.0,,,,0.0,,1.0,0.00027443333722961444,3.3333333333333335,0.0,3.3333333333333335,1.0,0.0,0.0,,,,,,,,,,
creativity,creativity,aassr_no_imagination,multi_solution_dependency,online,evaluation_unseen_adaptation,causal_effect_graph,1103,3,1.0,3.3333333333333335,3.3333333333333335,3.3333333333333335,1.0,0.0,0.0,,,,0.0,,1.0,0.00024843333327832323,3.3333333333333335,0.0,3.3333333333333335,1.0,0.0,0.0,,,,,,,,,,
creativity,creativity,aassr_no_imagination,multi_solution_dependency,online,evaluation_unseen_adaptation,causal_effect_graph,1151,3,1.0,3.3333333333333335,3.3333333333333335,3.3333333333333335,1.0,0.0,0.0,,,,0.0,,1.0,0.0002553999947849661,3.3333333333333335,0.0,3.3333333333333335,1.0,0.0,0.0,,,,,,,,,,
creativity,creativity,aassr_no_imagination,multi_solution_dependency,online,evaluation_unseen_adaptation,causal_effect_graph,1201,3,1.0,3.3333333333333335,3.3333333333333335,3.3333333333333335,1.0,0.0,0.0,,,,0.0,,1.0,0.0002541666617617011,3.3333333333333335,0.0,3.3333333333333335,1.0,0.0,0.0,,,,,,,,,,
creativity,creativity,aassr_no_imagination,multi_solution_dependency,online,evaluation_unseen_adaptation,causal_effect_graph,1259,3,1.0,3.3333333333333335,3.3333333333333335,3.3333333333333335,1.0,0.0,0.0,,,,0.0,,1.0,0.00025956667377613485,3.3333333333333335,0.0,3.3333333333333335,1.0,0.0,0.0,,,,,,,,,,
creativity,creativity,aassr_no_imagination,multi_solution_dependency,online,evaluation_unseen_adaptation,causal_effect_graph,1301,3,1.0,3.3333333333333335,3.3333333333333335,3.3333333333333335,1.0,0.0,0.0,,,,0.0,,1.0,0.0002743333364681651,3.3333333333333335,0.0,3.3333333333333335,1.0,0.0,0.0,,,,,,,,,,
creativity,creativity,aassr_no_imagination,multi_solution_dependency,online,evaluation_unseen_adaptation,causal_effect_graph,131,3,1.0,3.3333333333333335,3.3333333333333335,3.3333333333333335,1.0,0.0,0.0,,,,0.0,,1.0,0.0002608666642724226,3.3333333333333335,0.0,3.3333333333333335,1.0,0.0,0.0,,,,,,,,,,
creativity,creativity,aassr_no_imagination,multi_solution_dependency,online,evaluation_unseen_adaptation,causal_effect_graph,1361,3,1.0,3.3333333333333335,3.3333333333333335,3.3333333333333335,1.0,0.0,0.0,,,,0.0,,1.0,0.0002606666724508007,3.3333333333333335,0.0,3.3333333333333335,1.0,0.0,0.0,,,,,,,,,,
creativity,creativity,aassr_no_imagination,multi_solution_dependency,online,evaluation_unseen_adaptation,causal_effect_graph,1423,3,1.0,3.3333333333333335,3.3333333333333335,3.3333333333333335,1.0,0.0,0.0,,,,0.0,,1.0,0.0002605666716893514,3.3333333333333335,0.0,3.3333333333333335,1.0,0.0,0.0,,,,,,,,,,
creativity,creativity,aassr_no_imagination,multi_solution_dependency,online,evaluation_unseen_adaptation,causal_effect_graph,1481,3,1.0,3.3333333333333335,3.3333333333333335,3.3333333333333335,1.0,0.0,0.0,,,,0.0,,1.0,0.00027559999337730307,3.3333333333333335,0.0,3.3333333333333335,1.0,0.0,0.0,,,,,,,,,,
creativity,creativity,aassr_no_imagination,multi_solution_dependency,online,evaluation_unseen_adaptation,causal_effect_graph,1543,3,1.0,3.3333333333333335,3.3333333333333335,3.3333333333333335,1.0,0.0,0.0,,,,0.0,,1.0,0.0002517333293023209,3.3333333333333335,0.0,3.3333333333333335,1.0,0.0,0.0,,,,,,,,,,
creativity,creativity,aassr_no_imagination,multi_solution_dependency,online,evaluation_unseen_adaptation,causal_effect_graph,1601,3,1.0,3.3333333333333335,3.3333333333333335,3.3333333333333335,1.0,0.0,0.0,,,,0.0,,1.0,0.00028006666495154303,3.3333333333333335,0.0,3.3333333333333335,1.0,0.0,0.0,,,,,,,,,,
creativity,creativity,aassr_no_imagination,multi_solution_dependency,online,evaluation_unseen_adaptation,causal_effect_graph,173,3,1.0,3.3333333333333335,3.3333333333333335,3.3333333333333335,1.0,0.0,0.0,,,,0.0,,1.0,0.0002671999973244965,3.3333333333333335,0.0,3.3333333333333335,1.0,0.0,0.0,,,,,,,,,,
creativity,creativity,aassr_no_imagination,multi_solution_dependency,online,evaluation_unseen_adaptation,causal_effect_graph,211,3,1.0,3.3333333333333335,3.3333333333333335,3.3333333333333335,1.0,0.0,0.0,,,,0.0,,1.0,0.0002587333437986672,3.3333333333333335,0.0,3.3333333333333335,1.0,0.0,0.0,,,,,,,,,,
creativity,creativity,aassr_no_imagination,multi_solution_dependency,online,evaluation_unseen_adaptation,causal_effect_graph,257,3,1.0,3.3333333333333335,3.3333333333333335,3.3333333333333335,1.0,0.0,0.0,,,,0.0,,1.0,0.00030499999411404133,3.3333333333333335,0.0,3.3333333333333335,1.0,0.0,0.0,,,,,,,,,,
creativity,creativity,aassr_no_imagination,multi_solution_dependency,online,evaluation_unseen_adaptation,causal_effect_graph,307,3,1.0,3.3333333333333335,3.3333333333333335,3.3333333333333335,1.0,0.0,0.0,,,,0.0,,1.0,0.00026879999980640906,3.3333333333333335,0.0,3.3333333333333335,1.0,0.0,0.0,,,,,,,,,,
creativity,creativity,aassr_no_imagination,multi_solution_dependency,online,evaluation_unseen_adaptation,causal_effect_graph,353,3,1.0,3.3333333333333335,3.3333333333333335,3.3333333333333335,1.0,0.0,0.0,,,,0.0,,1.0,0.000266500001695628,3.3333333333333335,0.0,3.3333333333333335,1.0,0.0,0.0,,,,,,,,,,
creativity,creativity,aassr_no_imagination,multi_solution_dependency,online,evaluation_unseen_adaptation,causal_effect_graph,401,3,1.0,3.3333333333333335,3.3333333333333335,3.3333333333333335,1.0,0.0,0.0,,,,0.0,,1.0,0.0002765333338174969,3.3333333333333335,0.0,3.3333333333333335,1.0,0.0,0.0,,,,,,,,,,
creativity,creativity,aassr_no_imagination,multi_solution_dependency,online,evaluation_unseen_adaptation,causal_effect_graph,457,3,1.0,3.3333333333333335,3.3333333333333335,3.3333333333333335,1.0,0.0,0.0,,,,0.0,,1.0,0.00026003333429495495,3.3333333333333335,0.0,3.3333333333333335,1.0,0.0,0.0,,,,,,,,,,
