experiment,suite,condition,environment,model,phase,action_family,seed,episode_rows,success,steps,high_level_steps,primitive_steps,reward,errors,repeats,prediction_score,holdout_score,holdout_gain,imagined_nodes,imagination_depth,actual_return,runtime_seconds,real_transitions,imagined_transitions,action_proposals,novelty_score,repeat_rate,error_rate,learning_auc,final_tail_success,first_success_real_transitions,adaptation_auc,episodes_to_50,episodes_to_80,transfer_gain_vs_from_scratch,sample_saving_to_50,sample_saving_to_80,unseen_prediction_calibration_error
safe_application,safe_application,safe_rule_agent,docker_local_assessment,deterministic,evaluation_unseen_zero_shot,safe_local,1009,20,1.0,2.35,2.35,2.35,1.0,,,,,,,,1.0,,2.35,0.0,2.35,,0.0,0.0,,,,,,,,,,
safe_application,safe_application,safe_rule_agent,docker_local_assessment,deterministic,evaluation_unseen_zero_shot,safe_local,1061,20,1.0,2.35,2.35,2.35,1.0,,,,,,,,1.0,,2.35,0.0,2.35,,0.0,0.0,,,,,,,,,,
safe_application,safe_application,safe_rule_agent,docker_local_assessment,deterministic,evaluation_unseen_zero_shot,safe_local,1103,20,1.0,2.35,2.35,2.35,1.0,,,,,,,,1.0,,2.35,0.0,2.35,,0.0,0.0,,,,,,,,,,
safe_application,safe_application,safe_rule_agent,docker_local_assessment,deterministic,evaluation_unseen_zero_shot,safe_local,1151,20,1.0,2.35,2.35,2.35,1.0,,,,,,,,1.0,,2.35,0.0,2.35,,0.0,0.0,,,,,,,,,,
safe_application,safe_application,safe_rule_agent,docker_local_assessment,deterministic,evaluation_unseen_zero_shot,safe_local,1201,20,1.0,2.35,2.35,2.35,1.0,,,,,,,,1.0,,2.35,0.0,2.35,,0.0,0.0,,,,,,,,,,
safe_application,safe_application,safe_rule_agent,docker_local_assessment,deterministic,evaluation_unseen_zero_shot,safe_local,1259,20,1.0,2.35,2.35,2.35,1.0,,,,,,,,1.0,,2.35,0.0,2.35,,0.0,0.0,,,,,,,,,,
safe_application,safe_application,safe_rule_agent,docker_local_assessment,deterministic,evaluation_unseen_zero_shot,safe_local,1301,20,1.0,2.35,2.35,2.35,1.0,,,,,,,,1.0,,2.35,0.0,2.35,,0.0,0.0,,,,,,,,,,
safe_application,safe_application,safe_rule_agent,docker_local_assessment,deterministic,evaluation_unseen_zero_shot,safe_local,131,20,1.0,2.35,2.35,2.35,1.0,,,,,,,,1.0,,2.35,0.0,2.35,,0.0,0.0,,,,,,,,,,
safe_application,safe_application,safe_rule_agent,docker_local_assessment,deterministic,evaluation_unseen_zero_shot,safe_local,1361,20,1.0,2.35,2.35,2.35,1.0,,,,,,,,1.0,,2.35,0.0,2.35,,0.0,0.0,,,,,,,,,,
safe_application,safe_application,safe_rule_agent,docker_local_assessment,deterministic,evaluation_unseen_zero_shot,safe_local,1423,20,1.0,2.35,2.35,2.35,1.0,,,,,,,,1.0,,2.35,0.0,2.35,,0.0,0.0,,,,,,,,,,
safe_application,safe_application,safe_rule_agent,docker_local_assessment,deterministic,evaluation_unseen_zero_shot,safe_local,1481,20,1.0,2.35,2.35,2.35,1.0,,,,,,,,1.0,,2.35,0.0,2.35,,0.0,0.0,,,,,,,,,,
safe_application,safe_application,safe_rule_agent,docker_local_assessment,deterministic,evaluation_unseen_zero_shot,safe_local,1543,20,1.0,2.35,2.35,2.35,1.0,,,,,,,,1.0,,2.35,0.0,2.35,,0.0,0.0,,,,,,,,,,
safe_application,safe_application,safe_rule_agent,docker_local_assessment,deterministic,evaluation_unseen_zero_shot,safe_local,1601,20,1.0,2.35,2.35,2.35,1.0,,,,,,,,1.0,,2.35,0.0,2.35,,0.0,0.0,,,,,,,,,,
safe_application,safe_application,safe_rule_agent,docker_local_assessment,deterministic,evaluation_unseen_zero_shot,safe_local,173,20,1.0,2.35,2.35,2.35,1.0,,,,,,,,1.0,,2.35,0.0,2.35,,0.0,0.0,,,,,,,,,,
safe_application,safe_application,safe_rule_agent,docker_local_assessment,deterministic,evaluation_unseen_zero_shot,safe_local,211,20,1.0,2.35,2.35,2.35,1.0,,,,,,,,1.0,,2.35,0.0,2.35,,0.0,0.0,,,,,,,,,,
safe_application,safe_application,safe_rule_agent,docker_local_assessment,deterministic,evaluation_unseen_zero_shot,safe_local,257,20,1.0,2.35,2.35,2.35,1.0,,,,,,,,1.0,,2.35,0.0,2.35,,0.0,0.0,,,,,,,,,,
safe_application,safe_application,safe_rule_agent,docker_local_assessment,deterministic,evaluation_unseen_zero_shot,safe_local,307,20,1.0,2.35,2.35,2.35,1.0,,,,,,,,1.0,,2.35,0.0,2.35,,0.0,0.0,,,,,,,,,,
safe_application,safe_application,safe_rule_agent,docker_local_assessment,deterministic,evaluation_unseen_zero_shot,safe_local,353,20,1.0,2.35,2.35,2.35,1.0,,,,,,,,1.0,,2.35,0.0,2.35,,0.0,0.0,,,,,,,,,,
safe_application,safe_application,safe_rule_agent,docker_local_assessment,deterministic,evaluation_unseen_zero_shot,safe_local,401,20,1.0,2.35,2.35,2.35,1.0,,,,,,,,1.0,,2.35,0.0,2.35,,0.0,0.0,,,,,,,,,,
safe_application,safe_application,safe_rule_agent,docker_local_assessment,deterministic,evaluation_unseen_zero_shot,safe_local,457,20,1.0,2.35,2.35,2.35,1.0,,,,,,,,1.0,,2.35,0.0,2.35,,0.0,0.0,,,,,,,,,,
safe_application,safe_application,safe_rule_agent,docker_local_assessment,deterministic,evaluation_unseen_zero_shot,safe_local,503,20,1.0,2.35,2.35,2.35,1.0,,,,,,,,1.0,,2.35,0.0,2.35,,0.0,0.0,,,,,,,,,,
safe_application,safe_application,safe_rule_agent,docker_local_assessment,deterministic,evaluation_unseen_zero_shot,safe_local,557,20,1.0,2.35,2.35,2.35,1.0,,,,,,,,1.0,,2.35,0.0,2.35,,0.0,0.0,,,,,,,,,,
safe_application,safe_application,safe_rule_agent,docker_local_assessment,deterministic,evaluation_unseen_zero_shot,safe_local,601,20,1.0,2.35,2.35,2.35,1.0,,,,,,,,1.0,,2.35,0.0,2.35,,0.0,0.0,,,,,,,,,,
safe_application,safe_application,safe_rule_agent,docker_local_assessment,deterministic,evaluation_unseen_zero_shot,safe_local,659,20,1.0,2.35,2.35,2.35,1.0,,,,,,,,1.0,,2.35,0.0,2.35,,0.0,0.0,,,,,,,,,,
safe_application,safe_application,safe_rule_agent,docker_local_assessment,deterministic,evaluation_unseen_zero_shot,safe_local,701,20,1.0,2.35,2.35,2.35,1.0,,,,,,,,1.0,,2.35,0.0,2.35,,0.0,0.0,,,,,,,,,,
safe_application,safe_application,safe_rule_agent,docker_local_assessment,deterministic,evaluation_unseen_zero_shot,safe_local,761,20,1.0,2.35,2.35,2.35,1.0,,,,,,,,1.0,,2.35,0.0,2.35,,0.0,0.0,,,,,,,,,,
safe_application,safe_application,safe_rule_agent,docker_local_assessment,deterministic,evaluation_unseen_zero_shot,safe_local,809,20,1.0,2.35,2.35,2.35,1.0,,,,,,,,1.0,,2.35,0.0,2.35,,0.0,0.0,,,,,,,,,,
