experiment,suite,condition,environment,model,phase,action_family,metric,seed_count,mean,sd,ci95_low,ci95_high,minimum,maximum
transfer,transfer,from_scratch_contextual_policy,opaque_dependency_l6,checkpoint_transfer,adaptation_curve,effect_profile,adaptation_auc,30,0.11682942708333334,0.07724002201355103,0.09007161458333333,0.14459635416666666,0.0,0.2724609375
transfer,transfer,from_scratch_contextual_policy,opaque_dependency_l6,checkpoint_transfer,adaptation_curve,effect_profile,episodes_to_50,1,64.0,0.0,64.0,64.0,64.0,64.0
transfer,transfer,from_scratch_contextual_policy,opaque_dependency_l6,checkpoint_transfer,adaptation_curve,effect_profile,transfer_gain_vs_from_scratch,30,-0.00361328125,0.10561648723901484,-0.0427734375,0.03232421875,-0.22265625,0.1201171875
transfer,transfer,from_scratch_contextual_policy,opaque_dependency_l6,checkpoint_transfer,adaptation_curve,effect_profile,unseen_prediction_calibration_error,30,0.06333333333333332,0.04291799183312874,0.04833333333333333,0.07916666666666666,0.0,0.15
transfer,transfer,from_scratch_contextual_policy,opaque_dependency_l6,tabular_online,adaptation,opaque,success,30,0.09068627450980392,0.06345054328643744,0.0682843137254902,0.11343137254901961,0.0,0.2161764705882353
transfer,transfer,from_scratch_contextual_policy,opaque_dependency_l6,tabular_online,adaptation,opaque,steps,30,6.0,0.0,6.0,6.0,6.0,6.0
transfer,transfer,from_scratch_contextual_policy,opaque_dependency_l6,tabular_online,adaptation,opaque,reward,30,0.09068627450980392,0.06345054328643744,0.06882352941176471,0.1132843137254902,0.0,0.2161764705882353
transfer,transfer,from_scratch_contextual_policy,opaque_dependency_l6,tabular_online,adaptation,opaque,errors,30,0.0,0.0,0.0,0.0,0.0,0.0
transfer,transfer,from_scratch_contextual_policy,opaque_dependency_l6,tabular_online,adaptation,opaque,repeats,30,0.0,0.0,0.0,0.0,0.0,0.0
transfer,transfer,from_scratch_contextual_policy,opaque_dependency_l6,tabular_online,adaptation,opaque,prediction_score,30,0.0,0.0,0.0,0.0,0.0,0.0
transfer,transfer,from_scratch_contextual_policy,opaque_dependency_l6,tabular_online,adaptation,opaque,holdout_score,30,0.0,0.0,0.0,0.0,0.0,0.0
transfer,transfer,from_scratch_contextual_policy,opaque_dependency_l6,tabular_online,adaptation,opaque,holdout_gain,30,0.0,0.0,0.0,0.0,0.0,0.0
transfer,transfer,from_scratch_contextual_policy,opaque_dependency_l6,tabular_online,adaptation,opaque,imagined_nodes,30,0.0,0.0,0.0,0.0,0.0,0.0
transfer,transfer,from_scratch_contextual_policy,opaque_dependency_l6,tabular_online,adaptation,opaque,imagination_depth,30,0.0,0.0,0.0,0.0,0.0,0.0
transfer,transfer,from_scratch_contextual_policy,opaque_dependency_l6,tabular_online,adaptation,opaque,actual_return,30,0.09068627450980392,0.06345054328643744,0.06892156862745098,0.11274509803921569,0.0,0.2161764705882353
transfer,transfer,from_scratch_contextual_policy,opaque_dependency_l6,tabular_online,adaptation,opaque,runtime_seconds,30,0.0003855910735314954,0.0002457908351750349,0.00033686424513956916,0.0004782653626242273,0.00033018882266547093,0.0016836932352709802
transfer,transfer,from_scratch_contextual_policy,opaque_dependency_l6,tabular_online,adaptation,opaque,real_transitions,30,6.0,0.0,6.0,6.0,6.0,6.0
