experiment,suite,condition,environment,model,phase,action_family,seed,episode_rows,success,steps,high_level_steps,primitive_steps,reward,errors,repeats,prediction_score,holdout_score,holdout_gain,imagined_nodes,imagination_depth,actual_return,runtime_seconds,real_transitions,imagined_transitions,action_proposals,novelty_score,repeat_rate,error_rate,learning_auc,final_tail_success,first_success_real_transitions,adaptation_auc,episodes_to_50,episodes_to_80,transfer_gain_vs_from_scratch,sample_saving_to_50,sample_saving_to_80,unseen_prediction_calibration_error
transfer,transfer,from_scratch_contextual_policy,opaque_dependency_l6,tabular_online,adaptation,opaque,1009,680,0.125,6.0,,,0.125,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.125,0.00033335411730256643,6.0,0.0,6.0,,0.0,0.0,,,,,,,,,,
transfer,transfer,from_scratch_contextual_policy,opaque_dependency_l6,tabular_online,adaptation,opaque,1061,680,0.061764705882352944,6.0,,,0.061764705882352944,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.061764705882352944,0.0003459129408464137,6.0,0.0,6.0,,0.0,0.0,,,,,,,,,,
transfer,transfer,from_scratch_contextual_policy,opaque_dependency_l6,tabular_online,adaptation,opaque,1103,680,0.030882352941176472,6.0,,,0.030882352941176472,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.030882352941176472,0.0003323454412833705,6.0,0.0,6.0,,0.0,0.0,,,,,,,,,,
transfer,transfer,from_scratch_contextual_policy,opaque_dependency_l6,tabular_online,adaptation,opaque,1151,680,0.004411764705882353,6.0,,,0.004411764705882353,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.004411764705882353,0.00033328191168359754,6.0,0.0,6.0,,0.0,0.0,,,,,,,,,,
transfer,transfer,from_scratch_contextual_policy,opaque_dependency_l6,tabular_online,adaptation,opaque,1201,680,0.08823529411764706,6.0,,,0.08823529411764706,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.08823529411764706,0.0003408186769400559,6.0,0.0,6.0,,0.0,0.0,,,,,,,,,,
transfer,transfer,from_scratch_contextual_policy,opaque_dependency_l6,tabular_online,adaptation,opaque,1259,680,0.1323529411764706,6.0,,,0.1323529411764706,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1323529411764706,0.00033018882266547093,6.0,0.0,6.0,,0.0,0.0,,,,,,,,,,
transfer,transfer,from_scratch_contextual_policy,opaque_dependency_l6,tabular_online,adaptation,opaque,1301,680,0.1264705882352941,6.0,,,0.1264705882352941,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1264705882352941,0.0003362354406871258,6.0,0.0,6.0,,0.0,0.0,,,,,,,,,,
transfer,transfer,from_scratch_contextual_policy,opaque_dependency_l6,tabular_online,adaptation,opaque,131,680,0.10882352941176471,6.0,,,0.10882352941176471,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.10882352941176471,0.0004292139706462074,6.0,0.0,6.0,,0.0,0.0,,,,,,,,,,
transfer,transfer,from_scratch_contextual_policy,opaque_dependency_l6,tabular_online,adaptation,opaque,1361,680,0.029411764705882353,6.0,,,0.029411764705882353,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.029411764705882353,0.0003328124998541384,6.0,0.0,6.0,,0.0,0.0,,,,,,,,,,
transfer,transfer,from_scratch_contextual_policy,opaque_dependency_l6,tabular_online,adaptation,opaque,1423,680,0.007352941176470588,6.0,,,0.007352941176470588,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.007352941176470588,0.000338773824264268,6.0,0.0,6.0,,0.0,0.0,,,,,,,,,,
transfer,transfer,from_scratch_contextual_policy,opaque_dependency_l6,tabular_online,adaptation,opaque,1481,680,0.08529411764705883,6.0,,,0.08529411764705883,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.08529411764705883,0.0003458507351751905,6.0,0.0,6.0,,0.0,0.0,,,,,,,,,,
transfer,transfer,from_scratch_contextual_policy,opaque_dependency_l6,tabular_online,adaptation,opaque,1543,680,0.03823529411764706,6.0,,,0.03823529411764706,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.03823529411764706,0.0003351257344868774,6.0,0.0,6.0,,0.0,0.0,,,,,,,,,,
transfer,transfer,from_scratch_contextual_policy,opaque_dependency_l6,tabular_online,adaptation,opaque,1601,680,0.12941176470588237,6.0,,,0.12941176470588237,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.12941176470588237,0.00033108000031514915,6.0,0.0,6.0,,0.0,0.0,,,,,,,,,,
transfer,transfer,from_scratch_contextual_policy,opaque_dependency_l6,tabular_online,adaptation,opaque,173,680,0.039705882352941174,6.0,,,0.039705882352941174,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.039705882352941174,0.00034317220522686565,6.0,0.0,6.0,,0.0,0.0,,,,,,,,,,
transfer,transfer,from_scratch_contextual_policy,opaque_dependency_l6,tabular_online,adaptation,opaque,211,680,0.0,6.0,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0003437252943352659,6.0,0.0,6.0,,0.0,0.0,,,,,,,,,,
transfer,transfer,from_scratch_contextual_policy,opaque_dependency_l6,tabular_online,adaptation,opaque,257,680,0.1411764705882353,6.0,,,0.1411764705882353,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1411764705882353,0.0016836932352709802,6.0,0.0,6.0,,0.0,0.0,,,,,,,,,,
transfer,transfer,from_scratch_contextual_policy,opaque_dependency_l6,tabular_online,adaptation,opaque,307,680,0.21029411764705883,6.0,,,0.21029411764705883,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.21029411764705883,0.0003311430880036342,6.0,0.0,6.0,,0.0,0.0,,,,,,,,,,
transfer,transfer,from_scratch_contextual_policy,opaque_dependency_l6,tabular_online,adaptation,opaque,353,680,0.16470588235294117,6.0,,,0.16470588235294117,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.16470588235294117,0.00033631661687703694,6.0,0.0,6.0,,0.0,0.0,,,,,,,,,,
