experiment,suite,condition,environment,model,phase,action_family,seed,episode_rows,success,steps,high_level_steps,primitive_steps,reward,errors,repeats,prediction_score,holdout_score,holdout_gain,imagined_nodes,imagination_depth,actual_return,runtime_seconds,real_transitions,imagined_transitions,action_proposals,novelty_score,repeat_rate,error_rate,learning_auc,final_tail_success,first_success_real_transitions,adaptation_auc,episodes_to_50,episodes_to_80,transfer_gain_vs_from_scratch,sample_saving_to_50,sample_saving_to_80,unseen_prediction_calibration_error
autonomy,autonomy,contextual_policy,opaque_dependency_l4,none,evaluation_seen,opaque,1009,200,0.0,4.0,4.0,4.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.001844209999544546,4.0,0.0,4.0,,0.0,0.0,,,,,,,,,,
autonomy,autonomy,contextual_policy,opaque_dependency_l4,none,evaluation_seen,opaque,1061,200,0.0,4.0,4.0,4.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.002232786499807844,4.0,0.0,4.0,,0.0,0.0,,,,,,,,,,
autonomy,autonomy,contextual_policy,opaque_dependency_l4,none,evaluation_seen,opaque,1103,200,0.0,4.0,4.0,4.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0017535389994736761,4.0,0.0,4.0,,0.0,0.0,,,,,,,,,,
autonomy,autonomy,contextual_policy,opaque_dependency_l4,none,evaluation_seen,opaque,1151,200,0.0,4.0,4.0,4.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0019546085005276836,4.0,0.0,4.0,,0.0,0.0,,,,,,,,,,
autonomy,autonomy,contextual_policy,opaque_dependency_l4,none,evaluation_seen,opaque,1201,200,0.0,4.0,4.0,4.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0018559624991030432,4.0,0.0,4.0,,0.0,0.0,,,,,,,,,,
autonomy,autonomy,contextual_policy,opaque_dependency_l4,none,evaluation_seen,opaque,1259,200,0.0,4.0,4.0,4.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0019486269998014905,4.0,0.0,4.0,,0.0,0.0,,,,,,,,,,
autonomy,autonomy,contextual_policy,opaque_dependency_l4,none,evaluation_seen,opaque,1301,200,0.0,4.0,4.0,4.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0021694669999124017,4.0,0.0,4.0,,0.0,0.0,,,,,,,,,,
autonomy,autonomy,contextual_policy,opaque_dependency_l4,none,evaluation_seen,opaque,131,200,0.0,4.0,4.0,4.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.002207065498951124,4.0,0.0,4.0,,0.0,0.0,,,,,,,,,,
autonomy,autonomy,contextual_policy,opaque_dependency_l4,none,evaluation_seen,opaque,1361,200,0.0,4.0,4.0,4.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0019244959981006104,4.0,0.0,4.0,,0.0,0.0,,,,,,,,,,
autonomy,autonomy,contextual_policy,opaque_dependency_l4,none,evaluation_seen,opaque,1423,200,0.0,4.0,4.0,4.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0018086869991384446,4.0,0.0,4.0,,0.0,0.0,,,,,,,,,,
autonomy,autonomy,contextual_policy,opaque_dependency_l4,none,evaluation_seen,opaque,1481,200,0.0,4.0,4.0,4.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.001745883001713082,4.0,0.0,4.0,,0.0,0.0,,,,,,,,,,
autonomy,autonomy,contextual_policy,opaque_dependency_l4,none,evaluation_seen,opaque,1543,200,0.0,4.0,4.0,4.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.002113516500685364,4.0,0.0,4.0,,0.0,0.0,,,,,,,,,,
autonomy,autonomy,contextual_policy,opaque_dependency_l4,none,evaluation_seen,opaque,1601,200,0.0,4.0,4.0,4.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0016848989983554929,4.0,0.0,4.0,,0.0,0.0,,,,,,,,,,
autonomy,autonomy,contextual_policy,opaque_dependency_l4,none,evaluation_seen,opaque,173,200,0.0,4.0,4.0,4.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.002121443500072928,4.0,0.0,4.0,,0.0,0.0,,,,,,,,,,
autonomy,autonomy,contextual_policy,opaque_dependency_l4,none,evaluation_seen,opaque,211,200,0.0,4.0,4.0,4.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.002194322999712313,4.0,0.0,4.0,,0.0,0.0,,,,,,,,,,
autonomy,autonomy,contextual_policy,opaque_dependency_l4,none,evaluation_seen,opaque,257,200,0.0,4.0,4.0,4.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.002152698999270797,4.0,0.0,4.0,,0.0,0.0,,,,,,,,,,
autonomy,autonomy,contextual_policy,opaque_dependency_l4,none,evaluation_seen,opaque,307,200,0.0,4.0,4.0,4.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0017382780007028486,4.0,0.0,4.0,,0.0,0.0,,,,,,,,,,
autonomy,autonomy,contextual_policy,opaque_dependency_l4,none,evaluation_seen,opaque,353,200,0.0,4.0,4.0,4.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0022463199986668767,4.0,0.0,4.0,,0.0,0.0,,,,,,,,,,
autonomy,autonomy,contextual_policy,opaque_dependency_l4,none,evaluation_seen,opaque,401,200,0.0,4.0,4.0,4.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0017253025012905709,4.0,0.0,4.0,,0.0,0.0,,,,,,,,,,
autonomy,autonomy,contextual_policy,opaque_dependency_l4,none,evaluation_seen,opaque,457,200,0.0,4.0,4.0,4.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0018248199988738633,4.0,0.0,4.0,,0.0,0.0,,,,,,,,,,
autonomy,autonomy,contextual_policy,opaque_dependency_l4,none,evaluation_seen,opaque,503,200,0.0,4.0,4.0,4.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0021578749995387627,4.0,0.0,4.0,,0.0,0.0,,,,,,,,,,
autonomy,autonomy,contextual_policy,opaque_dependency_l4,none,evaluation_seen,opaque,557,200,0.0,4.0,4.0,4.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.002147945497999899,4.0,0.0,4.0,,0.0,0.0,,,,,,,,,,
autonomy,autonomy,contextual_policy,opaque_dependency_l4,none,evaluation_seen,opaque,601,200,0.0,4.0,4.0,4.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.001927759500395041,4.0,0.0,4.0,,0.0,0.0,,,,,,,,,,
autonomy,autonomy,contextual_policy,opaque_dependency_l4,none,evaluation_seen,opaque,659,200,0.0,4.0,4.0,4.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0021097479992022274,4.0,0.0,4.0,,0.0,0.0,,,,,,,,,,
autonomy,autonomy,contextual_policy,opaque_dependency_l4,none,evaluation_seen,opaque,701,200,0.0,4.0,4.0,4.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0020260880002751945,4.0,0.0,4.0,,0.0,0.0,,,,,,,,,,
autonomy,autonomy,contextual_policy,opaque_dependency_l4,none,evaluation_seen,opaque,761,200,0.0,4.0,4.0,4.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0017505255018477328,4.0,0.0,4.0,,0.0,0.0,,,,,,,,,,
autonomy,autonomy,contextual_policy,opaque_dependency_l4,none,evaluation_seen,opaque,809,200,0.0,4.0,4.0,4.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0021357610006816686,4.0,0.0,4.0,,0.0,0.0,,,,,,,,,,
autonomy,autonomy,contextual_policy,opaque_dependency_l4,none,evaluation_seen,opaque,857,200,0.0,4.0,4.0,4.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0021490389996324665,4.0,0.0,4.0,,0.0,0.0,,,,,,,,,,
autonomy,autonomy,contextual_policy,opaque_dependency_l4,none,evaluation_seen,opaque,907,200,0.0,4.0,4.0,4.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.001813109500653809,4.0,0.0,4.0,,0.0,0.0,,,,,,,,,,
autonomy,autonomy,contextual_policy,opaque_dependency_l4,none,evaluation_seen,opaque,953,200,0.0,4.0,4.0,4.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0017474549998587462,4.0,0.0,4.0,,0.0,0.0,,,,,,,,,,
autonomy,autonomy,contextual_policy,opaque_dependency_l4,none,evaluation_unseen_zero_shot,opaque,1009,200,0.0,4.0,4.0,4.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0019517060004000087,4.0,0.0,4.0,,0.0,0.0,,,,,,,,,,
autonomy,autonomy,contextual_policy,opaque_dependency_l4,none,evaluation_unseen_zero_shot,opaque,1061,200,0.0,4.0,4.0,4.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.00206703449919587,4.0,0.0,4.0,,0.0,0.0,,,,,,,,,,
autonomy,autonomy,contextual_policy,opaque_dependency_l4,none,evaluation_unseen_zero_shot,opaque,1103,200,0.0,4.0,4.0,4.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.001522652501007542,4.0,0.0,4.0,,0.0,0.0,,,,,,,,,,
autonomy,autonomy,contextual_policy,opaque_dependency_l4,none,evaluation_unseen_zero_shot,opaque,1151,200,0.0,4.0,4.0,4.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0019963750001625157,4.0,0.0,4.0,,0.0,0.0,,,,,,,,,,
autonomy,autonomy,contextual_policy,opaque_dependency_l4,none,evaluation_unseen_zero_shot,opaque,1201,200,0.0,4.0,4.0,4.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0019272614999499638,4.0,0.0,4.0,,0.0,0.0,,,,,,,,,,
autonomy,autonomy,contextual_policy,opaque_dependency_l4,none,evaluation_unseen_zero_shot,opaque,1259,200,0.0,4.0,4.0,4.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0017501964996336028,4.0,0.0,4.0,,0.0,0.0,,,,,,,,,,
autonomy,autonomy,contextual_policy,opaque_dependency_l4,none,evaluation_unseen_zero_shot,opaque,1301,200,0.0,4.0,4.0,4.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.00210905149942846,4.0,0.0,4.0,,0.0,0.0,,,,,,,,,,
autonomy,autonomy,contextual_policy,opaque_dependency_l4,none,evaluation_unseen_zero_shot,opaque,131,200,0.0,4.0,4.0,4.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0021425104996887967,4.0,0.0,4.0,,0.0,0.0,,,,,,,,,,
autonomy,autonomy,contextual_policy,opaque_dependency_l4,none,evaluation_unseen_zero_shot,opaque,1361,200,0.0,4.0,4.0,4.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.002119614500697935,4.0,0.0,4.0,,0.0,0.0,,,,,,,,,,
autonomy,autonomy,contextual_policy,opaque_dependency_l4,none,evaluation_unseen_zero_shot,opaque,1423,200,0.0,4.0,4.0,4.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.001612802999879932,4.0,0.0,4.0,,0.0,0.0,,,,,,,,,,
autonomy,autonomy,contextual_policy,opaque_dependency_l4,none,evaluation_unseen_zero_shot,opaque,1481,200,0.0,4.0,4.0,4.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0017429394987993874,4.0,0.0,4.0,,0.0,0.0,,,,,,,,,,
