diagnostic,condition,representation,research_seed,adaptation_budget,training_final_tail,frozen_success,random_success,success_rate,start_checkpoint_fingerprint,evaluation_checkpoint_fingerprint,final_checkpoint_fingerprint,effect_updates,intervention_rate,mean_decision_regret,dead_end_entry_rate,root_action_optimality,graph_sha256,novelty_score,reusable_success_rate,creative_candidate
diagnostic_1,contextual_policy,identity_representation,2003,0,0.48,0.5,0.05,0.5,,,,0,,,,,,,,
diagnostic_1,full_aassr,identity_representation,2003,0,0.45,0.5,0.05,0.5,,,,0,,,,,,,,
diagnostic_1,contextual_policy,identity_representation,2011,0,0.48,0.5,0.05,0.5,,,,0,,,,,,,,
diagnostic_1,full_aassr,identity_representation,2011,0,0.46,0.5,0.05,0.5,,,,0,,,,,,,,
diagnostic_1,contextual_policy,identity_representation,2027,0,0.41,0.5,0.05,0.5,,,,0,,,,,,,,
diagnostic_1,full_aassr,identity_representation,2027,0,0.89,1.0,0.05,1.0,,,,0,,,,,,,,
diagnostic_2a,encoder_comparison,identity_representation,2003,0,,,,0.0,50742771bef7a7707f002e5e90dcd41860853a8b2313ae636a0ae76645c2ba33,50742771bef7a7707f002e5e90dcd41860853a8b2313ae636a0ae76645c2ba33,50742771bef7a7707f002e5e90dcd41860853a8b2313ae636a0ae76645c2ba33,0,,,,,,,,
diagnostic_2a,encoder_comparison,relational_effect_representation,2003,0,,,,1.0,3afe3c58b20853a35d051031810bb63ca4dc96e18b520bc7f7c324467c160006,3afe3c58b20853a35d051031810bb63ca4dc96e18b520bc7f7c324467c160006,3afe3c58b20853a35d051031810bb63ca4dc96e18b520bc7f7c324467c160006,1900,,,,,,,,
diagnostic_2a,encoder_comparison,identity_representation,2011,0,,,,0.0,babeb0ddb5e6573af77871bfc52c39bdbd42232be5c7d0a14d6bb0ad64fdedcd,babeb0ddb5e6573af77871bfc52c39bdbd42232be5c7d0a14d6bb0ad64fdedcd,babeb0ddb5e6573af77871bfc52c39bdbd42232be5c7d0a14d6bb0ad64fdedcd,0,,,,,,,,
diagnostic_2a,encoder_comparison,relational_effect_representation,2011,0,,,,1.0,86b22ad08e4675bab470f325c86f350f48e8d1a5de114abc0caac05df9c60557,86b22ad08e4675bab470f325c86f350f48e8d1a5de114abc0caac05df9c60557,86b22ad08e4675bab470f325c86f350f48e8d1a5de114abc0caac05df9c60557,1903,,,,,,,,
diagnostic_2a,encoder_comparison,identity_representation,2027,0,,,,0.0,f2814db14c089d3327f05730bf276b1452513d425a826f0fde32d3684202512e,f2814db14c089d3327f05730bf276b1452513d425a826f0fde32d3684202512e,f2814db14c089d3327f05730bf276b1452513d425a826f0fde32d3684202512e,0,,,,,,,,
diagnostic_2a,encoder_comparison,relational_effect_representation,2027,0,,,,1.0,090f2e7a46c7ccf65142f86febafed7c706aa3d6d2b916ba0c3046f8859f27e5,090f2e7a46c7ccf65142f86febafed7c706aa3d6d2b916ba0c3046f8859f27e5,090f2e7a46c7ccf65142f86febafed7c706aa3d6d2b916ba0c3046f8859f27e5,2111,,,,,,,,
diagnostic_2b,encoder_comparison,identity_representation,2003,1,,,,0.0,50742771bef7a7707f002e5e90dcd41860853a8b2313ae636a0ae76645c2ba33,2d569b8181d2ff4bc9161b981483589696438980b6f6b31b4ce5fe32bceb6a36,2d569b8181d2ff4bc9161b981483589696438980b6f6b31b4ce5fe32bceb6a36,0,,,,,,,,
diagnostic_2b,encoder_comparison,identity_representation,2003,4,,,,0.0,50742771bef7a7707f002e5e90dcd41860853a8b2313ae636a0ae76645c2ba33,843e9e54e1d25fe2b0ccc85fe1259595add3013237da37c52fc73b0b3e0376e0,843e9e54e1d25fe2b0ccc85fe1259595add3013237da37c52fc73b0b3e0376e0,0,,,,,,,,
diagnostic_2b,encoder_comparison,identity_representation,2003,16,,,,0.0,50742771bef7a7707f002e5e90dcd41860853a8b2313ae636a0ae76645c2ba33,970afa54883362160d888d7b1cf8e341b24210624349af422e2043c0dc2c0c63,970afa54883362160d888d7b1cf8e341b24210624349af422e2043c0dc2c0c63,0,,,,,,,,
diagnostic_2b,encoder_comparison,relational_effect_representation,2003,1,,,,0.0,3afe3c58b20853a35d051031810bb63ca4dc96e18b520bc7f7c324467c160006,8a1741e56a32cd67787b53cf46baf07211ada3c59fe07a93da3a51ddd75fbae5,8a1741e56a32cd67787b53cf46baf07211ada3c59fe07a93da3a51ddd75fbae5,1907,,,,,,,,
diagnostic_2b,encoder_comparison,relational_effect_representation,2003,4,,,,0.0,3afe3c58b20853a35d051031810bb63ca4dc96e18b520bc7f7c324467c160006,aeb84502eb15b834e9ad63936d467db94f0178834e93209fb5296dcee2e04b1e,aeb84502eb15b834e9ad63936d467db94f0178834e93209fb5296dcee2e04b1e,1911,,,,,,,,
diagnostic_2b,encoder_comparison,relational_effect_representation,2003,16,,,,0.0,3afe3c58b20853a35d051031810bb63ca4dc96e18b520bc7f7c324467c160006,161c9228ff12f2bc9d5c53ef0747af9104f7d0c15fa0db5a668839cc9e24f19e,161c9228ff12f2bc9d5c53ef0747af9104f7d0c15fa0db5a668839cc9e24f19e,1950,,,,,,,,
diagnostic_2b,encoder_comparison,identity_representation,2011,1,,,,0.0,babeb0ddb5e6573af77871bfc52c39bdbd42232be5c7d0a14d6bb0ad64fdedcd,533ef5d1bdb1af2eb197f0e65a8daacaa0aff760d82b43544e6e3c76f61fdde0,533ef5d1bdb1af2eb197f0e65a8daacaa0aff760d82b43544e6e3c76f61fdde0,0,,,,,,,,
diagnostic_2b,encoder_comparison,identity_representation,2011,4,,,,0.0,babeb0ddb5e6573af77871bfc52c39bdbd42232be5c7d0a14d6bb0ad64fdedcd,7b41bb33b0efe9e968c99c37d2b0321cfd9b9e5e0d55ff7aa9e8d43f75ea6502,7b41bb33b0efe9e968c99c37d2b0321cfd9b9e5e0d55ff7aa9e8d43f75ea6502,0,,,,,,,,
diagnostic_2b,encoder_comparison,identity_representation,2011,16,,,,0.5,babeb0ddb5e6573af77871bfc52c39bdbd42232be5c7d0a14d6bb0ad64fdedcd,91dabd878c82cc782d22c8666a15163b1ffb675d0e8ce21679ec09bdd2ed5e0e,91dabd878c82cc782d22c8666a15163b1ffb675d0e8ce21679ec09bdd2ed5e0e,0,,,,,,,,
diagnostic_2b,encoder_comparison,relational_effect_representation,2011,1,,,,0.0,86b22ad08e4675bab470f325c86f350f48e8d1a5de114abc0caac05df9c60557,b14b76e756ade0a0c6649ea9b1a672ea2f3a26302010ab5f8eb94a785b9afc03,b14b76e756ade0a0c6649ea9b1a672ea2f3a26302010ab5f8eb94a785b9afc03,1905,,,,,,,,
