condition,research_seed,phase,episode,world_seed,training,success,final_sparse_reward,primitive_steps,decision_count,imagination_decisions,imagined_nodes
full_aassr,9201,training,0,77001,True,False,0.0,30,30,7,162
full_aassr,9201,training,1,77002,True,False,0.0,30,30,6,210
full_aassr,9201,training,2,77003,True,False,0.0,30,30,7,146
full_aassr,9201,training,3,77001,True,False,0.0,30,30,9,114
full_aassr,9201,training,4,77002,True,False,0.0,30,30,5,90
full_aassr,9201,training,5,77003,True,False,0.0,30,30,11,90
full_aassr,9201,training,6,77001,True,False,0.0,30,30,11,90
full_aassr,9201,training,7,77002,True,False,0.0,30,30,8,90
full_aassr,9201,training,8,77003,True,False,0.0,30,30,11,90
full_aassr,9201,training,9,77001,True,False,0.0,30,30,7,90
full_aassr,9201,training,10,77002,True,False,0.0,30,30,15,90
full_aassr,9201,training,11,77003,True,False,0.0,30,30,11,90
full_aassr,9201,training,12,77001,True,False,0.0,30,30,10,90
full_aassr,9201,training,13,77002,True,False,0.0,30,30,12,90
full_aassr,9201,training,14,77003,True,False,0.0,30,30,14,90
full_aassr,9201,training,15,77001,True,False,0.0,30,30,20,90
full_aassr,9201,training,16,77002,True,False,0.0,30,30,15,90
full_aassr,9201,training,17,77003,True,False,0.0,30,30,14,90
full_aassr,9201,training,18,77001,True,False,0.0,30,30,16,90
full_aassr,9201,training,19,77002,True,False,0.0,30,30,17,90
full_aassr,9201,training,20,77003,True,False,0.0,30,30,17,90
full_aassr,9201,training,21,77001,True,False,0.0,30,30,19,90
full_aassr,9201,training,22,77002,True,False,0.0,30,30,12,90
full_aassr,9201,training,23,77003,True,False,0.0,30,30,23,90
full_aassr,9201,training,24,77001,True,False,0.0,30,30,22,90
full_aassr,9201,training,25,77002,True,False,0.0,30,30,21,90
full_aassr,9201,training,26,77003,True,False,0.0,30,30,23,90
full_aassr,9201,training,27,77001,True,False,0.0,30,30,22,90
full_aassr,9201,training,28,77002,True,False,0.0,30,30,21,90
full_aassr,9201,training,29,77003,True,False,0.0,30,30,23,90
full_aassr,9201,training,30,77001,True,False,0.0,30,30,22,90
full_aassr,9201,training,31,77002,True,False,0.0,30,30,23,90
full_aassr,9201,training,32,77003,True,False,0.0,30,30,23,90
full_aassr,9201,training,33,77001,True,False,0.0,30,30,21,90
full_aassr,9201,training,34,77002,True,False,0.0,30,30,24,90
full_aassr,9201,training,35,77003,True,False,0.0,30,30,25,90
full_aassr,9201,training,36,77001,True,False,0.0,30,30,24,90
full_aassr,9201,training,37,77002,True,False,0.0,30,30,28,90
full_aassr,9201,training,38,77003,True,False,0.0,30,30,26,90
full_aassr,9201,training,39,77001,True,False,0.0,30,30,28,90
full_aassr,9201,evaluation_train_world_frozen,0,77001,False,False,0.0,30,30,30,90
