condition,research_seed,phase,episode,world_seed,training,success,final_sparse_reward,primitive_steps,decision_count,imagination_decisions,imagined_nodes
random,9301,evaluation_train_world_frozen,0,77001,False,False,0.0,30,0,0,0
random,9301,evaluation_train_world_frozen,1,77002,False,False,0.0,30,0,0,0
random,9301,evaluation_train_world_frozen,2,77003,False,False,0.0,30,0,0,0
contextual_policy,9301,training,0,77001,True,False,0.0,30,0,0,0
contextual_policy,9301,training,1,77002,True,False,0.0,30,0,0,0
contextual_policy,9301,training,2,77003,True,False,0.0,30,0,0,0
contextual_policy,9301,training,3,77001,True,False,0.0,30,0,0,0
contextual_policy,9301,training,4,77002,True,False,0.0,30,0,0,0
contextual_policy,9301,training,5,77003,True,False,0.0,30,0,0,0
contextual_policy,9301,training,6,77001,True,False,0.0,30,0,0,0
contextual_policy,9301,training,7,77002,True,False,0.0,30,0,0,0
contextual_policy,9301,evaluation_train_world_frozen,0,77001,False,False,0.0,30,0,0,0
contextual_policy,9301,evaluation_train_world_frozen,1,77002,False,False,0.0,30,0,0,0
contextual_policy,9301,evaluation_train_world_frozen,2,77003,False,False,0.0,30,0,0,0
reduced_causal_agent,9301,training,0,77001,True,False,0.0,30,0,0,0
reduced_causal_agent,9301,training,1,77002,True,False,0.0,30,0,0,0
reduced_causal_agent,9301,training,2,77003,True,False,0.0,30,0,0,0
reduced_causal_agent,9301,training,3,77001,True,False,0.0,30,0,0,0
reduced_causal_agent,9301,training,4,77002,True,False,0.0,30,0,0,0
reduced_causal_agent,9301,training,5,77003,True,False,0.0,30,0,0,0
reduced_causal_agent,9301,training,6,77001,True,False,0.0,30,0,0,0
reduced_causal_agent,9301,training,7,77002,True,False,0.0,30,0,0,0
reduced_causal_agent,9301,evaluation_train_world_frozen,0,77001,False,False,0.0,30,0,0,0
reduced_causal_agent,9301,evaluation_train_world_frozen,1,77002,False,False,0.0,30,0,0,0
reduced_causal_agent,9301,evaluation_train_world_frozen,2,77003,False,False,0.0,30,0,0,0
tabular_fixed_goal_core,9301,training,0,77001,True,False,0.0,30,30,5,178
tabular_fixed_goal_core,9301,training,1,77002,True,False,0.0,30,30,9,180
tabular_fixed_goal_core,9301,training,2,77003,True,False,0.0,30,30,9,198
tabular_fixed_goal_core,9301,training,3,77001,True,False,0.0,30,30,17,154
tabular_fixed_goal_core,9301,training,4,77002,True,False,0.0,30,30,19,90
tabular_fixed_goal_core,9301,training,5,77003,True,False,0.0,30,30,22,172
tabular_fixed_goal_core,9301,training,6,77001,True,False,0.0,30,30,24,136
tabular_fixed_goal_core,9301,training,7,77002,True,False,0.0,30,30,26,90
tabular_fixed_goal_core,9301,evaluation_train_world_frozen,0,77001,False,False,0.0,30,30,30,90
tabular_fixed_goal_core,9301,evaluation_train_world_frozen,1,77002,False,False,0.0,30,30,30,90
tabular_fixed_goal_core,9301,evaluation_train_world_frozen,2,77003,False,False,0.0,30,30,30,90
full_aassr_no_imagination,9301,training,0,77001,True,False,0.0,30,30,0,0
full_aassr_no_imagination,9301,training,1,77002,True,False,0.0,30,30,0,0
full_aassr_no_imagination,9301,training,2,77003,True,False,0.0,30,30,0,0
full_aassr_no_imagination,9301,training,3,77001,True,False,0.0,30,30,0,0
full_aassr_no_imagination,9301,training,4,77002,True,False,0.0,30,30,0,0
full_aassr_no_imagination,9301,training,5,77003,True,False,0.0,30,30,0,0
full_aassr_no_imagination,9301,training,6,77001,True,False,0.0,30,30,0,0
full_aassr_no_imagination,9301,training,7,77002,True,False,0.0,30,30,0,0
full_aassr_no_imagination,9301,evaluation_train_world_frozen,0,77001,False,False,0.0,30,30,0,0
full_aassr_no_imagination,9301,evaluation_train_world_frozen,1,77002,False,False,0.0,30,30,0,0
full_aassr_no_imagination,9301,evaluation_train_world_frozen,2,77003,False,False,0.0,30,30,0,0
full_aassr,9301,training,0,77001,True,False,0.0,30,30,4,138
full_aassr,9301,training,1,77002,True,False,0.0,30,30,9,176
full_aassr,9301,training,2,77003,True,False,0.0,30,30,9,206
full_aassr,9301,training,3,77001,True,False,0.0,30,30,17,188
full_aassr,9301,training,4,77002,True,False,0.0,30,30,19,176
full_aassr,9301,training,5,77003,True,False,0.0,30,30,22,208
full_aassr,9301,training,6,77001,True,False,0.0,30,30,24,208
full_aassr,9301,training,7,77002,True,False,0.0,30,30,26,206
full_aassr,9301,evaluation_train_world_frozen,0,77001,False,False,0.0,30,30,30,210
full_aassr,9301,evaluation_train_world_frozen,1,77002,False,False,0.0,30,30,30,210
full_aassr,9301,evaluation_train_world_frozen,2,77003,False,False,0.0,30,30,30,210
