diagnostic,condition,representation,research_seed,adaptation_budget,training_final_tail,frozen_success,random_success,success_rate,start_checkpoint_fingerprint,evaluation_checkpoint_fingerprint,final_checkpoint_fingerprint,effect_updates,intervention_rate,mean_decision_regret,dead_end_entry_rate,root_action_optimality,graph_sha256,novelty_score,reusable_success_rate,creative_candidate
diagnostic_1,contextual_policy,identity_representation,3001,0,0.9,1.0,0.06,1.0,,,,0,,,,,,,,
diagnostic_1,full_aassr,identity_representation,3001,0,0.81,1.0,0.06,1.0,,,,0,,,,,,,,
diagnostic_1,contextual_policy,identity_representation,3011,0,0.83,1.0,0.05,1.0,,,,0,,,,,,,,
diagnostic_1,full_aassr,identity_representation,3011,0,0.81,1.0,0.05,1.0,,,,0,,,,,,,,
diagnostic_1,contextual_policy,identity_representation,3019,0,0.89,1.0,0.03,1.0,,,,0,,,,,,,,
diagnostic_1,full_aassr,identity_representation,3019,0,0.89,1.0,0.03,1.0,,,,0,,,,,,,,
diagnostic_2a,encoder_comparison,identity_representation,3001,0,,,,0.0,0521a1bc600f2132d20b55be6d6af66e7da8b74c471a64587f3d36e7ac664b52,0521a1bc600f2132d20b55be6d6af66e7da8b74c471a64587f3d36e7ac664b52,0521a1bc600f2132d20b55be6d6af66e7da8b74c471a64587f3d36e7ac664b52,0,,,,,,,,
diagnostic_2a,encoder_comparison,relational_effect_representation,3001,0,,,,1.0,0eeaef3909bc1c3d6eb82eb8b90ff18bba6fc3d4d076694f8b094f623fbe0046,0eeaef3909bc1c3d6eb82eb8b90ff18bba6fc3d4d076694f8b094f623fbe0046,0eeaef3909bc1c3d6eb82eb8b90ff18bba6fc3d4d076694f8b094f623fbe0046,1914,,,,,,,,
diagnostic_2a,encoder_comparison,identity_representation,3011,0,,,,0.0,b38056aa7fbb879345b70db305aa3f5865e3a537fa2b0aab904fab8db7f7cec3,b38056aa7fbb879345b70db305aa3f5865e3a537fa2b0aab904fab8db7f7cec3,b38056aa7fbb879345b70db305aa3f5865e3a537fa2b0aab904fab8db7f7cec3,0,,,,,,,,
diagnostic_2a,encoder_comparison,relational_effect_representation,3011,0,,,,1.0,b28dcf47df9a39ef92095303c5316f4c496dea5a46e1a5db7ec799caa980e937,b28dcf47df9a39ef92095303c5316f4c496dea5a46e1a5db7ec799caa980e937,b28dcf47df9a39ef92095303c5316f4c496dea5a46e1a5db7ec799caa980e937,2242,,,,,,,,
diagnostic_2a,encoder_comparison,identity_representation,3019,0,,,,0.0,305dea8b184e0928f5b400d119b0f1b7c80edf7ae33aa24ded1fe1a5a875000a,305dea8b184e0928f5b400d119b0f1b7c80edf7ae33aa24ded1fe1a5a875000a,305dea8b184e0928f5b400d119b0f1b7c80edf7ae33aa24ded1fe1a5a875000a,0,,,,,,,,
diagnostic_2a,encoder_comparison,relational_effect_representation,3019,0,,,,1.0,bcbacab09ed18b56d238111f218e360222a8417af2517f124eb045e6b48e0dfb,bcbacab09ed18b56d238111f218e360222a8417af2517f124eb045e6b48e0dfb,bcbacab09ed18b56d238111f218e360222a8417af2517f124eb045e6b48e0dfb,2070,,,,,,,,
diagnostic_2b,encoder_comparison,identity_representation,3001,1,,,,0.0,0521a1bc600f2132d20b55be6d6af66e7da8b74c471a64587f3d36e7ac664b52,e0175346d4a59ef4a0cf1f8b30cc2ef16e76df6ed3983b37939ab41e3ff9bd38,e0175346d4a59ef4a0cf1f8b30cc2ef16e76df6ed3983b37939ab41e3ff9bd38,0,,,,,,,,
diagnostic_2b,encoder_comparison,identity_representation,3001,4,,,,0.5,0521a1bc600f2132d20b55be6d6af66e7da8b74c471a64587f3d36e7ac664b52,a8db5dfcdb2d19e52157f73f3e4753b5987f91a06b7bfc3a07aad1591ebf6d7f,a8db5dfcdb2d19e52157f73f3e4753b5987f91a06b7bfc3a07aad1591ebf6d7f,0,,,,,,,,
diagnostic_2b,encoder_comparison,identity_representation,3001,16,,,,1.0,0521a1bc600f2132d20b55be6d6af66e7da8b74c471a64587f3d36e7ac664b52,bf07becb0c7369e4e9db9e399d29eb8677847681d454036f4924b12bcbaf9135,bf07becb0c7369e4e9db9e399d29eb8677847681d454036f4924b12bcbaf9135,0,,,,,,,,
diagnostic_2b,encoder_comparison,relational_effect_representation,3001,1,,,,0.0,0eeaef3909bc1c3d6eb82eb8b90ff18bba6fc3d4d076694f8b094f623fbe0046,4ee1e9b9c10b6d64da924886259acac14b5dd5656b88f7d38bbd6958c9ac4503,4ee1e9b9c10b6d64da924886259acac14b5dd5656b88f7d38bbd6958c9ac4503,1916,,,,,,,,
diagnostic_2b,encoder_comparison,relational_effect_representation,3001,4,,,,0.0,0eeaef3909bc1c3d6eb82eb8b90ff18bba6fc3d4d076694f8b094f623fbe0046,1a517c4d44b6aa94018c82b36e8f1cc827bad283c145f7e63e172a7b5d8a014d,1a517c4d44b6aa94018c82b36e8f1cc827bad283c145f7e63e172a7b5d8a014d,1927,,,,,,,,
diagnostic_2b,encoder_comparison,relational_effect_representation,3001,16,,,,0.0,0eeaef3909bc1c3d6eb82eb8b90ff18bba6fc3d4d076694f8b094f623fbe0046,570b2191d0ccda226346ff536efe08a812893086a59e70245548e2ee97fd87d7,570b2191d0ccda226346ff536efe08a812893086a59e70245548e2ee97fd87d7,1984,,,,,,,,
diagnostic_2b,encoder_comparison,identity_representation,3011,1,,,,0.0,b38056aa7fbb879345b70db305aa3f5865e3a537fa2b0aab904fab8db7f7cec3,2b8e5e707fbb6ffa54be2a18fa15c5f828ea06b102520633ca9ae7aa7bcfacf1,2b8e5e707fbb6ffa54be2a18fa15c5f828ea06b102520633ca9ae7aa7bcfacf1,0,,,,,,,,
diagnostic_2b,encoder_comparison,identity_representation,3011,4,,,,0.0,b38056aa7fbb879345b70db305aa3f5865e3a537fa2b0aab904fab8db7f7cec3,60306b334e5d0a9ded6e9839872a1bc85e319ed751086fa33ea0068ea1b6f8f3,60306b334e5d0a9ded6e9839872a1bc85e319ed751086fa33ea0068ea1b6f8f3,0,,,,,,,,
diagnostic_2b,encoder_comparison,identity_representation,3011,16,,,,0.0,b38056aa7fbb879345b70db305aa3f5865e3a537fa2b0aab904fab8db7f7cec3,b77b7b499bb4d448b6444608332c3dfba25ec3eb19aaf63a108cd4a3c9545f43,b77b7b499bb4d448b6444608332c3dfba25ec3eb19aaf63a108cd4a3c9545f43,0,,,,,,,,
diagnostic_2b,encoder_comparison,relational_effect_representation,3011,1,,,,0.0,b28dcf47df9a39ef92095303c5316f4c496dea5a46e1a5db7ec799caa980e937,9a67e4ddd5f6b129753f2593dee70b37c5e3fffb1e620f2fa9de26d20e11d36b,9a67e4ddd5f6b129753f2593dee70b37c5e3fffb1e620f2fa9de26d20e11d36b,2243,,,,,,,,
diagnostic_2b,encoder_comparison,relational_effect_representation,3011,4,,,,0.0,b28dcf47df9a39ef92095303c5316f4c496dea5a46e1a5db7ec799caa980e937,61843d68c72ebb1e9faa3ad5c6e350a32bd6d2e74134cfff0d5bd8b863d25abb,61843d68c72ebb1e9faa3ad5c6e350a32bd6d2e74134cfff0d5bd8b863d25abb,2255,,,,,,,,
diagnostic_2b,encoder_comparison,relational_effect_representation,3011,16,,,,0.0,b28dcf47df9a39ef92095303c5316f4c496dea5a46e1a5db7ec799caa980e937,c46c1ff1966633d94bf8ee0f3fbafb202d78171a73d4214530a699a87ca777ea,c46c1ff1966633d94bf8ee0f3fbafb202d78171a73d4214530a699a87ca777ea,2329,,,,,,,,
diagnostic_2b,encoder_comparison,identity_representation,3019,1,,,,0.0,305dea8b184e0928f5b400d119b0f1b7c80edf7ae33aa24ded1fe1a5a875000a,20f9307ff1416b282e2409f7275185a6f4365bd96bcdd2b0da6903073696ac48,20f9307ff1416b282e2409f7275185a6f4365bd96bcdd2b0da6903073696ac48,0,,,,,,,,
diagnostic_2b,encoder_comparison,identity_representation,3019,4,,,,0.0,305dea8b184e0928f5b400d119b0f1b7c80edf7ae33aa24ded1fe1a5a875000a,aeb4a9f5e96cff3c74d6219a0035a9195ab611145dc946622fbb6878d03d04a3,aeb4a9f5e96cff3c74d6219a0035a9195ab611145dc946622fbb6878d03d04a3,0,,,,,,,,
diagnostic_2b,encoder_comparison,identity_representation,3019,16,,,,1.0,305dea8b184e0928f5b400d119b0f1b7c80edf7ae33aa24ded1fe1a5a875000a,c9a92450de1afee0d137f07e21bcbb5a99beb94c228d069279cf25cfde3c0633,c9a92450de1afee0d137f07e21bcbb5a99beb94c228d069279cf25cfde3c0633,0,,,,,,,,
diagnostic_2b,encoder_comparison,relational_effect_representation,3019,1,,,,0.0,bcbacab09ed18b56d238111f218e360222a8417af2517f124eb045e6b48e0dfb,14c5db6c777eb2d13cab5c031c348e663eea3df2e07f1de2456493cc654f9e21,14c5db6c777eb2d13cab5c031c348e663eea3df2e07f1de2456493cc654f9e21,2073,,,,,,,,
diagnostic_2b,encoder_comparison,relational_effect_representation,3019,4,,,,0.0,bcbacab09ed18b56d238111f218e360222a8417af2517f124eb045e6b48e0dfb,73ea1b8ea304d63af7bd0163822cc3aa28b188bb9032c9ef233558b309979d32,73ea1b8ea304d63af7bd0163822cc3aa28b188bb9032c9ef233558b309979d32,2082,,,,,,,,
diagnostic_2b,encoder_comparison,relational_effect_representation,3019,16,,,,0.0,bcbacab09ed18b56d238111f218e360222a8417af2517f124eb045e6b48e0dfb,a0ad5df03b3ea757eaf13cbe8717f5d3ea37f5d30f8c9e216f9cd834fc70330b,a0ad5df03b3ea757eaf13cbe8717f5d3ea37f5d30f8c9e216f9cd834fc70330b,2123,,,,,,,,
diagnostic_4,policy_only,relational_effect_representation,3001,0,,,,1.0,,,,0,0.0,0.0070567500000000005,0.0,0.0,,,,
diagnostic_4,random_model_gated,relational_effect_representation,3001,0,,,,1.0,,,,0,0.0,0.0070567500000000005,0.0,0.75,,,,
diagnostic_4,learned_model_gated,relational_effect_representation,3001,0,,,,1.0,,,,0,0.0,0.0070567500000000005,0.0,0.75,,,,
diagnostic_4,oracle_model_upper_bound,relational_effect_representation,3001,0,,,,1.0,,,,0,0.6666666666666666,0.0,0.0,1.0,,,,
diagnostic_4,policy_only,relational_effect_representation,3011,0,,,,1.0,,,,0,0.0,0.007500000000000007,0.0,0.0,,,,
diagnostic_4,random_model_gated,relational_effect_representation,3011,0,,,,1.0,,,,0,0.0,0.007500000000000007,0.0,0.75,,,,
diagnostic_4,learned_model_gated,relational_effect_representation,3011,0,,,,1.0,,,,0,0.0,0.007500000000000007,0.0,0.75,,,,
diagnostic_4,oracle_model_upper_bound,relational_effect_representation,3011,0,,,,1.0,,,,0,0.3333333333333333,0.0,0.0,1.0,,,,
diagnostic_4,policy_only,relational_effect_representation,3019,0,,,,1.0,,,,0,0.0,0.0,0.0,0.0,,,,
diagnostic_4,random_model_gated,relational_effect_representation,3019,0,,,,1.0,,,,0,0.0,0.0,0.0,1.0,,,,
diagnostic_4,learned_model_gated,relational_effect_representation,3019,0,,,,1.0,,,,0,0.0,0.0,0.0,1.0,,,,
diagnostic_4,oracle_model_upper_bound,relational_effect_representation,3019,0,,,,1.0,,,,0,0.0,0.0,0.0,1.0,,,,
diagnostic_3,relational_transfer,relational_effect_representation,3001,0,,,,1.0,e071609037b5fb5d0caf8b58800750403f0ff38cfcd1d76b00e4d91a6b79a838,e071609037b5fb5d0caf8b58800750403f0ff38cfcd1d76b00e4d91a6b79a838,e071609037b5fb5d0caf8b58800750403f0ff38cfcd1d76b00e4d91a6b79a838,0,,,,,,,,
diagnostic_3,relational_transfer,relational_effect_representation,3001,1,,,,1.0,e071609037b5fb5d0caf8b58800750403f0ff38cfcd1d76b00e4d91a6b79a838,874417a0f6ce90d3e9c0e9d96f93f424f1d94168521f5387ce359ea8f878a421,874417a0f6ce90d3e9c0e9d96f93f424f1d94168521f5387ce359ea8f878a421,0,,,,,,,,
diagnostic_3,relational_transfer,relational_effect_representation,3001,4,,,,1.0,e071609037b5fb5d0caf8b58800750403f0ff38cfcd1d76b00e4d91a6b79a838,b13d6fc1303fa542703086fd9cb9760d72d83c092efb96f7e7e2410ff5894915,b13d6fc1303fa542703086fd9cb9760d72d83c092efb96f7e7e2410ff5894915,0,,,,,,,,
