condition,seed,episode,success,steps_to_flag,total_reward,external_reward,semantic_gain_total,prophecy_error_mean,repeat_count,error_count,knowledge_reuse_count,unique_action_count
A4_NO_POLICY_PRIOR,0,0,True,76,18.2681768707483,1.0,164,0.08413056450650434,9,3,9,67
A4_NO_POLICY_PRIOR,0,1,False,120,10.84067889408299,0.0,128,0.041407747057860815,61,2,10,59
A4_NO_POLICY_PRIOR,0,2,True,98,16.8396340660973,1.0,162,0.0846814308196361,33,6,12,65
A4_NO_POLICY_PRIOR,0,3,True,101,15.208579732192318,1.0,153,0.058038935055852045,41,4,9,60
A4_NO_POLICY_PRIOR,0,4,True,81,16.001867726431815,1.0,152,0.05151719038814047,21,2,8,60
A4_NO_POLICY_PRIOR,0,5,True,77,17.347696567094513,1.0,157,0.0691643535538749,7,3,6,70
A4_NO_POLICY_PRIOR,0,6,True,117,19.948304061679767,1.0,194,0.04696022967748625,42,0,7,75
A4_NO_POLICY_PRIOR,0,7,False,120,12.112450924398706,0.0,139,0.03645697012218623,58,1,9,62
A4_NO_POLICY_PRIOR,0,8,True,81,16.625547232976388,1.0,155,0.04426120300314348,19,0,7,62
A4_NO_POLICY_PRIOR,0,9,True,70,17.39347526811438,1.0,157,0.040165488957827566,3,0,5,67
A4_NO_POLICY_PRIOR,0,10,True,83,16.499672762601453,1.0,156,0.04014750050608232,22,0,7,61
A4_NO_POLICY_PRIOR,0,11,True,70,17.263911492969356,1.0,157,0.033995785379493174,3,0,5,67
A4_NO_POLICY_PRIOR,0,12,True,70,17.194990892500716,1.0,157,0.030713852023843594,3,0,5,67
A4_NO_POLICY_PRIOR,0,13,False,120,10.399329283794236,0.0,128,0.05692581343872876,57,8,13,63
A4_NO_POLICY_PRIOR,0,14,True,119,15.0080506309772,1.0,155,0.08425912131588793,54,9,14,65
A4_NO_POLICY_PRIOR,0,15,True,74,14.317562450660064,1.0,135,0.041331641921624494,18,1,12,56
A4_NO_POLICY_PRIOR,0,16,False,120,11.52162753446406,0.0,138,0.024211875957334966,63,0,7,57
A4_NO_POLICY_PRIOR,0,17,True,70,17.143258093527095,1.0,157,0.028250385406052042,3,0,5,67
A4_NO_POLICY_PRIOR,0,18,True,109,19.02567652858286,1.0,187,0.06041824246430763,25,7,14,84
A4_NO_POLICY_PRIOR,0,19,True,53,15.030863348771167,1.0,137,0.08055744331894124,7,3,12,46
A4_NO_POLICY_PRIOR,0,20,True,109,20.159725388965313,1.0,196,0.043110868164076804,21,4,12,88
A4_NO_POLICY_PRIOR,0,21,False,120,11.467368978202446,0.0,138,0.022704693838956805,63,0,7,57
A4_NO_POLICY_PRIOR,0,22,True,76,14.119302789622866,1.0,135,0.035934332878195856,20,1,12,56
A4_NO_POLICY_PRIOR,0,23,True,66,14.196266366757364,1.0,130,0.037690220543301185,7,1,12,59
