condition,seed,episode,success,steps_to_flag,total_reward,external_reward,semantic_gain_total,prophecy_error_mean,repeat_count,error_count,knowledge_reuse_count,unique_action_count
A4_NO_REPEAT_PENALTY,0,0,False,120,8.996768235537411,0.0,118,0.049910228764928066,72,5,11,48
A4_NO_REPEAT_PENALTY,0,1,False,120,4.63214638042988,0.0,82,0.02728184390082999,87,1,3,33
A4_NO_REPEAT_PENALTY,0,2,False,120,5.004385873842918,0.0,89,0.04317738538452549,85,6,8,35
A4_NO_REPEAT_PENALTY,0,3,False,120,4.338667939557021,0.0,82,0.014962998321028346,88,0,2,32
A4_NO_REPEAT_PENALTY,0,4,False,120,4.247882641963558,0.0,82,0.012441184498987692,88,0,2,32
A4_NO_REPEAT_PENALTY,0,5,True,71,16.324976216017017,1.0,149,0.07863738103366275,9,4,9,62
A4_NO_REPEAT_PENALTY,0,6,True,56,15.43514837342972,1.0,139,0.05863978413272139,5,1,8,51
A4_NO_REPEAT_PENALTY,0,7,False,120,9.174541677168424,0.0,130,0.0923483799213451,71,18,9,49
A4_NO_REPEAT_PENALTY,0,8,False,120,11.651684136208058,0.0,134,0.05976900378355715,66,3,7,54
A4_NO_REPEAT_PENALTY,0,9,False,120,14.36822225850792,0.0,152,0.0616172849585533,49,3,12,71
A4_NO_REPEAT_PENALTY,0,10,True,56,15.220466788065531,1.0,139,0.04586111833723391,5,1,8,51
A4_NO_REPEAT_PENALTY,0,11,True,82,18.53310871297097,1.0,171,0.05825645174678749,12,2,11,70
A4_NO_REPEAT_PENALTY,0,12,True,82,18.455463367083347,1.0,171,0.055100136873306706,12,2,11,70
A4_NO_REPEAT_PENALTY,0,13,False,120,9.343400101112566,0.0,130,0.09703889169757127,71,18,9,49
A4_NO_REPEAT_PENALTY,0,14,False,120,5.230581961334689,0.0,92,0.028627276703741353,88,3,4,32
A4_NO_REPEAT_PENALTY,0,15,False,120,4.201377301711846,0.0,82,0.011149369491995714,88,0,2,32
A4_NO_REPEAT_PENALTY,0,16,False,120,11.04784070574842,0.0,134,0.04299557515967832,66,3,7,54
A4_NO_REPEAT_PENALTY,0,17,True,82,18.408165318117735,1.0,171,0.05317745195600546,12,2,11,70
A4_NO_REPEAT_PENALTY,0,18,False,120,4.174042366062399,0.0,82,0.010390065723955512,88,0,2,32
A4_NO_REPEAT_PENALTY,0,19,False,120,5.188689933943964,0.0,92,0.027463609276221213,88,3,4,32
A4_NO_REPEAT_PENALTY,0,20,False,120,4.157295370591542,0.0,82,0.009924871405320602,88,0,2,32
A4_NO_REPEAT_PENALTY,0,21,False,120,10.998058623784836,0.0,134,0.041612739549578726,66,3,7,54
A4_NO_REPEAT_PENALTY,0,22,False,120,4.142242116554843,0.0,82,0.009506725459856744,88,0,2,32
A4_NO_REPEAT_PENALTY,0,23,False,120,9.307372636617037,0.0,130,0.09603812879491769,71,18,9,49
A4_NO_REPEAT_PENALTY,0,24,False,120,5.089561193640984,0.0,91,0.020543366490027314,87,2,5,33
A4_NO_REPEAT_PENALTY,0,25,False,120,5.058916779377926,0.0,91,0.01969213276049794,87,2,5,33
A4_NO_REPEAT_PENALTY,0,26,False,120,4.146558124143801,0.0,82,0.009626614559550026,88,0,2,32
A4_NO_REPEAT_PENALTY,0,27,True,82,18.379601447958812,1.0,171,0.05201631902271593,12,2,11,70
A4_NO_REPEAT_PENALTY,0,28,False,120,5.154141791618107,0.0,92,0.026503938656058525,88,3,4,32
A4_NO_REPEAT_PENALTY,0,29,True,56,15.19623289490803,1.0,139,0.044418624696906564,5,1,8,51
A4_NO_REPEAT_PENALTY,1,0,False,120,9.68157743736438,0.0,128,0.07309937326012166,79,9,14,41
A4_NO_REPEAT_PENALTY,1,1,False,120,8.036310072610457,0.0,125,0.14684194646140153,79,29,12,41
A4_NO_REPEAT_PENALTY,1,2,False,120,4.920540554479742,0.0,88,0.0380705709577706,89,4,8,31
A4_NO_REPEAT_PENALTY,1,3,False,120,9.227094328240684,0.0,128,0.07853039800668561,76,13,12,44
A4_NO_REPEAT_PENALTY,1,4,False,120,11.290300464226313,0.0,143,0.14278612400628646,71,23,9,49
A4_NO_REPEAT_PENALTY,1,5,False,120,8.348718800779299,0.0,115,0.034686633354980484,80,2,10,40
A4_NO_REPEAT_PENALTY,1,6,False,120,11.379493656164522,0.0,142,0.09248593489345892,71,13,11,49
A4_NO_REPEAT_PENALTY,1,7,False,120,10.79634605864175,0.0,134,0.047120723851159736,66,5,7,54
A4_NO_REPEAT_PENALTY,1,8,False,120,5.692163084720668,0.0,96,0.04144897457557409,84,6,7,36
A4_NO_REPEAT_PENALTY,1,9,False,120,3.959930633261634,0.0,81,0.012775850923934271,92,0,4,28
A4_NO_REPEAT_PENALTY,1,10,False,120,9.593560013468295,0.0,127,0.03454333370745261,75,3,12,45
A4_NO_REPEAT_PENALTY,1,11,False,120,9.631877233997395,0.0,127,0.03560770094437205,71,4,11,49
A4_NO_REPEAT_PENALTY,1,12,False,120,11.261110355086899,0.0,142,0.08919750986352494,71,13,11,49
A4_NO_REPEAT_PENALTY,1,13,False,120,3.831277379207991,0.0,81,0.009202149422444175,92,0,4,28
A4_NO_REPEAT_PENALTY,1,14,False,120,-0.4422192340535317,0.0,42,0.009938354609624115,100,0,2,20
A4_NO_REPEAT_PENALTY,1,15,False,120,9.485445471322393,0.0,127,0.031540151981177544,75,3,12,45
A4_NO_REPEAT_PENALTY,1,16,False,120,9.570942770028928,0.0,127,0.03391507694524801,71,4,11,49
A4_NO_REPEAT_PENALTY,1,17,False,120,3.7740666195516925,0.0,81,0.007612961654213674,92,0,4,28
A4_NO_REPEAT_PENALTY,1,18,False,120,-0.5875001903803334,0.0,42,0.00590277248943518,100,0,2,20
A4_NO_REPEAT_PENALTY,1,19,True,56,15.358417517009045,1.0,139,0.054072471250538316,5,1,8,51
A4_NO_REPEAT_PENALTY,1,20,True,56,15.30195730507291,1.0,139,0.05071174434957797,5,1,8,51
A4_NO_REPEAT_PENALTY,1,21,False,120,11.204991819010537,0.0,142,0.08763866163918156,71,13,11,49
A4_NO_REPEAT_PENALTY,1,22,False,120,-0.7828757897868774,0.0,39,0.008809005839253408,100,0,2,20
A4_NO_REPEAT_PENALTY,1,23,False,120,11.168805183536465,0.0,142,0.08663347732045737,71,13,11,49
A4_NO_REPEAT_PENALTY,1,24,False,120,11.138991336567711,0.0,142,0.08580531490465862,71,13,11,49
A4_NO_REPEAT_PENALTY,1,25,False,120,-0.9097658755566924,0.0,39,0.005284281234536324,100,0,2,20
A4_NO_REPEAT_PENALTY,1,26,False,120,-0.9270774338160086,0.0,39,0.004803404616221983,100,0,2,20
A4_NO_REPEAT_PENALTY,1,27,False,120,11.11421900759707,0.0,142,0.08511719465547415,71,13,11,49
A4_NO_REPEAT_PENALTY,1,28,False,120,-0.9358762929409121,0.0,39,0.004558991862752445,100,0,2,20
A4_NO_REPEAT_PENALTY,1,29,False,120,-0.6146903707723692,0.0,42,0.005147489700767518,100,0,2,20
A4_NO_REPEAT_PENALTY,2,0,False,120,4.67442018995369,0.0,82,0.028456116387602478,87,1,3,33
A4_NO_REPEAT_PENALTY,2,1,False,120,4.323690451438236,0.0,82,0.03260251253995101,89,3,5,31
A4_NO_REPEAT_PENALTY,2,2,False,120,0.6872156751985564,0.0,48,0.021867102088848785,98,0,2,22
A4_NO_REPEAT_PENALTY,2,3,False,120,4.114376128991174,0.0,82,0.022621559138643728,90,2,4,30
A4_NO_REPEAT_PENALTY,2,4,False,120,4.052981343070502,0.0,82,0.02091614841862504,90,2,4,30
A4_NO_REPEAT_PENALTY,2,5,True,71,16.32672791669729,1.0,149,0.07871962050222012,9,4,9,62
A4_NO_REPEAT_PENALTY,2,6,False,120,8.553224497955776,0.0,116,0.04314512494321597,76,4,10,44
