condition,seed,episode,step,action,template,action_signature,total_reward,external_reward,intrinsic_reward,semantic_gain,prophecy_error,error,flag_found,done,imagination_score,imagination_candidate_count
A4_FULL_C3,0,0,1,INSPECT_CELL,INSPECT_CELL {KK_UNKNOWN_NEIGHBOR},"INSPECT_CELL {KK_UNKNOWN_NEIGHBOR}|KK_UNKNOWN_NEIGHBOR=(1, 0)",0.5278571428571428,0.0,0.5,5,0.09285714285714285,False,False,False,1.4698437500000001,12
A4_FULL_C3,0,0,2,INSPECT_CELL,INSPECT_CELL {KK_UNKNOWN_NEIGHBOR},"INSPECT_CELL {KK_UNKNOWN_NEIGHBOR}|KK_UNKNOWN_NEIGHBOR=(1, 2)",0.7278571428571429,0.0,0.7000000000000001,7,0.09285714285714285,False,False,False,1.4699524122058114,11
A4_FULL_C3,0,0,3,MOVE_TOWARD,MOVE_TOWARD {KK_FRONTIER_CELL},"MOVE_TOWARD {KK_FRONTIER_CELL}|KK_FRONTIER_CELL=(1, 3)",0.12107142857142857,0.0,0.1,1,0.07023809523809521,False,False,False,1.4697848352660996,5
A4_FULL_C3,0,0,4,MOVE_TOWARD,MOVE_TOWARD {KK_FRONTIER_CELL},"MOVE_TOWARD {KK_FRONTIER_CELL}|KK_FRONTIER_CELL=(0, 2)",0.4347619047619048,0.0,0.4,4,0.11587301587301585,False,False,False,3.180434776846847,10
A4_FULL_C3,0,0,5,MOVE_TOWARD,MOVE_TOWARD {KK_FRONTIER_CELL},"MOVE_TOWARD {KK_FRONTIER_CELL}|KK_FRONTIER_CELL=(0, 1)",0.2260714285714286,0.0,0.2,2,0.08690476190476194,False,False,False,6.754589737124935,9
A4_FULL_C3,0,0,6,INSPECT_CELL,INSPECT_CELL {KK_UNKNOWN_NEIGHBOR},"INSPECT_CELL {KK_UNKNOWN_NEIGHBOR}|KK_UNKNOWN_NEIGHBOR=(0, 0)",0.12785714285714286,0.0,0.1,1,0.09285714285714285,False,False,False,1.4700453618583513,7
A4_FULL_C3,0,0,7,MOVE_TOWARD,MOVE_TOWARD {KK_FRONTIER_CELL},"MOVE_TOWARD {KK_FRONTIER_CELL}|KK_FRONTIER_CELL=(0, 3)",0.014285714285714277,0.0,0.0,0,0.04761904761904759,False,False,False,1.4699455468944669,5
A4_FULL_C3,0,0,8,INSPECT_CELL,INSPECT_CELL {KK_UNKNOWN_NEIGHBOR},"INSPECT_CELL {KK_UNKNOWN_NEIGHBOR}|KK_UNKNOWN_NEIGHBOR=(0, 3)",0.11857142857142858,0.0,0.1,1,0.061904761904761886,False,False,False,3.7390088702928033,7
A4_FULL_C3,0,0,9,MOVE_TOWARD,MOVE_TOWARD {KK_FRONTIER_CELL},"MOVE_TOWARD {KK_FRONTIER_CELL}|KK_FRONTIER_CELL=(2, 2)",0.014285714285714277,0.0,0.0,0,0.04761904761904759,False,False,False,1.36160925482753,4
A4_FULL_C3,0,0,10,INSPECT_CELL,INSPECT_CELL {KK_UNKNOWN_NEIGHBOR},"INSPECT_CELL {KK_UNKNOWN_NEIGHBOR}|KK_UNKNOWN_NEIGHBOR=(1, 3)",0.12333333333333334,0.0,0.1,1,0.07777777777777777,False,False,False,4.027939768450821,8
