condition,seed,episode,success,steps_to_flag,total_reward,external_reward,semantic_gain_total,prophecy_error_mean,repeat_count,error_count,knowledge_reuse_count,unique_action_count
A4_NO_POLICY_PRIOR,0,0,True,30,8.89083276643991,1.0,72,0.08231475182665658,1,0,4,29
A4_NO_POLICY_PRIOR,0,1,False,120,-17.331490628879756,0.0,56,0.0366252603088957,93,98,8,27
A4_NO_POLICY_PRIOR,0,2,True,15,4.866346744525316,1.0,36,0.05918816545007021,0,0,1,15
A4_NO_POLICY_PRIOR,0,3,True,44,9.009784659636233,1.0,78,0.057559443911835775,7,1,5,37
A4_NO_POLICY_PRIOR,0,4,True,25,7.903961090879324,1.0,64,0.0671948121172432,0,0,4,25
A4_NO_POLICY_PRIOR,0,5,True,4,2.9474474077871644,1.0,18,0.12287283982263698,0,0,1,4
A4_NO_POLICY_PRIOR,0,6,True,27,8.502789518438954,1.0,69,0.08059129857271044,1,0,8,26
A4_NO_POLICY_PRIOR,0,7,True,35,9.590017223020693,1.0,80,0.07047783076387547,3,0,4,32
A4_NO_POLICY_PRIOR,0,8,True,46,8.97277422593375,1.0,79,0.063244509125634,8,2,4,38
A4_NO_POLICY_PRIOR,0,9,True,28,5.957824703115682,1.0,48,0.09616960751377163,5,2,7,23
A4_NO_POLICY_PRIOR,0,10,True,40,6.738000795515454,1.0,61,0.09066673295962112,13,4,3,27
A4_NO_POLICY_PRIOR,0,11,True,5,3.082950730292117,1.0,20,0.18863382019474456,0,1,2,5
A4_NO_POLICY_PRIOR,0,12,True,7,3.806330635303514,1.0,27,0.1458717310969114,0,1,3,7
A4_NO_POLICY_PRIOR,0,13,True,4,2.9589245062908107,1.0,18,0.13243708857567554,0,0,1,4
A4_NO_POLICY_PRIOR,0,14,True,50,7.414245754916765,1.0,68,0.07428305032778428,18,3,12,32
A4_NO_POLICY_PRIOR,0,15,True,30,7.859489701894715,1.0,65,0.039943300210523766,0,0,1,30
A4_NO_POLICY_PRIOR,0,16,True,31,7.638528326209803,1.0,64,0.047153583463419614,4,0,2,27
A4_NO_POLICY_PRIOR,0,17,True,15,4.866996048077811,1.0,36,0.05933245512840248,0,0,1,15
A4_NO_POLICY_PRIOR,0,18,True,19,5.544915504638849,1.0,43,0.04296763239278053,0,0,1,19
A4_NO_POLICY_PRIOR,0,19,True,17,6.080890542102009,1.0,47,0.08448834158862907,1,0,5,16
A4_NO_POLICY_PRIOR,0,20,True,28,8.234533064581289,1.0,68,0.05173012673586764,0,0,3,28
A4_NO_POLICY_PRIOR,0,21,True,20,5.468551430246525,1.0,43,0.11975857170775418,3,2,4,17
A4_NO_POLICY_PRIOR,0,22,False,120,3.5515331408036266,0.0,77,0.07643147613343405,86,13,7,34
A4_NO_POLICY_PRIOR,0,23,True,7,3.5077943596229098,1.0,24,0.14656874267757602,0,1,1,7
A4_NO_POLICY_PRIOR,0,24,True,33,8.476940427653341,1.0,72,0.06332731592457984,3,1,3,30
A4_NO_POLICY_PRIOR,0,25,True,31,9.178595131520114,1.0,75,0.07834356252904442,1,0,3,30
A4_NO_POLICY_PRIOR,0,26,True,31,8.814327629313185,1.0,73,0.055304046162707975,0,0,2,31
A4_NO_POLICY_PRIOR,0,27,True,36,8.57157429344302,1.0,73,0.09459021235583502,3,3,6,33
A4_NO_POLICY_PRIOR,0,28,False,120,4.396868981360773,0.0,77,0.04019080503779923,83,3,8,37
A4_NO_POLICY_PRIOR,0,29,True,25,6.490277603267198,1.0,52,0.06537034710229295,0,1,3,25
A4_NO_POLICY_PRIOR,1,0,True,20,6.437845238095238,1.0,49,0.08964087301587301,0,0,3,20
A4_NO_POLICY_PRIOR,1,1,True,4,2.9793809523809522,1.0,18,0.14948412698412697,0,0,1,4
A4_NO_POLICY_PRIOR,1,2,True,6,3.35477806122449,1.0,21,0.14154336734693876,0,0,2,6
A4_NO_POLICY_PRIOR,1,3,True,34,7.249096088435374,1.0,59,0.0734407929838602,4,1,6,30
A4_NO_POLICY_PRIOR,1,4,True,36,10.166236525379384,1.0,84,0.08020708568327616,2,0,5,34
A4_NO_POLICY_PRIOR,1,5,True,27,7.44904381146398,1.0,59,0.06778318660049129,0,0,3,27
A4_NO_POLICY_PRIOR,1,6,False,120,-0.08590495357848756,0.0,81,0.06566930684504199,79,33,6,41
A4_NO_POLICY_PRIOR,1,7,True,48,8.751952123273552,1.0,77,0.0661077863384411,14,1,8,34
A4_NO_POLICY_PRIOR,1,8,True,12,4.699208071173133,1.0,34,0.09700224199253703,1,0,4,11
A4_NO_POLICY_PRIOR,1,9,True,21,5.846363794659447,1.0,46,0.07085139597768998,0,1,4,21
A4_NO_POLICY_PRIOR,1,10,True,22,6.694727501791382,1.0,54,0.08253446996839117,1,1,4,21
A4_NO_POLICY_PRIOR,1,11,True,4,2.9576754945676846,1.0,18,0.1313962454730706,0,0,1,4
A4_NO_POLICY_PRIOR,1,12,True,15,4.751604427563352,1.0,35,0.05591209501407827,0,0,1,15
A4_NO_POLICY_PRIOR,1,13,True,101,8.388762426046664,1.0,86,0.07718687874741467,63,2,6,38
A4_NO_POLICY_PRIOR,1,14,True,35,7.287341136446705,1.0,65,0.08927058442349564,7,4,4,28
A4_NO_POLICY_PRIOR,1,15,True,25,7.715791650010429,1.0,64,0.06877222000139051,0,1,1,25
A4_NO_POLICY_PRIOR,1,16,True,16,6.284584939040106,1.0,50,0.10095519563335523,0,1,5,16
A4_NO_POLICY_PRIOR,1,17,False,120,4.508823869389204,0.0,77,0.034967329705255644,85,1,8,35
A4_NO_POLICY_PRIOR,1,18,True,34,9.22895022239231,1.0,78,0.051857864940422445,2,0,4,32
A4_NO_POLICY_PRIOR,1,19,True,18,4.826500312303772,1.0,35,0.06046302079699484,0,0,2,18
A4_NO_POLICY_PRIOR,1,20,True,10,4.645940778193993,1.0,35,0.11531359273133089,0,1,4,10
A4_NO_POLICY_PRIOR,1,21,True,28,7.449627725740002,1.0,62,0.06543187211190496,6,0,5,22
A4_NO_POLICY_PRIOR,1,22,True,30,8.347296433655565,1.0,69,0.055255159295062785,1,0,4,29
A4_NO_POLICY_PRIOR,1,23,True,13,5.380262350432655,1.0,42,0.09750316677760394,0,1,3,13
A4_NO_POLICY_PRIOR,1,24,True,18,6.742252897770126,1.0,53,0.09115794403150485,1,0,5,17
A4_NO_POLICY_PRIOR,1,25,True,35,9.522416797553163,1.0,81,0.06880159976696787,2,1,2,33
A4_NO_POLICY_PRIOR,1,26,True,19,7.180097120532757,1.0,58,0.10177142465486948,0,1,5,19
A4_NO_POLICY_PRIOR,1,27,True,35,6.087711015710604,1.0,53,0.07502009673434319,8,3,3,27
A4_NO_POLICY_PRIOR,1,28,True,18,5.620099791905972,1.0,44,0.07779625776036513,0,1,3,18
A4_NO_POLICY_PRIOR,1,29,True,34,7.174571534145164,1.0,61,0.06613446413187878,8,1,4,26
A4_NO_POLICY_PRIOR,2,0,True,21,6.642797619047619,1.0,51,0.0861583522297808,0,0,2,21
A4_NO_POLICY_PRIOR,2,1,True,14,4.855688775510204,1.0,35,0.08468780369290572,0,0,2,14
A4_NO_POLICY_PRIOR,2,2,True,6,3.2885337301587305,1.0,21,0.10474096119929455,0,0,2,6
A4_NO_POLICY_PRIOR,2,3,True,21,6.569457292707293,1.0,52,0.06658052265195122,1,0,3,20
A4_NO_POLICY_PRIOR,2,4,True,5,3.1949604591836738,1.0,21,0.19664030612244898,0,1,2,5
A4_NO_POLICY_PRIOR,2,5,True,24,7.472152203458982,1.0,60,0.06557669492485853,0,0,2,24
A4_NO_POLICY_PRIOR,2,6,True,36,8.469944967380892,1.0,70,0.07592083031304553,3,1,5,33
A4_NO_POLICY_PRIOR,2,7,True,20,5.968646797329291,1.0,46,0.09477446622154859,0,1,2,20
A4_NO_POLICY_PRIOR,2,8,True,15,4.884249039418139,1.0,36,0.06316645320403085,0,0,1,15
A4_NO_POLICY_PRIOR,2,9,True,11,4.046283391731421,1.0,28,0.07463133082770342,0,0,1,11
A4_NO_POLICY_PRIOR,2,10,True,17,5.493379264858389,1.0,42,0.06732926761929185,1,0,3,16
A4_NO_POLICY_PRIOR,2,11,True,8,3.407036627057771,1.0,22,0.08626526127407125,0,0,2,8
A4_NO_POLICY_PRIOR,2,12,True,16,6.288836108041382,1.0,49,0.0810075225086213,0,0,3,16
A4_NO_POLICY_PRIOR,2,13,True,16,4.335557965869275,1.0,31,0.06990790955609885,2,0,6,14
A4_NO_POLICY_PRIOR,2,14,True,6,3.2891335899934324,1.0,21,0.10507421666301787,0,0,2,6
A4_NO_POLICY_PRIOR,2,15,True,40,9.638760341697486,1.0,81,0.06573002847479038,5,0,7,35
A4_NO_POLICY_PRIOR,2,16,True,28,7.904935245485868,1.0,65,0.04820657684355568,0,0,2,28
A4_NO_POLICY_PRIOR,2,17,True,24,7.8261730622740675,1.0,63,0.08002403642695377,1,0,4,23
A4_NO_POLICY_PRIOR,2,18,True,6,3.2764819661369815,1.0,21,0.0980455367427674,0,0,2,6
A4_NO_POLICY_PRIOR,2,19,True,22,6.494716317852936,1.0,51,0.05980550270499023,0,0,1,22
