condition,seed,episode,success,steps_to_flag,total_reward,external_reward,semantic_gain_total,prophecy_error_mean,repeat_count,error_count,knowledge_reuse_count,unique_action_count
A4_NO_REPEAT_PENALTY,0,0,True,40,7.916812358276644,1.0,68,0.09306769652305366,8,3,4,32
A4_NO_REPEAT_PENALTY,0,1,True,36,8.813880952380952,1.0,76,0.10313712522045854,2,4,6,34
A4_NO_REPEAT_PENALTY,0,2,True,15,4.862084272869987,1.0,36,0.05824094952666381,0,0,1,15
A4_NO_REPEAT_PENALTY,0,3,True,42,8.514356597735482,1.0,76,0.06463147601075249,10,2,3,32
A4_NO_REPEAT_PENALTY,0,4,True,24,7.182803667282737,1.0,59,0.10872273156704683,2,2,4,22
A4_NO_REPEAT_PENALTY,0,5,True,4,2.9474474077871644,1.0,18,0.12287283982263698,0,0,1,4
A4_NO_REPEAT_PENALTY,0,6,True,20,7.802162399682665,1.0,62,0.10036039994711074,0,0,4,20
A4_NO_REPEAT_PENALTY,0,7,True,28,8.399460919373151,1.0,69,0.06541201421108944,1,0,4,27
A4_NO_REPEAT_PENALTY,0,8,False,120,3.2762095600383834,0.0,72,0.020172487778843968,85,2,3,35
A4_NO_REPEAT_PENALTY,0,9,True,27,6.052020281346975,1.0,49,0.09901484954900916,5,2,7,22
A4_NO_REPEAT_PENALTY,0,10,True,26,8.946448643477483,1.0,73,0.08287803121506179,0,0,5,26
A4_NO_REPEAT_PENALTY,0,11,True,32,8.901724539815927,1.0,76,0.08351297289749232,6,1,6,26
A4_NO_REPEAT_PENALTY,0,12,True,7,3.806330635303514,1.0,27,0.1458717310969114,0,1,3,7
A4_NO_REPEAT_PENALTY,0,13,True,4,2.9589245062908107,1.0,18,0.13243708857567554,0,0,1,4
A4_NO_REPEAT_PENALTY,0,14,True,43,7.836474238734534,1.0,70,0.08422280920422742,17,2,5,26
A4_NO_REPEAT_PENALTY,0,15,True,30,7.863633630128206,1.0,65,0.04040373668091173,0,0,1,30
A4_NO_REPEAT_PENALTY,0,16,True,40,8.674723317741016,1.0,77,0.08539360981175133,5,4,5,35
A4_NO_REPEAT_PENALTY,0,17,True,15,4.872554644243551,1.0,36,0.06056769872078893,0,0,1,15
A4_NO_REPEAT_PENALTY,0,18,True,19,5.543612038535435,1.0,43,0.04273895412902365,0,0,1,19
A4_NO_REPEAT_PENALTY,0,19,True,17,6.080890542102009,1.0,47,0.08448834158862907,1,0,5,16
A4_NO_REPEAT_PENALTY,0,20,True,34,8.801769043449973,1.0,75,0.06880088661274232,4,1,4,30
A4_NO_REPEAT_PENALTY,0,21,False,120,-1.6191331040965502,0.0,38,0.09530185821954028,101,19,7,19
A4_NO_REPEAT_PENALTY,0,22,False,120,3.831053193665029,0.0,80,0.11475147760180636,86,20,6,34
A4_NO_REPEAT_PENALTY,0,23,True,5,3.1720126041773486,1.0,21,0.18134173611823212,0,1,2,5
A4_NO_REPEAT_PENALTY,0,24,True,28,8.307563158707751,1.0,69,0.07828132841758927,1,1,3,27
A4_NO_REPEAT_PENALTY,0,25,True,21,7.557147347378437,1.0,61,0.10430910275848193,0,1,5,21
A4_NO_REPEAT_PENALTY,0,26,True,30,8.61808562065617,1.0,71,0.057565068961796764,0,0,1,30
A4_NO_REPEAT_PENALTY,0,27,False,120,3.986394611859853,0.0,70,0.06351096144055147,90,4,6,30
A4_NO_REPEAT_PENALTY,0,28,True,33,9.244914361203783,1.0,77,0.08029437991957392,1,1,4,32
A4_NO_REPEAT_PENALTY,0,29,True,22,6.390652597312931,1.0,51,0.08191706019892889,1,1,3,21
A4_NO_REPEAT_PENALTY,1,0,True,13,5.442166666666667,1.0,40,0.11337606837606838,0,0,3,13
A4_NO_REPEAT_PENALTY,1,1,True,4,2.9793809523809522,1.0,18,0.14948412698412697,0,0,1,4
A4_NO_REPEAT_PENALTY,1,2,True,30,9.543060374149661,1.0,82,0.13256226379440667,5,3,5,25
A4_NO_REPEAT_PENALTY,1,3,True,18,6.59030045351474,1.0,54,0.1278334173175443,2,2,3,16
A4_NO_REPEAT_PENALTY,1,4,True,33,9.23922632129775,1.0,81,0.0847703354846212,10,1,3,23
A4_NO_REPEAT_PENALTY,1,5,True,21,7.248490059660228,1.0,60,0.11087143804130599,1,2,2,20
A4_NO_REPEAT_PENALTY,1,6,True,31,8.103043470949293,1.0,68,0.07021972805906371,3,1,4,28
A4_NO_REPEAT_PENALTY,1,7,True,18,5.939462172747887,1.0,49,0.18323373569405313,3,4,6,15
A4_NO_REPEAT_PENALTY,1,8,True,12,4.801304389402302,1.0,35,0.09758455261175057,1,0,4,11
A4_NO_REPEAT_PENALTY,1,9,True,23,5.985800326461336,1.0,51,0.15011598934222262,7,4,4,16
A4_NO_REPEAT_PENALTY,1,10,True,21,6.677388884743532,1.0,53,0.09164902932437018,0,1,5,21
A4_NO_REPEAT_PENALTY,1,11,True,4,2.9571195084485407,1.0,18,0.13093292370711726,0,0,1,4
A4_NO_REPEAT_PENALTY,1,12,True,15,4.7511939798238645,1.0,35,0.05582088440530317,0,0,1,15
A4_NO_REPEAT_PENALTY,1,13,True,15,7.262182894432895,1.0,60,0.147151754318421,0,2,3,15
A4_NO_REPEAT_PENALTY,1,14,True,26,7.454348542279887,1.0,62,0.12235237721537012,2,3,6,24
A4_NO_REPEAT_PENALTY,1,15,False,120,-1.472929095474968,0.0,42,0.13825196957013977,101,28,4,19
A4_NO_REPEAT_PENALTY,1,16,True,11,5.769408338038773,1.0,46,0.11194192061780996,0,1,3,11
A4_NO_REPEAT_PENALTY,1,17,True,41,8.684909916875352,1.0,77,0.12478942413620737,15,4,5,26
A4_NO_REPEAT_PENALTY,1,18,True,24,7.200335376665177,1.0,58,0.0625465800923857,1,0,2,23
A4_NO_REPEAT_PENALTY,1,19,True,21,5.280264157196277,1.0,41,0.10004192971369474,1,2,5,20
A4_NO_REPEAT_PENALTY,1,20,True,7,4.011718448063762,1.0,29,0.14843735622083895,0,1,2,7
A4_NO_REPEAT_PENALTY,1,21,True,12,5.250673387524662,1.0,39,0.09740927431240602,0,0,4,12
A4_NO_REPEAT_PENALTY,1,22,True,34,8.462662000840693,1.0,74,0.08457470596477383,4,3,2,30
A4_NO_REPEAT_PENALTY,1,23,True,8,4.420598317086761,1.0,33,0.13358263211948387,0,1,2,8
A4_NO_REPEAT_PENALTY,1,24,True,15,5.988925183071753,1.0,47,0.1197611517937229,1,1,6,14
A4_NO_REPEAT_PENALTY,1,25,True,25,7.756970642626917,1.0,64,0.07426275235025548,0,1,2,25
A4_NO_REPEAT_PENALTY,1,26,True,13,6.367710659957658,1.0,52,0.14556683588657884,0,2,4,13
A4_NO_REPEAT_PENALTY,1,27,True,24,6.380586852475962,1.0,50,0.05980372951055026,1,0,2,23
A4_NO_REPEAT_PENALTY,1,28,True,30,8.536404093353326,1.0,75,0.13182267703925837,7,4,5,23
A4_NO_REPEAT_PENALTY,1,29,True,26,7.851430885012654,1.0,66,0.1347988314118786,4,3,8,22
A4_NO_REPEAT_PENALTY,2,0,True,21,6.642797619047619,1.0,51,0.0861583522297808,0,0,2,21
A4_NO_REPEAT_PENALTY,2,1,True,48,8.841530612244899,1.0,86,0.13830073696145123,11,11,7,37
A4_NO_REPEAT_PENALTY,2,2,True,6,3.2885337301587305,1.0,21,0.10474096119929455,0,0,2,6
A4_NO_REPEAT_PENALTY,2,3,True,21,6.569457292707293,1.0,52,0.06658052265195122,1,0,3,20
A4_NO_REPEAT_PENALTY,2,4,True,5,3.1949604591836738,1.0,21,0.19664030612244898,0,1,2,5
A4_NO_REPEAT_PENALTY,2,5,True,24,7.472152203458982,1.0,60,0.06557669492485853,0,0,2,24
A4_NO_REPEAT_PENALTY,2,6,False,120,-1.782095762880868,0.0,35,0.07549733991997588,100,15,5,20
A4_NO_REPEAT_PENALTY,2,7,True,22,6.609122987805482,1.0,52,0.09229136178870939,0,1,1,22
A4_NO_REPEAT_PENALTY,2,8,True,15,4.884249039418139,1.0,36,0.06316645320403085,0,0,1,15
A4_NO_REPEAT_PENALTY,2,9,True,11,4.046283391731421,1.0,28,0.07463133082770342,0,0,1,11
A4_NO_REPEAT_PENALTY,2,10,True,17,5.493379264858389,1.0,42,0.06732926761929185,1,0,3,16
A4_NO_REPEAT_PENALTY,2,11,True,8,3.407036627057771,1.0,22,0.08626526127407125,0,0,2,8
A4_NO_REPEAT_PENALTY,2,12,True,17,6.258538488993763,1.0,48,0.08990950764583593,0,0,4,17
A4_NO_REPEAT_PENALTY,2,13,True,12,4.414413665724974,1.0,31,0.142892684923604,0,1,5,12
A4_NO_REPEAT_PENALTY,2,14,True,6,3.2891335899934324,1.0,21,0.10507421666301787,0,0,2,6
A4_NO_REPEAT_PENALTY,2,15,True,29,9.470029376234377,1.0,78,0.0770148708315375,0,0,6,29
A4_NO_REPEAT_PENALTY,2,16,True,28,7.904935245485868,1.0,65,0.04820657684355568,0,0,2,28
A4_NO_REPEAT_PENALTY,2,17,True,24,7.8261730622740675,1.0,63,0.08002403642695377,1,0,4,23
A4_NO_REPEAT_PENALTY,2,18,True,6,3.2764819661369815,1.0,21,0.0980455367427674,0,0,2,6
A4_NO_REPEAT_PENALTY,2,19,True,18,6.094258137397795,1.0,47,0.07301076618477677,0,0,3,18
A4_NO_REPEAT_PENALTY,2,20,False,120,4.933434745268543,0.0,80,0.05092874292412618,86,3,7,34
A4_NO_REPEAT_PENALTY,2,21,True,27,8.415183283088878,1.0,70,0.1191584300109724,3,2,6,24
A4_NO_REPEAT_PENALTY,2,22,False,120,2.5594250953264575,0.0,55,0.05581736375906826,95,1,7,25
A4_NO_REPEAT_PENALTY,2,23,True,14,5.448759710080665,1.0,42,0.07113326430492024,1,0,5,13
A4_NO_REPEAT_PENALTY,2,24,True,6,3.27646223961068,1.0,21,0.09803457756148899,0,0,2,6
A4_NO_REPEAT_PENALTY,2,25,True,4,2.959527947495522,1.0,18,0.13293995624626836,0,0,1,4
A4_NO_REPEAT_PENALTY,2,26,True,6,3.2727120308459523,1.0,21,0.09595112824775122,0,0,2,6
A4_NO_REPEAT_PENALTY,2,27,True,8,4.099383744018376,1.0,30,0.12474322667432322,0,1,3,8
A4_NO_REPEAT_PENALTY,2,28,True,22,6.653883116514309,1.0,53,0.05361865401731941,0,0,1,22
A4_NO_REPEAT_PENALTY,2,29,True,30,8.701226204453041,1.0,73,0.10013624493922678,2,2,4,28
A4_NO_REPEAT_PENALTY,3,0,True,25,7.57633843537415,1.0,61,0.10351179138321995,2,1,5,23
A4_NO_REPEAT_PENALTY,3,1,True,5,3.2087891156462587,1.0,21,0.205859410430839,0,1,2,5
A4_NO_REPEAT_PENALTY,3,2,True,8,3.4869195011337872,1.0,22,0.11954979213907786,0,0,2,8
A4_NO_REPEAT_PENALTY,3,3,True,24,7.434124458874459,1.0,59,0.08112839706589706,1,0,4,23
A4_NO_REPEAT_PENALTY,3,4,True,36,9.229632375560948,1.0,78,0.0860770718111988,2,2,3,34
A4_NO_REPEAT_PENALTY,3,5,True,14,5.140529601292732,1.0,38,0.08107847649826942,0,0,3,14
A4_NO_REPEAT_PENALTY,3,6,True,22,7.8416852688443806,1.0,63,0.0820735255824818,0,0,5,22
A4_NO_REPEAT_PENALTY,3,7,False,120,-1.7968498742022567,0.0,35,0.07508750349438176,100,15,5,20
A4_NO_REPEAT_PENALTY,3,8,False,120,3.7280481070744247,0.0,76,0.034112447418734,90,3,4,30
A4_NO_REPEAT_PENALTY,3,9,True,8,3.3903801056336396,1.0,22,0.07932504401401648,0,0,2,8
A4_NO_REPEAT_PENALTY,3,10,True,12,5.014350064585952,1.0,37,0.08731946238498657,0,0,5,12
