condition,seed,episode,success,steps_to_flag,total_reward,external_reward,semantic_gain_total,prophecy_error_mean,repeat_count,error_count,knowledge_reuse_count,unique_action_count
A4_NO_POLICY_PRIOR,0,0,True,75,16.197783034425893,1.0,147,0.0710125793078174,14,2,9,61
A4_NO_POLICY_PRIOR,0,1,False,120,15.94692857535791,0.0,170,0.07213690487105301,53,5,16,67
A4_NO_POLICY_PRIOR,0,2,True,108,18.491848812241297,1.0,178,0.10160027198275605,28,11,13,80
A4_NO_POLICY_PRIOR,0,3,True,99,19.55795439251726,1.0,186,0.06929139368744983,26,4,11,73
A4_NO_POLICY_PRIOR,0,4,True,58,17.47252384123813,1.0,156,0.050145048347018786,0,0,5,58
A4_NO_POLICY_PRIOR,0,5,True,42,13.011300921673685,1.0,112,0.0842302318788638,1,1,7,41
A4_NO_POLICY_PRIOR,0,6,True,64,18.254488001445058,1.0,164,0.07835875007526327,1,3,9,63
A4_NO_POLICY_PRIOR,0,7,True,95,18.24545905263861,1.0,170,0.07878803693468793,20,5,7,75
A4_NO_POLICY_PRIOR,0,8,False,120,0.12877962763114126,0.0,43,0.031354989656420584,98,2,6,22
A4_NO_POLICY_PRIOR,0,9,True,82,14.11157061275114,1.0,134,0.04112075661590002,26,0,5,56
A4_NO_POLICY_PRIOR,0,10,False,120,11.395598000385933,0.0,130,0.05404438889960924,59,3,9,61
A4_NO_POLICY_PRIOR,0,11,False,120,7.892078487419224,0.0,107,0.03589106909497842,74,2,9,46
A4_NO_POLICY_PRIOR,0,12,True,79,14.729931233821452,1.0,139,0.08354140227094731,23,5,9,56
A4_NO_POLICY_PRIOR,0,13,True,62,14.26156598862275,1.0,131,0.08126698863563167,7,5,8,55
A4_NO_POLICY_PRIOR,0,14,True,57,13.959678391880852,1.0,124,0.06489347320940644,3,2,9,54
A4_NO_POLICY_PRIOR,0,15,True,68,13.604533794122485,1.0,127,0.05169283304521982,15,2,6,53
A4_NO_POLICY_PRIOR,0,16,True,51,13.71992804030047,1.0,122,0.06012601570591299,0,2,6,51
A4_NO_POLICY_PRIOR,0,17,False,120,8.52611295054691,0.0,115,0.039614248626303056,72,4,6,48
A4_NO_POLICY_PRIOR,0,18,True,51,14.497244599995168,1.0,127,0.05537546405197178,1,0,8,50
A4_NO_POLICY_PRIOR,0,19,True,116,20.115742459941895,1.0,190,0.04068225459603141,22,1,11,94
A4_NO_POLICY_PRIOR,0,20,True,107,19.948051753158357,1.0,193,0.09028198607969959,21,11,8,86
A4_NO_POLICY_PRIOR,0,21,True,45,12.518039316671802,1.0,109,0.04578069012383717,0,0,4,45
A4_NO_POLICY_PRIOR,0,22,True,81,14.41822918799657,1.0,139,0.04807527522619627,17,4,10,64
A4_NO_POLICY_PRIOR,0,23,True,43,11.816831063663818,1.0,102,0.04781636152432686,0,0,3,43
A4_NO_POLICY_PRIOR,0,24,True,27,9.470231003426518,1.0,81,0.0703988893119156,0,1,3,27
A4_NO_POLICY_PRIOR,0,25,True,65,17.757862363132233,1.0,160,0.07219806990421697,1,3,10,64
A4_NO_POLICY_PRIOR,0,26,True,94,15.42881446360044,1.0,152,0.07548987459576025,26,8,11,68
A4_NO_POLICY_PRIOR,0,27,True,53,15.748940349690388,1.0,140,0.06282643708744567,1,1,9,52
A4_NO_POLICY_PRIOR,0,28,True,41,13.349781538443233,1.0,118,0.06095784865392126,0,1,5,41
A4_NO_POLICY_PRIOR,0,29,True,102,20.490444305507317,1.0,189,0.05197530410154623,16,1,11,86
A4_NO_POLICY_PRIOR,1,0,True,46,12.767420634920635,1.0,110,0.0701029445594663,4,0,4,42
A4_NO_POLICY_PRIOR,1,1,True,120,13.313507895566962,1.0,137,0.06426410821019338,58,4,14,62
A4_NO_POLICY_PRIOR,1,2,True,72,15.150395691609978,1.0,137,0.08103683757453597,14,3,6,58
A4_NO_POLICY_PRIOR,1,3,True,56,16.68118427086207,1.0,147,0.07328477802750406,1,1,5,55
A4_NO_POLICY_PRIOR,1,4,False,120,16.04542667689979,0.0,170,0.0734840743583275,48,6,10,72
A4_NO_POLICY_PRIOR,1,5,True,115,19.099307849725587,1.0,181,0.060849502890596666,34,2,11,81
A4_NO_POLICY_PRIOR,1,6,True,61,18.031532489065018,1.0,161,0.06729685732595712,2,1,5,59
A4_NO_POLICY_PRIOR,1,7,True,68,17.59245929470572,1.0,160,0.0780617301326333,4,4,9,64
A4_NO_POLICY_PRIOR,1,8,True,57,13.77339580800618,1.0,122,0.08616349754422098,2,4,7,55
A4_NO_POLICY_PRIOR,1,9,False,120,11.401651844411143,0.0,132,0.0583792179003095,62,4,8,58
A4_NO_POLICY_PRIOR,1,10,True,67,14.30538116189761,1.0,129,0.08981995830336365,8,5,15,59
A4_NO_POLICY_PRIOR,1,11,False,120,10.32450244663144,0.0,125,0.06873617907309554,57,9,10,63
A4_NO_POLICY_PRIOR,1,12,True,85,17.199061927782463,1.0,158,0.06270831089342986,12,3,13,73
A4_NO_POLICY_PRIOR,1,13,True,100,19.01871458969721,1.0,178,0.05395715298990696,16,3,11,84
A4_NO_POLICY_PRIOR,1,14,True,65,15.806516524628465,1.0,143,0.07725725767325456,0,5,11,65
A4_NO_POLICY_PRIOR,1,15,False,120,15.246979208106804,0.0,169,0.08047164466963343,39,13,13,81
A4_NO_POLICY_PRIOR,1,16,True,91,16.780481168431745,1.0,161,0.06888209408174892,28,4,6,63
A4_NO_POLICY_PRIOR,1,17,True,69,16.872843892726582,1.0,152,0.0832291735616706,5,4,12,64
A4_NO_POLICY_PRIOR,1,18,False,120,5.975307377556552,0.0,101,0.0882029827099042,74,18,6,46
A4_NO_POLICY_PRIOR,1,19,True,98,15.314582018464593,1.0,155,0.08893136117226502,28,12,11,70
A4_NO_POLICY_PRIOR,1,20,False,120,18.313798107535213,0.0,189,0.06149439187597806,28,7,11,92
A4_NO_POLICY_PRIOR,1,21,True,94,19.666632799892614,1.0,180,0.05200825531534087,12,1,9,82
A4_NO_POLICY_PRIOR,1,22,True,89,19.577739131208546,1.0,180,0.05909135322878439,4,4,9,85
A4_NO_POLICY_PRIOR,1,23,False,120,16.745220994735508,0.0,179,0.06514502763154188,46,6,12,74
A4_NO_POLICY_PRIOR,1,24,True,98,20.31406497521826,1.0,186,0.05830152976932843,12,2,9,86
A4_NO_POLICY_PRIOR,1,25,True,108,19.338849076157153,1.0,184,0.04749534185670217,32,0,8,76
A4_NO_POLICY_PRIOR,1,26,True,63,16.86034220679715,1.0,151,0.07991228607392326,3,3,8,60
A4_NO_POLICY_PRIOR,1,27,False,120,15.585757884333045,0.0,174,0.07877105234258457,37,14,11,83
A4_NO_POLICY_PRIOR,1,28,False,120,14.854395247038989,0.0,157,0.03206653463997188,40,0,6,80
A4_NO_POLICY_PRIOR,1,29,False,120,11.367637938820177,0.0,136,0.060212164967227144,56,8,9,64
A4_NO_POLICY_PRIOR,2,0,True,85,17.974653325049758,1.0,165,0.07743738529606883,22,2,9,63
A4_NO_POLICY_PRIOR,2,1,True,50,14.826843765026489,1.0,131,0.08512291766843252,3,2,6,47
A4_NO_POLICY_PRIOR,2,2,True,93,15.965653454005206,1.0,152,0.05253238186398589,22,3,6,71
A4_NO_POLICY_PRIOR,2,3,True,36,11.61786188811189,1.0,101,0.08498721186221185,4,1,6,32
A4_NO_POLICY_PRIOR,2,4,True,58,13.27755782781943,1.0,117,0.07054930044939249,9,1,10,49
A4_NO_POLICY_PRIOR,2,5,False,120,1.7340655324906986,0.0,58,0.01622404256918606,93,0,2,27
A4_NO_POLICY_PRIOR,2,6,True,53,11.189094211254929,1.0,103,0.0810751076260961,16,3,8,37
A4_NO_POLICY_PRIOR,2,7,True,100,18.409452638682552,1.0,171,0.08364842128941834,24,5,12,76
A4_NO_POLICY_PRIOR,2,8,False,120,18.638327666432136,0.0,190,0.05939799073422601,34,4,10,86
A4_NO_POLICY_PRIOR,2,9,False,120,-18.234806096882817,0.0,57,0.039310941753255085,99,102,6,21
A4_NO_POLICY_PRIOR,2,10,True,77,18.85277958313914,1.0,171,0.060726388880482096,1,3,7,76
A4_NO_POLICY_PRIOR,2,11,True,43,11.616914529417349,1.0,101,0.05557476972227501,4,0,5,39
A4_NO_POLICY_PRIOR,2,12,True,64,17.095567656413877,1.0,154,0.05185248210488928,2,1,6,62
A4_NO_POLICY_PRIOR,2,13,True,101,19.13190793708935,1.0,186,0.0901619781217606,20,11,13,81
A4_NO_POLICY_PRIOR,2,14,True,112,18.317872314418196,1.0,177,0.08088905697673193,34,7,10,78
A4_NO_POLICY_PRIOR,2,15,True,95,20.774862112579356,1.0,191,0.041223232020328196,6,1,9,89
A4_NO_POLICY_PRIOR,2,16,True,118,19.21489504792257,1.0,179,0.07527952112775622,39,2,7,79
A4_NO_POLICY_PRIOR,2,17,True,88,19.165789899096694,1.0,172,0.04794658708699588,6,0,8,82
A4_NO_POLICY_PRIOR,2,18,True,73,18.188180000438948,1.0,163,0.06795342467757748,0,3,5,73
A4_NO_POLICY_PRIOR,2,19,True,62,15.942309272167398,1.0,143,0.0641026490412579,3,2,8,59
A4_NO_POLICY_PRIOR,2,20,True,66,17.477088047222953,1.0,157,0.07207515390014901,5,2,8,61
A4_NO_POLICY_PRIOR,2,21,False,120,-4.723979391620077,0.0,39,0.10488946134388677,96,38,10,24
A4_NO_POLICY_PRIOR,2,22,True,37,9.770480551302668,1.0,83,0.04238563525249268,0,0,2,37
A4_NO_POLICY_PRIOR,2,23,False,120,10.985609321408791,0.0,127,0.052378036705799734,60,3,7,60
A4_NO_POLICY_PRIOR,2,24,True,74,16.5138092135667,1.0,146,0.09296437898949089,15,2,8,59
A4_NO_POLICY_PRIOR,2,25,True,35,10.494503961332157,1.0,92,0.07090513917449112,1,2,4,34
A4_NO_POLICY_PRIOR,2,26,True,48,11.483291394187352,1.0,102,0.06481190237412168,5,2,5,43
A4_NO_POLICY_PRIOR,2,27,False,120,12.415117182518085,0.0,141,0.044864366181057866,58,2,8,62
A4_NO_POLICY_PRIOR,2,28,True,110,18.109694952138813,1.0,176,0.06089984703450945,30,5,13,80
A4_NO_POLICY_PRIOR,2,29,False,120,15.502524399943349,0.0,165,0.04868123333175966,47,2,7,73
A4_NO_POLICY_PRIOR,3,0,True,78,18.752198227623076,1.0,173,0.09197428323175537,14,5,13,64
A4_NO_POLICY_PRIOR,3,1,True,66,11.595691310673454,1.0,109,0.08311572276128552,23,4,11,43
