condition,seed,episode,success,steps_to_flag,total_reward,external_reward,semantic_gain_total,prophecy_error_mean,repeat_count,error_count,knowledge_reuse_count,unique_action_count
A4_NO_REPEAT_PENALTY,0,0,True,40,11.73379761904762,1.0,102,0.10281646825396824,2,3,9,38
A4_NO_REPEAT_PENALTY,0,1,False,120,13.906807151967646,0.0,162,0.07241130977687903,62,9,13,58
A4_NO_REPEAT_PENALTY,0,2,False,120,15.402726833127137,0.0,172,0.10007574536464267,48,15,8,72
A4_NO_REPEAT_PENALTY,0,3,True,64,16.858694480474707,1.0,155,0.09420283752472429,13,4,6,51
A4_NO_REPEAT_PENALTY,0,4,False,120,10.954157683695913,0.0,130,0.0640043801026642,71,4,9,49
A4_NO_REPEAT_PENALTY,0,5,False,120,13.168884125384265,0.0,150,0.053302336816229576,63,3,7,57
A4_NO_REPEAT_PENALTY,0,6,True,78,19.92827220354109,1.0,182,0.07599453861286709,5,4,10,73
A4_NO_REPEAT_PENALTY,0,7,False,120,1.0355200506805837,0.0,47,0.03570889029668289,99,0,5,21
A4_NO_REPEAT_PENALTY,0,8,False,120,-0.6115780129338897,0.0,42,0.06356727741850306,98,11,6,22
A4_NO_REPEAT_PENALTY,0,9,False,120,10.751834347520601,0.0,134,0.023662065208905552,70,0,7,50
A4_NO_REPEAT_PENALTY,0,10,False,120,-0.4653415395741723,0.0,67,0.11624051278960632,87,35,11,33
A4_NO_REPEAT_PENALTY,0,11,False,120,6.305633894273447,0.0,94,0.030712052618706853,80,1,7,40
A4_NO_REPEAT_PENALTY,0,12,False,120,14.500154031000749,0.0,168,0.04305983419446519,65,3,6,55
A4_NO_REPEAT_PENALTY,0,13,False,120,1.732902856057821,0.0,61,0.042580634890495024,90,7,7,30
A4_NO_REPEAT_PENALTY,0,14,True,32,10.899026400417874,1.0,97,0.11969025004352842,3,4,8,29
A4_NO_REPEAT_PENALTY,0,15,False,120,-0.6843442086021001,0.0,42,0.061545994205497216,98,11,6,22
A4_NO_REPEAT_PENALTY,0,16,True,42,13.785826794286233,1.0,123,0.08617672970525658,0,3,6,42
A4_NO_REPEAT_PENALTY,0,17,False,120,7.597181667978034,0.0,108,0.02908837966605648,77,2,8,43
