condition,seed,episode,success,steps_to_flag,total_reward,external_reward,semantic_gain_total,prophecy_error_mean,repeat_count,error_count,knowledge_reuse_count,unique_action_count
A5_NO_FLAG_PROB,0,0,False,120,12.378025868622508,0.0,142,0.08550071857284741,58,10,11,62
A5_NO_FLAG_PROB,0,1,True,72,16.941329579793223,1.0,151,0.08987636943487147,10,3,12,62
A5_NO_FLAG_PROB,0,2,True,94,17.89848431748888,1.0,173,0.10278313182584675,22,11,11,72
A5_NO_FLAG_PROB,0,3,False,120,11.266009777920745,0.0,130,0.06711138272002069,59,6,10,61
A5_NO_FLAG_PROB,0,4,False,120,11.251026232951137,0.0,130,0.04863961758197602,58,3,10,62
A5_NO_FLAG_PROB,0,5,True,77,17.370137043284988,1.0,157,0.0701358027396098,7,3,6,70
A5_NO_FLAG_PROB,0,6,True,75,15.67931319099813,1.0,144,0.0657472529332502,20,1,8,55
A5_NO_FLAG_PROB,0,7,False,120,11.721405523749043,0.0,141,0.08531682010414006,53,14,9,67
A5_NO_FLAG_PROB,0,8,True,65,15.755155724379506,1.0,143,0.056674652532282294,9,1,8,56
A5_NO_FLAG_PROB,0,9,True,71,17.301690971062225,1.0,157,0.04468032727991665,3,1,5,68
A5_NO_FLAG_PROB,0,10,True,67,15.622054448962135,1.0,144,0.05084848004786738,12,1,8,55
A5_NO_FLAG_PROB,0,11,True,70,17.266537561345427,1.0,157,0.034120836254544054,3,0,5,67
A5_NO_FLAG_PROB,0,12,True,70,17.197102055147592,1.0,157,0.03081438357845678,3,0,5,67
A5_NO_FLAG_PROB,0,13,False,120,12.435610091956049,0.0,142,0.0648780581098902,54,7,9,66
A5_NO_FLAG_PROB,0,14,False,120,11.59184654632708,0.0,143,0.07894018184241884,59,13,10,61
A5_NO_FLAG_PROB,0,15,False,120,10.424068862874579,0.0,130,0.054835246190960495,59,8,11,61
A5_NO_FLAG_PROB,0,16,True,65,15.605609386294647,1.0,143,0.049005609553571576,9,1,8,56
A5_NO_FLAG_PROB,0,17,True,70,17.147818167556707,1.0,157,0.02846753178841451,3,0,5,67
A5_NO_FLAG_PROB,0,18,False,120,10.389684981512048,0.0,130,0.05388013837533463,59,8,11,61
A5_NO_FLAG_PROB,0,19,False,120,11.53935771885357,0.0,143,0.07748215885704356,59,13,10,61
A5_NO_FLAG_PROB,0,20,False,120,10.387695156601493,0.0,130,0.053824865461152574,59,8,11,61
A5_NO_FLAG_PROB,0,21,True,65,15.586394513292008,1.0,143,0.04802023145087217,9,1,8,56
A5_NO_FLAG_PROB,0,22,False,120,10.36622312233212,0.0,130,0.05322842006478107,59,8,11,61
A5_NO_FLAG_PROB,0,23,False,120,12.127812029076994,0.0,142,0.06188366747436089,54,8,9,66
A5_NO_FLAG_PROB,0,24,False,120,12.008555629330168,0.0,142,0.06412654525917133,54,9,10,66
