condition,seed,episode,success,steps_to_flag,total_reward,external_reward,semantic_gain_total,prophecy_error_mean,repeat_count,error_count,knowledge_reuse_count,unique_action_count
A5_NO_KNOWLEDGE_GAIN,0,0,False,120,0.24104239904140307,0.0,44,0.01919562219559453,97,0,4,23
A5_NO_KNOWLEDGE_GAIN,0,1,True,62,17.532010487528346,1.0,155,0.07967798320044864,1,2,8,61
A5_NO_KNOWLEDGE_GAIN,0,2,True,47,14.598042545106622,1.0,128,0.05659876206429934,0,0,7,47
A5_NO_KNOWLEDGE_GAIN,0,3,False,120,-0.05393598014798061,0.0,44,0.013779556107000534,99,0,7,21
A5_NO_KNOWLEDGE_GAIN,0,4,True,46,14.466704262597489,1.0,128,0.04831190308677445,0,0,8,46
A5_NO_KNOWLEDGE_GAIN,0,5,True,73,17.742124710606856,1.0,160,0.06585044340670564,6,2,7,67
A5_NO_KNOWLEDGE_GAIN,0,6,True,110,21.47012384900489,1.0,203,0.04000375300014812,19,1,10,91
A5_NO_KNOWLEDGE_GAIN,0,7,True,46,14.42778593832035,1.0,127,0.052738111472489024,0,0,8,46
A5_NO_KNOWLEDGE_GAIN,0,8,True,58,16.486218574635746,1.0,148,0.06242635486412328,0,2,6,58
A5_NO_KNOWLEDGE_GAIN,0,9,True,71,17.077123982301558,1.0,155,0.0411795296855191,6,0,6,65
A5_NO_KNOWLEDGE_GAIN,0,10,True,59,14.672769350259014,1.0,133,0.03800956781124361,6,0,7,53
A5_NO_KNOWLEDGE_GAIN,0,11,True,73,17.138401631943413,1.0,158,0.03828317954079507,6,1,5,67
A5_NO_KNOWLEDGE_GAIN,0,12,True,71,16.8044527748495,1.0,155,0.028378064546924875,6,0,6,65
A5_NO_KNOWLEDGE_GAIN,0,13,True,46,14.332311015762766,1.0,127,0.04581963882338877,0,0,7,46
A5_NO_KNOWLEDGE_GAIN,0,14,False,120,-0.4407299182284705,0.0,41,0.011368613382542489,99,0,6,21
A5_NO_KNOWLEDGE_GAIN,0,15,True,47,14.48127704516643,1.0,129,0.041225322352228984,0,0,7,47
A5_NO_KNOWLEDGE_GAIN,0,16,True,59,14.559170568264317,1.0,133,0.03159155752905746,6,0,7,53
A5_NO_KNOWLEDGE_GAIN,0,17,True,72,17.085471942081654,1.0,158,0.027105182503780238,6,0,5,66
A5_NO_KNOWLEDGE_GAIN,0,18,True,46,14.299352504734774,1.0,128,0.036184964111215454,0,0,8,46
A5_NO_KNOWLEDGE_GAIN,0,19,True,47,14.29945714359563,1.0,128,0.03542249245359069,0,0,7,47
A5_NO_KNOWLEDGE_GAIN,0,20,True,46,14.27032437419781,1.0,128,0.03408147639114553,0,0,8,46
A5_NO_KNOWLEDGE_GAIN,0,21,True,46,14.162855778130817,1.0,126,0.04078665058918965,0,0,7,46
A5_NO_KNOWLEDGE_GAIN,0,22,True,47,14.341658209514506,1.0,129,0.03132327727053222,0,0,7,47
A5_NO_KNOWLEDGE_GAIN,0,23,True,47,14.312476048052185,1.0,128,0.03634581901079324,0,0,6,47
A5_NO_KNOWLEDGE_GAIN,0,24,False,120,-0.7682145010415167,0.0,38,0.01060515274884676,99,0,5,21
A5_NO_KNOWLEDGE_GAIN,0,25,True,60,16.970415120447356,1.0,150,0.05946750669151981,2,0,9,58
A5_NO_KNOWLEDGE_GAIN,0,26,False,120,-0.3241515575289035,0.0,44,0.006273567846419344,99,0,7,21
A5_NO_KNOWLEDGE_GAIN,0,27,True,72,16.94825455106564,1.0,157,0.025382155141927803,6,0,7,66
A5_NO_KNOWLEDGE_GAIN,0,28,False,120,-0.6349040257717009,0.0,41,0.005974888173008312,99,0,6,21
A5_NO_KNOWLEDGE_GAIN,0,29,True,59,14.5335389786551,1.0,133,0.030143445121757036,6,0,7,53
A5_NO_KNOWLEDGE_GAIN,1,0,False,120,0.5637804942794984,0.0,47,0.019827235952208287,97,0,5,23
A5_NO_KNOWLEDGE_GAIN,1,1,True,62,17.234855725623582,1.0,152,0.0798309529905152,1,2,8,61
A5_NO_KNOWLEDGE_GAIN,1,2,False,120,-0.6294607509229884,0.0,38,0.014459423585472548,99,0,5,21
A5_NO_KNOWLEDGE_GAIN,1,3,True,47,14.545778372771021,1.0,128,0.05289208317524963,0,0,6,47
A5_NO_KNOWLEDGE_GAIN,1,4,True,46,14.447127052109563,1.0,127,0.054139641457214685,0,0,8,46
A5_NO_KNOWLEDGE_GAIN,1,5,True,46,14.293783824817606,1.0,127,0.043027813392580064,0,0,7,46
A5_NO_KNOWLEDGE_GAIN,1,6,True,46,14.294340728308635,1.0,127,0.04306816871801696,0,0,8,46
A5_NO_KNOWLEDGE_GAIN,1,7,True,71,17.137021841080823,1.0,155,0.06277097845449874,6,2,6,65
A5_NO_KNOWLEDGE_GAIN,1,8,True,47,14.527243776695357,1.0,129,0.044485374233713196,0,0,7,47
A5_NO_KNOWLEDGE_GAIN,1,9,False,120,-0.11228891772456559,0.0,44,0.012158641174317619,99,0,7,21
A5_NO_KNOWLEDGE_GAIN,1,10,True,60,17.065734965848687,1.0,150,0.06476305365826042,2,0,9,58
