condition,seed,episode,success,steps_to_flag,total_reward,external_reward,semantic_gain_total,prophecy_error_mean,repeat_count,error_count,knowledge_reuse_count,unique_action_count
A5_NO_ERROR_AVOIDANCE,0,0,True,36,8.864952380952381,1.0,73,0.089347442680776,4,1,5,32
A5_NO_ERROR_AVOIDANCE,0,1,True,36,8.752809523809525,1.0,75,0.10211199294532627,1,4,7,35
A5_NO_ERROR_AVOIDANCE,0,2,True,15,4.862084272869987,1.0,36,0.05824094952666381,0,0,1,15
A5_NO_ERROR_AVOIDANCE,0,3,True,44,8.67428346848378,1.0,76,0.054869959733619744,9,1,2,35
A5_NO_ERROR_AVOIDANCE,0,4,True,30,7.592310471488518,1.0,63,0.08247894127650196,1,2,2,29
A5_NO_ERROR_AVOIDANCE,0,5,True,4,2.9474474077871644,1.0,18,0.12287283982263698,0,0,1,4
A5_NO_ERROR_AVOIDANCE,0,6,True,19,7.589235947010383,1.0,61,0.08583086789655843,0,0,5,19
A5_NO_ERROR_AVOIDANCE,0,7,True,19,6.018874184679274,1.0,47,0.05594283941741645,0,0,3,19
A5_NO_ERROR_AVOIDANCE,0,8,True,37,8.24388594271601,1.0,72,0.07152125610054152,3,3,3,34
A5_NO_ERROR_AVOIDANCE,0,9,True,24,6.133833568258476,1.0,49,0.12275466225812158,5,2,7,19
A5_NO_ERROR_AVOIDANCE,0,10,True,26,8.946448643477483,1.0,73,0.08287803121506179,0,0,5,26
A5_NO_ERROR_AVOIDANCE,0,11,True,5,3.085915016006403,1.0,20,0.19061001067093505,0,1,2,5
A5_NO_ERROR_AVOIDANCE,0,12,True,7,3.806330635303514,1.0,27,0.1458717310969114,0,1,3,7
A5_NO_ERROR_AVOIDANCE,0,13,True,4,2.9589245062908107,1.0,18,0.13243708857567554,0,0,1,4
A5_NO_ERROR_AVOIDANCE,0,14,True,40,7.782528067841935,1.0,68,0.08604400565349452,9,3,11,31
A5_NO_ERROR_AVOIDANCE,0,15,True,30,7.863633630128206,1.0,65,0.04040373668091173,0,0,1,30
A5_NO_ERROR_AVOIDANCE,0,16,True,29,7.579655048708462,1.0,63,0.0781212699664898,4,1,3,25
A5_NO_ERROR_AVOIDANCE,0,17,True,15,4.872554644243551,1.0,36,0.06056769872078893,0,0,1,15
A5_NO_ERROR_AVOIDANCE,0,18,True,19,5.543612038535435,1.0,43,0.04273895412902365,0,0,1,19
A5_NO_ERROR_AVOIDANCE,0,19,True,18,6.261626880497015,1.0,48,0.0947457186105584,1,0,4,17
A5_NO_ERROR_AVOIDANCE,0,20,True,34,8.801769043449973,1.0,75,0.06880088661274232,4,1,4,30
A5_NO_ERROR_AVOIDANCE,0,21,True,20,5.415546622925839,1.0,43,0.11092443715430642,3,2,4,17
A5_NO_ERROR_AVOIDANCE,0,22,False,120,3.3932967338997013,0.0,77,0.0859249092749917,84,16,7,36
A5_NO_ERROR_AVOIDANCE,0,23,True,8,4.077933551503647,1.0,29,0.15747231312651963,0,1,2,8
A5_NO_ERROR_AVOIDANCE,0,24,True,28,8.307563158707751,1.0,69,0.07828132841758927,1,1,3,27
A5_NO_ERROR_AVOIDANCE,0,25,True,37,9.106169690929708,1.0,74,0.07713240458826195,3,0,3,34
A5_NO_ERROR_AVOIDANCE,0,26,True,25,7.771088278453861,1.0,63,0.06281177046051463,0,0,2,25
A5_NO_ERROR_AVOIDANCE,0,27,True,52,8.3513855126665,1.0,74,0.08342214824785249,15,3,7,37
A5_NO_ERROR_AVOIDANCE,0,28,True,35,9.297690762120807,1.0,77,0.06644673924960065,2,0,2,33
A5_NO_ERROR_AVOIDANCE,0,29,True,25,6.46518609265128,1.0,52,0.06202481235350394,0,1,3,25
A5_NO_ERROR_AVOIDANCE,1,0,True,13,5.442166666666667,1.0,40,0.11337606837606838,0,0,3,13
A5_NO_ERROR_AVOIDANCE,1,1,True,4,2.9793809523809522,1.0,18,0.14948412698412697,0,0,1,4
A5_NO_ERROR_AVOIDANCE,1,2,True,35,9.312878968253969,1.0,82,0.1297979969765684,9,4,6,26
A5_NO_ERROR_AVOIDANCE,1,3,True,18,6.64030045351474,1.0,54,0.1278334173175443,1,2,4,17
A5_NO_ERROR_AVOIDANCE,1,4,True,53,8.734189082742654,1.0,80,0.07447730080142478,25,1,3,28
A5_NO_ERROR_AVOIDANCE,1,5,True,20,7.4173839990541675,1.0,60,0.10289733317569452,0,1,2,20
A5_NO_ERROR_AVOIDANCE,1,6,True,31,8.14083123873706,1.0,68,0.07428292889645809,3,1,4,28
A5_NO_ERROR_AVOIDANCE,1,7,True,51,8.158730068098212,1.0,75,0.08226993909138636,20,3,4,31
A5_NO_ERROR_AVOIDANCE,1,8,True,12,4.842761566335153,1.0,35,0.10910043509309818,1,0,4,11
A5_NO_ERROR_AVOIDANCE,1,9,True,12,5.204230277565572,1.0,41,0.19561952154599213,0,3,5,12
A5_NO_ERROR_AVOIDANCE,1,10,True,41,9.304684093503027,1.0,79,0.08981171491894525,10,1,5,31
A5_NO_ERROR_AVOIDANCE,1,11,True,4,2.9571195084485407,1.0,18,0.13093292370711726,0,0,1,4
A5_NO_ERROR_AVOIDANCE,1,12,True,15,4.7511939798238645,1.0,35,0.05582088440530317,0,0,1,15
A5_NO_ERROR_AVOIDANCE,1,13,True,15,7.2682543230043235,1.0,60,0.14850096066762736,0,2,3,15
A5_NO_ERROR_AVOIDANCE,1,14,True,22,6.960225699470781,1.0,57,0.1076099544652698,1,2,5,21
A5_NO_ERROR_AVOIDANCE,1,15,True,39,8.593909738100773,1.0,75,0.1191375844530575,10,4,4,29
A5_NO_ERROR_AVOIDANCE,1,16,True,11,5.91857500470544,1.0,47,0.12684091051679985,0,1,2,11
A5_NO_ERROR_AVOIDANCE,1,17,True,17,7.788981076897002,1.0,63,0.1743100150778435,0,2,5,17
A5_NO_ERROR_AVOIDANCE,1,18,True,24,7.200335376665177,1.0,58,0.0625465800923857,1,0,2,23
A5_NO_ERROR_AVOIDANCE,1,19,True,17,4.704329633386753,1.0,35,0.08908424184053983,1,1,3,16
A5_NO_ERROR_AVOIDANCE,1,20,True,7,4.011718448063762,1.0,29,0.14843735622083895,0,1,2,7
A5_NO_ERROR_AVOIDANCE,1,21,True,12,5.250673387524662,1.0,39,0.09740927431240602,0,0,4,12
A5_NO_ERROR_AVOIDANCE,1,22,True,44,8.602940628958608,1.0,76,0.08355610825443992,10,3,5,34
A5_NO_ERROR_AVOIDANCE,1,23,True,8,4.420598317086761,1.0,33,0.13358263211948387,0,1,2,8
A5_NO_ERROR_AVOIDANCE,1,24,True,15,6.163033577014469,1.0,48,0.13622968378099298,1,1,5,14
A5_NO_ERROR_AVOIDANCE,1,25,True,28,7.785754122685606,1.0,63,0.05782787174828646,0,0,1,28
A5_NO_ERROR_AVOIDANCE,1,26,True,16,7.516238713787886,1.0,62,0.14921639870580944,0,2,3,16
A5_NO_ERROR_AVOIDANCE,1,27,True,24,6.380586852475962,1.0,50,0.05980372951055026,1,0,2,23
A5_NO_ERROR_AVOIDANCE,1,28,True,12,6.385950891949052,1.0,50,0.1627641366525143,0,1,2,12
A5_NO_ERROR_AVOIDANCE,1,29,True,13,6.344620126715685,1.0,51,0.16528721197838064,0,2,3,13
A5_NO_ERROR_AVOIDANCE,2,0,True,21,6.642797619047619,1.0,51,0.0861583522297808,0,0,2,21
A5_NO_ERROR_AVOIDANCE,2,1,False,120,-9.319350758266035,0.0,64,0.06890692338149904,88,69,10,32
