condition,seed,episode,success,steps_to_flag,total_reward,external_reward,semantic_gain_total,prophecy_error_mean,repeat_count,error_count,knowledge_reuse_count,unique_action_count
A5_NO_FLAG_PROB,0,0,True,34,8.23826530612245,1.0,67,0.08218287314925969,2,1,4,32
A5_NO_FLAG_PROB,0,1,True,35,8.917523809523809,1.0,75,0.09690702947845804,0,3,7,35
A5_NO_FLAG_PROB,0,2,True,15,4.862084272869987,1.0,36,0.05824094952666381,0,0,1,15
A5_NO_FLAG_PROB,0,3,True,44,8.67428346848378,1.0,76,0.054869959733619744,9,1,2,35
A5_NO_FLAG_PROB,0,4,True,29,7.729882750400082,1.0,63,0.0724003161379405,0,1,2,29
A5_NO_FLAG_PROB,0,5,True,4,2.9474474077871644,1.0,18,0.12287283982263698,0,0,1,4
A5_NO_FLAG_PROB,0,6,True,19,7.589235947010383,1.0,61,0.08583086789655843,0,0,5,19
A5_NO_FLAG_PROB,0,7,True,28,8.399460919373151,1.0,69,0.06541201421108944,1,0,4,27
A5_NO_FLAG_PROB,0,8,True,37,8.280254449209519,1.0,72,0.07029319362247904,2,3,4,35
A5_NO_FLAG_PROB,0,9,True,24,6.133833568258476,1.0,49,0.12275466225812158,5,2,7,19
A5_NO_FLAG_PROB,0,10,True,26,8.946448643477483,1.0,73,0.08287803121506179,0,0,5,26
A5_NO_FLAG_PROB,0,11,True,5,3.085915016006403,1.0,20,0.19061001067093505,0,1,2,5
A5_NO_FLAG_PROB,0,12,True,7,3.806330635303514,1.0,27,0.1458717310969114,0,1,3,7
A5_NO_FLAG_PROB,0,13,True,4,2.9589245062908107,1.0,18,0.13243708857567554,0,0,1,4
A5_NO_FLAG_PROB,0,14,True,40,7.782528067841935,1.0,68,0.08604400565349452,9,3,11,31
A5_NO_FLAG_PROB,0,15,True,30,7.863633630128206,1.0,65,0.04040373668091173,0,0,1,30
A5_NO_FLAG_PROB,0,16,True,39,8.822223317741017,1.0,77,0.07882250578983041,4,3,5,35
A5_NO_FLAG_PROB,0,17,True,15,4.872554644243551,1.0,36,0.06056769872078893,0,0,1,15
A5_NO_FLAG_PROB,0,18,True,19,5.543612038535435,1.0,43,0.04273895412902365,0,0,1,19
A5_NO_FLAG_PROB,0,19,True,17,6.080890542102009,1.0,47,0.08448834158862907,1,0,5,16
A5_NO_FLAG_PROB,0,20,True,34,8.801769043449973,1.0,75,0.06880088661274232,4,1,4,30
A5_NO_FLAG_PROB,0,21,True,20,5.412808527687743,1.0,43,0.1104680879479572,3,2,4,17
A5_NO_FLAG_PROB,0,22,False,120,3.4049207581265373,0.0,77,0.0806922432812927,84,15,7,36
A5_NO_FLAG_PROB,0,23,True,8,4.077933551503647,1.0,29,0.15747231312651963,0,1,2,8
A5_NO_FLAG_PROB,0,24,True,28,8.307563158707751,1.0,69,0.07828132841758927,1,1,3,27
A5_NO_FLAG_PROB,0,25,True,37,9.060938650771037,1.0,74,0.07305753610549874,3,0,3,34
A5_NO_FLAG_PROB,0,26,True,30,8.61808562065617,1.0,71,0.057565068961796764,0,0,1,30
A5_NO_FLAG_PROB,0,27,True,59,8.341052187122477,1.0,76,0.07859051904646762,21,3,6,38
A5_NO_FLAG_PROB,0,28,True,35,9.297690762120807,1.0,77,0.06644673924960065,2,0,2,33
A5_NO_FLAG_PROB,0,29,True,25,6.46518609265128,1.0,52,0.06202481235350394,0,1,3,25
A5_NO_FLAG_PROB,1,0,True,13,5.442166666666667,1.0,40,0.11337606837606838,0,0,3,13
A5_NO_FLAG_PROB,1,1,True,4,2.9793809523809522,1.0,18,0.14948412698412697,0,0,1,4
A5_NO_FLAG_PROB,1,2,True,35,9.312878968253969,1.0,82,0.1297979969765684,9,4,6,26
A5_NO_FLAG_PROB,1,3,True,18,6.64030045351474,1.0,54,0.1278334173175443,1,2,4,17
A5_NO_FLAG_PROB,1,4,True,31,9.554569858712716,1.0,80,0.09188923211964686,2,1,9,29
A5_NO_FLAG_PROB,1,5,True,20,7.434121012041181,1.0,60,0.10568683534019668,0,1,2,20
A5_NO_FLAG_PROB,1,6,True,31,8.14083123873706,1.0,68,0.07428292889645809,3,1,4,28
A5_NO_FLAG_PROB,1,7,True,18,5.9215201762523195,1.0,49,0.17991114375042946,3,4,6,15
A5_NO_FLAG_PROB,1,8,True,12,4.842761566335153,1.0,35,0.10910043509309818,1,0,4,11
A5_NO_FLAG_PROB,1,9,True,23,5.985364917613469,1.0,51,0.1500528866106477,7,4,4,16
A5_NO_FLAG_PROB,1,10,True,32,8.736752069178145,1.0,73,0.08716167387272344,4,1,7,28
A5_NO_FLAG_PROB,1,11,True,4,2.9571195084485407,1.0,18,0.13093292370711726,0,0,1,4
A5_NO_FLAG_PROB,1,12,True,15,4.7511939798238645,1.0,35,0.05582088440530317,0,0,1,15
A5_NO_FLAG_PROB,1,13,True,15,7.262182894432895,1.0,60,0.147151754318421,0,2,3,15
A5_NO_FLAG_PROB,1,14,True,22,6.878758974598,1.0,56,0.11041802645424241,1,2,6,21
A5_NO_FLAG_PROB,1,15,True,37,8.355818374073449,1.0,74,0.10412778144805838,8,4,4,29
A5_NO_FLAG_PROB,1,16,True,11,5.769408338038773,1.0,46,0.11194192061780996,0,1,3,11
A5_NO_FLAG_PROB,1,17,True,37,8.673029830030227,1.0,73,0.0966693540567772,10,1,3,27
A5_NO_FLAG_PROB,1,18,True,24,7.200335376665177,1.0,58,0.0625465800923857,1,0,2,23
A5_NO_FLAG_PROB,1,19,True,17,4.720192728624848,1.0,35,0.09219465267153888,1,1,3,16
A5_NO_FLAG_PROB,1,20,True,7,4.011718448063762,1.0,29,0.14843735622083895,0,1,2,7
A5_NO_FLAG_PROB,1,21,True,12,5.250673387524662,1.0,39,0.09740927431240602,0,0,4,12
A5_NO_FLAG_PROB,1,22,True,44,8.590338021248856,1.0,76,0.08260136524612548,10,3,5,34
A5_NO_FLAG_PROB,1,23,True,8,4.420598317086761,1.0,33,0.13358263211948387,0,1,2,8
A5_NO_FLAG_PROB,1,24,True,15,6.008811363371911,1.0,47,0.12418030297153568,1,1,6,14
A5_NO_FLAG_PROB,1,25,True,28,7.73829797962232,1.0,63,0.05217833090741909,0,0,1,28
A5_NO_FLAG_PROB,1,26,True,13,6.367710659957658,1.0,52,0.14556683588657884,0,2,4,13
A5_NO_FLAG_PROB,1,27,True,24,6.380586852475962,1.0,50,0.05980372951055026,1,0,2,23
A5_NO_FLAG_PROB,1,28,True,35,8.900414829982877,1.0,78,0.11908712666503585,7,4,9,28
A5_NO_FLAG_PROB,1,29,True,26,7.850787487431501,1.0,66,0.13471634454250006,4,3,8,22
A5_NO_FLAG_PROB,2,0,True,21,6.642797619047619,1.0,51,0.0861583522297808,0,0,2,21
A5_NO_FLAG_PROB,2,1,False,120,-7.558981503388685,0.0,64,0.06780606935031432,88,60,11,32
A5_NO_FLAG_PROB,2,2,True,6,3.2885337301587305,1.0,21,0.10474096119929455,0,0,2,6
A5_NO_FLAG_PROB,2,3,True,21,6.569457292707293,1.0,52,0.06658052265195122,1,0,3,20
A5_NO_FLAG_PROB,2,4,True,5,3.1949604591836738,1.0,21,0.19664030612244898,0,1,2,5
A5_NO_FLAG_PROB,2,5,True,24,7.472152203458982,1.0,60,0.06557669492485853,0,0,2,24
A5_NO_FLAG_PROB,2,6,True,36,9.429951382227532,1.0,79,0.0814769798358826,3,1,4,33
A5_NO_FLAG_PROB,2,7,True,22,6.605194416376911,1.0,52,0.0916961236934713,0,1,1,22
A5_NO_FLAG_PROB,2,8,True,15,4.884249039418139,1.0,36,0.06316645320403085,0,0,1,15
A5_NO_FLAG_PROB,2,9,True,11,4.046283391731421,1.0,28,0.07463133082770342,0,0,1,11
A5_NO_FLAG_PROB,2,10,True,17,5.493379264858389,1.0,42,0.06732926761929185,1,0,3,16
A5_NO_FLAG_PROB,2,11,True,8,3.407036627057771,1.0,22,0.08626526127407125,0,0,2,8
A5_NO_FLAG_PROB,2,12,True,17,6.258538488993763,1.0,48,0.08990950764583593,0,0,4,17
A5_NO_FLAG_PROB,2,13,True,12,4.410663665724974,1.0,31,0.14185101825693733,0,1,5,12
A5_NO_FLAG_PROB,2,14,True,6,3.2891335899934324,1.0,21,0.10507421666301787,0,0,2,6
A5_NO_FLAG_PROB,2,15,True,30,9.330660328615329,1.0,76,0.08118448095725875,0,0,2,30
