condition,seed,episode,success,steps_to_flag,total_reward,external_reward,semantic_gain_total,prophecy_error_mean,repeat_count,error_count,knowledge_reuse_count,unique_action_count
A5_NO_KNOWLEDGE_GAIN,0,0,True,44,9.940357142857144,1.0,81,0.07502705627705626,3,0,7,41
A5_NO_KNOWLEDGE_GAIN,0,1,True,49,9.332279426922284,1.0,82,0.0804271718994751,9,3,8,40
A5_NO_KNOWLEDGE_GAIN,0,2,True,12,4.464505102040817,1.0,32,0.07347363945578231,0,0,1,12
A5_NO_KNOWLEDGE_GAIN,0,3,True,35,9.033906930371217,1.0,75,0.069895898130592,0,1,5,35
A5_NO_KNOWLEDGE_GAIN,0,4,True,35,8.823665739022882,1.0,72,0.07844435609741732,0,1,3,35
A5_NO_KNOWLEDGE_GAIN,0,5,True,5,3.145723443223443,1.0,20,0.09714896214896214,0,0,1,5
A5_NO_KNOWLEDGE_GAIN,0,6,True,38,8.080976113172543,1.0,67,0.059734746769521195,6,0,9,32
A5_NO_KNOWLEDGE_GAIN,0,7,True,20,6.358094352972449,1.0,50,0.05968239216207482,0,0,4,20
A5_NO_KNOWLEDGE_GAIN,0,8,True,50,9.099860971664274,1.0,78,0.06332406477761822,9,1,7,41
A5_NO_KNOWLEDGE_GAIN,0,9,True,4,3.0280719994291423,1.0,19,0.10672666619095189,0,0,1,4
A5_NO_KNOWLEDGE_GAIN,0,10,True,28,7.670220702155271,1.0,61,0.06788341692324655,0,0,6,28
A5_NO_KNOWLEDGE_GAIN,0,11,True,4,3.021774114774115,1.0,19,0.10147842897842899,0,0,1,4
A5_NO_KNOWLEDGE_GAIN,0,12,True,43,9.250521612047324,1.0,78,0.06593190791064524,4,1,8,39
A5_NO_KNOWLEDGE_GAIN,0,13,True,5,3.260719887955182,1.0,21,0.10714659197012137,0,0,1,5
A5_NO_KNOWLEDGE_GAIN,0,14,True,30,8.888548489337085,1.0,72,0.07650538770412042,0,0,7,30
A5_NO_KNOWLEDGE_GAIN,0,15,True,20,6.812757815017229,1.0,55,0.05212630250287152,0,0,2,20
A5_NO_KNOWLEDGE_GAIN,0,16,True,27,7.9316417760810625,1.0,68,0.0903261451951928,0,3,9,27
A5_NO_KNOWLEDGE_GAIN,0,17,True,23,7.377219032053335,1.0,60,0.054669424935266005,0,0,4,23
A5_NO_KNOWLEDGE_GAIN,0,18,True,16,5.192199503486774,1.0,40,0.04004156322641111,0,0,1,16
A5_NO_KNOWLEDGE_GAIN,0,19,True,15,5.123538537997539,1.0,38,0.07189745288834189,0,0,3,15
A5_NO_KNOWLEDGE_GAIN,0,20,False,120,4.1259369951121805,0.0,75,0.0201649165308939,82,0,6,38
A5_NO_KNOWLEDGE_GAIN,0,21,True,14,4.738586621933768,1.0,35,0.05680633855565916,0,0,2,14
A5_NO_KNOWLEDGE_GAIN,0,22,True,44,9.284681224936948,1.0,81,0.06323342613158697,5,2,8,39
A5_NO_KNOWLEDGE_GAIN,0,23,True,6,3.5519342863800865,1.0,24,0.08440793687782601,0,0,1,6
A5_NO_KNOWLEDGE_GAIN,0,24,False,120,-0.2778831133897979,0.0,48,0.08672546907250561,96,17,8,24
A5_NO_KNOWLEDGE_GAIN,0,25,True,21,7.815754796746015,1.0,63,0.08186584075333564,0,0,6,21
A5_NO_KNOWLEDGE_GAIN,0,26,True,29,8.471615709421098,1.0,71,0.04271444935874684,0,0,5,29
A5_NO_KNOWLEDGE_GAIN,0,27,True,9,3.769822353821287,1.0,26,0.06289716808195814,0,0,1,9
A5_NO_KNOWLEDGE_GAIN,0,28,True,45,9.65751993645157,1.0,81,0.07463110640381994,5,1,7,40
A5_NO_KNOWLEDGE_GAIN,0,29,True,25,6.288137803913668,1.0,50,0.06508504052182242,0,1,4,25
A5_NO_KNOWLEDGE_GAIN,1,0,True,22,7.128035714285715,1.0,55,0.0951569264069264,0,0,5,22
A5_NO_KNOWLEDGE_GAIN,1,1,True,5,3.189047619047619,1.0,20,0.12603174603174602,0,0,1,5
A5_NO_KNOWLEDGE_GAIN,1,2,False,120,-3.1645008608670624,0.0,75,0.07598608719813715,80,47,7,40
A5_NO_KNOWLEDGE_GAIN,1,3,False,120,0.1656147358417709,0.0,43,0.024044853773382523,96,1,8,24
A5_NO_KNOWLEDGE_GAIN,1,4,True,12,4.435406977942693,1.0,32,0.0653908272063034,0,0,1,12
A5_NO_KNOWLEDGE_GAIN,1,5,True,22,6.76337821107464,1.0,54,0.08536033501130902,0,1,5,22
A5_NO_KNOWLEDGE_GAIN,1,6,True,39,9.736300944911765,1.0,81,0.07147871324032172,0,1,8,39
A5_NO_KNOWLEDGE_GAIN,1,7,True,23,7.254431112188465,1.0,57,0.08035233509977754,0,0,6,23
A5_NO_KNOWLEDGE_GAIN,1,8,True,19,5.965845355146107,1.0,46,0.06418339563966789,0,0,2,19
A5_NO_KNOWLEDGE_GAIN,1,9,True,34,6.6803959750566895,1.0,54,0.06180352696634209,7,0,5,27
A5_NO_KNOWLEDGE_GAIN,1,10,True,32,8.930802334570192,1.0,74,0.08133357651772831,1,1,6,31
A5_NO_KNOWLEDGE_GAIN,1,11,True,5,3.2595156130634075,1.0,21,0.10634374204227144,0,0,1,5
A5_NO_KNOWLEDGE_GAIN,1,12,True,12,4.384492604542578,1.0,32,0.051247945706271426,0,0,1,12
A5_NO_KNOWLEDGE_GAIN,1,13,True,36,9.216882863810827,1.0,76,0.057118783686187585,0,0,3,36
A5_NO_KNOWLEDGE_GAIN,1,14,False,120,1.0046831717372928,0.0,51,0.015407865881591458,93,0,6,27
A5_NO_KNOWLEDGE_GAIN,1,15,True,29,8.749785539335669,1.0,73,0.07468799302708824,0,1,7,29
A5_NO_KNOWLEDGE_GAIN,1,16,True,11,4.7101083827470385,1.0,35,0.06366920689304188,0,0,2,11
A5_NO_KNOWLEDGE_GAIN,1,17,True,35,9.34306693242878,1.0,77,0.061244469755121815,0,0,6,35
A5_NO_KNOWLEDGE_GAIN,1,18,True,38,9.460650606771422,1.0,78,0.05795180761152816,0,0,6,38
A5_NO_KNOWLEDGE_GAIN,1,19,True,12,4.184206578707405,1.0,30,0.051168494085390204,0,0,1,12
A5_NO_KNOWLEDGE_GAIN,1,20,True,12,4.60772198967251,1.0,34,0.057700552686808196,0,0,1,12
