condition,seed,episode,success,steps_to_flag,total_reward,external_reward,semantic_gain_total,prophecy_error_mean,repeat_count,error_count,knowledge_reuse_count,unique_action_count
A5_NO_ERROR_AVOIDANCE,0,0,True,47,14.239957482993198,1.0,124,0.09148634631157428,1,2,9,46
A5_NO_ERROR_AVOIDANCE,0,1,False,120,17.216855567334285,0.0,182,0.07685709909261895,47,7,12,73
A5_NO_ERROR_AVOIDANCE,0,2,False,120,15.43454645949289,0.0,165,0.09401517943035799,41,12,10,79
A5_NO_ERROR_AVOIDANCE,0,3,True,81,18.291644068632237,1.0,168,0.07167259541696451,17,2,6,64
A5_NO_ERROR_AVOIDANCE,0,4,True,91,17.073490044379916,1.0,170,0.10891904924468557,18,15,11,73
A5_NO_ERROR_AVOIDANCE,0,5,True,45,13.244289935305556,1.0,114,0.08105851372633739,1,1,5,44
A5_NO_ERROR_AVOIDANCE,0,6,True,95,18.8658463277313,1.0,181,0.08827530974495795,23,8,11,72
A5_NO_ERROR_AVOIDANCE,0,7,True,85,15.228259825194232,1.0,145,0.06973567941938165,29,3,6,56
A5_NO_ERROR_AVOIDANCE,0,8,False,120,0.43431645762004256,0.0,46,0.023175457156112293,96,1,4,24
A5_NO_ERROR_AVOIDANCE,0,9,True,76,11.823790137123021,1.0,112,0.04051711127732543,26,0,4,50
A5_NO_ERROR_AVOIDANCE,0,10,False,120,14.475627741427596,0.0,162,0.09932299281743319,50,14,14,70
A5_NO_ERROR_AVOIDANCE,0,11,True,74,16.369192112733835,1.0,145,0.079693338411434,6,3,9,68
A5_NO_ERROR_AVOIDANCE,0,12,True,66,14.357727189526248,1.0,135,0.09129935300637607,15,6,11,51
A5_NO_ERROR_AVOIDANCE,0,13,True,104,12.352515628273943,1.0,129,0.09463191116262638,50,10,10,54
A5_NO_ERROR_AVOIDANCE,0,14,True,53,13.860911602122718,1.0,124,0.06986865422155453,1,3,8,52
A5_NO_ERROR_AVOIDANCE,0,15,True,58,15.917615523872726,1.0,142,0.06135721401567383,3,1,5,55
A5_NO_ERROR_AVOIDANCE,0,16,False,120,19.441666950154087,0.0,197,0.07060185972650235,32,6,9,88
A5_NO_ERROR_AVOIDANCE,0,17,True,89,19.60399429529725,1.0,181,0.05071139682761233,13,1,7,76
A5_NO_ERROR_AVOIDANCE,0,18,True,38,11.69185255406125,1.0,101,0.05630285561940775,1,0,7,37
