condition,seed,episode,success,steps_to_flag,total_reward,external_reward,semantic_gain_total,prophecy_error_mean,repeat_count,error_count,knowledge_reuse_count,unique_action_count
A5_NO_FLAG_PROB,0,0,True,47,14.239957482993198,1.0,124,0.09148634631157428,1,2,9,46
A5_NO_FLAG_PROB,0,1,True,120,19.230031084406527,1.0,185,0.07861197456684796,46,4,9,74
A5_NO_FLAG_PROB,0,2,True,94,19.592926364611923,1.0,186,0.0813094455536143,18,7,11,76
A5_NO_FLAG_PROB,0,3,True,81,17.9680565968014,1.0,166,0.07687475707001645,18,3,5,63
A5_NO_FLAG_PROB,0,4,True,64,16.446463969510024,1.0,148,0.06491999841198032,8,1,7,56
A5_NO_FLAG_PROB,0,5,True,45,13.240930524874717,1.0,114,0.0808096685092382,1,1,5,44
A5_NO_FLAG_PROB,0,6,True,84,17.98807904395299,1.0,168,0.08484440650607096,19,5,11,65
A5_NO_FLAG_PROB,0,7,False,120,11.967114843131306,0.0,134,0.06019763453142515,60,3,11,60
A5_NO_FLAG_PROB,0,8,False,120,0.04172854075743212,0.0,43,0.023381348354373114,98,1,6,22
A5_NO_FLAG_PROB,0,9,True,86,11.37999587733301,1.0,112,0.037984336330736834,36,0,4,50
A5_NO_FLAG_PROB,0,10,False,120,14.257887222550742,0.0,162,0.07938575618196507,44,13,14,76
A5_NO_FLAG_PROB,0,11,True,74,15.029453162204986,1.0,140,0.07790329559481912,14,5,12,60
A5_NO_FLAG_PROB,0,12,True,51,14.3672603670729,1.0,130,0.06648760569103916,5,2,9,46
A5_NO_FLAG_PROB,0,13,True,89,14.102469316584443,1.0,138,0.07125353245634616,32,5,6,57
A5_NO_FLAG_PROB,0,14,True,51,14.751412155141129,1.0,130,0.06218380098961616,0,1,4,51
A5_NO_FLAG_PROB,0,15,True,71,15.26680703422555,1.0,141,0.05008483728758451,14,1,5,57
A5_NO_FLAG_PROB,0,16,True,46,13.657939488746065,1.0,120,0.076662281793193,0,2,4,46
A5_NO_FLAG_PROB,0,17,True,88,17.851900504621167,1.0,167,0.04742047365989257,18,1,7,70
A5_NO_FLAG_PROB,0,18,True,36,11.672737613127705,1.0,101,0.05766089010441708,1,0,7,35
A5_NO_FLAG_PROB,0,19,False,120,17.793462153161943,0.0,183,0.04981839314338728,30,4,12,90
A5_NO_FLAG_PROB,0,20,False,120,17.46852884562959,0.0,184,0.08107024571193294,37,10,8,83
