condition,seed,episode,success,steps_to_flag,total_reward,external_reward,semantic_gain_total,prophecy_error_mean,repeat_count,error_count,knowledge_reuse_count,unique_action_count
A1_TRANSFORMER_C3,0,0,True,96,23.656807970864918,1.0,200,0.19294472121058737,14,11,16,82
A1_TRANSFORMER_C3,0,1,False,120,11.990427307802081,0.0,122,0.1664007585500578,60,16,10,60
A1_TRANSFORMER_C3,0,2,False,120,11.861700953920842,0.0,122,0.1558805820533567,59,15,10,61
A1_TRANSFORMER_C3,0,3,False,120,2.9710726317916403,0.0,44,0.09919646199421224,100,0,6,20
A1_TRANSFORMER_C3,0,4,False,120,12.071962135135566,0.0,132,0.14644339264265457,56,18,12,64
A1_TRANSFORMER_C3,0,5,True,116,24.89701904477183,1.0,208,0.14215571967735144,21,4,10,95
A1_TRANSFORMER_C3,0,6,False,120,22.9150815246949,0.0,204,0.13930782013041393,26,6,9,94
A1_TRANSFORMER_C3,0,7,False,120,20.63105700183585,0.0,184,0.13002936116210692,33,4,12,87
A1_TRANSFORMER_C3,0,8,False,120,11.28935331080556,0.0,124,0.13859314752237664,58,16,11,62
A1_TRANSFORMER_C3,0,9,True,116,21.946113452623134,1.0,188,0.13063544404089464,32,4,15,84
A1_TRANSFORMER_C3,0,10,False,120,22.247393762836058,0.0,198,0.12492760452322377,29,3,11,91
A1_TRANSFORMER_C3,0,11,False,120,19.24680265576573,0.0,174,0.11796674043793694,40,2,10,80
A1_TRANSFORMER_C3,0,12,True,65,18.512396908505973,1.0,154,0.1390972773592806,0,3,11,65
A1_TRANSFORMER_C3,0,13,True,107,22.51788314333237,1.0,191,0.1267253315679866,21,3,13,86
A1_TRANSFORMER_C3,0,14,True,72,17.772007127188058,1.0,146,0.1260188484809286,7,1,11,65
A1_TRANSFORMER_C3,0,15,False,120,10.235079543623161,0.0,126,0.15236332065619893,57,25,14,63
A1_TRANSFORMER_C3,0,16,False,120,19.326295765143428,0.0,176,0.1173971045873174,42,2,11,78
A1_TRANSFORMER_C3,0,17,False,120,16.77690295859426,0.0,159,0.12019174884984052,45,6,12,75
A1_TRANSFORMER_C3,0,18,False,120,10.599212500923953,0.0,126,0.1402559028034431,57,21,13,63
A1_TRANSFORMER_C3,0,19,True,77,17.779324912354305,1.0,146,0.12464610010191786,14,0,11,63
A1_TRANSFORMER_C3,0,20,False,120,10.671106244691742,0.0,126,0.14225295124143728,57,21,13,63
A1_TRANSFORMER_C3,0,21,False,120,7.739402607142697,0.0,101,0.13165007242063045,70,18,12,50
A1_TRANSFORMER_C3,0,22,True,76,18.416127605164696,1.0,149,0.13009331601599544,9,0,11,67
A1_TRANSFORMER_C3,0,23,True,75,17.839022966963757,1.0,146,0.12617879853172245,12,0,11,63
A1_TRANSFORMER_C3,0,24,True,82,17.27897968892994,1.0,147,0.135324377598778,15,5,12,67
A1_TRANSFORMER_C3,0,25,True,82,17.27538367693588,1.0,147,0.135178198249426,15,5,12,67
A1_TRANSFORMER_C3,0,26,False,120,10.740043503692986,0.0,111,0.1108345417692496,67,5,13,53
A1_TRANSFORMER_C3,0,27,True,72,18.14563347477636,1.0,153,0.13868673494335004,3,5,13,69
A1_TRANSFORMER_C3,0,28,True,93,21.986423503451284,1.0,185,0.1249614158943112,12,2,14,81
A1_TRANSFORMER_C3,0,29,False,120,13.497725780809242,0.0,130,0.10132571613359005,63,0,9,57
A1_TRANSFORMER_C3,1,0,False,120,13.986697069718632,0.0,139,0.17601936304773977,61,16,10,59
A1_TRANSFORMER_C3,1,1,True,65,17.156687216476215,1.0,145,0.18495831879365196,7,8,21,58
A1_TRANSFORMER_C3,1,2,False,120,11.983156688504696,0.0,136,0.18008768579179707,62,25,9,58
A1_TRANSFORMER_C3,1,3,False,120,10.695250390086231,0.0,118,0.1595902886135064,69,17,12,51
A1_TRANSFORMER_C3,1,4,False,120,12.875626616590973,0.0,135,0.15626740601641587,61,16,11,59
A1_TRANSFORMER_C3,1,5,False,120,11.822495257346176,0.0,133,0.1617359793707271,62,21,12,58
A1_TRANSFORMER_C3,1,6,False,120,12.702396899122343,0.0,136,0.15423324719784282,61,17,11,59
A1_TRANSFORMER_C3,1,7,True,101,24.708522527975244,1.0,214,0.16529777320050307,14,10,15,87
A1_TRANSFORMER_C3,1,8,True,80,15.62549868569923,1.0,141,0.1677291119041345,22,12,12,58
A1_TRANSFORMER_C3,1,9,True,80,15.642197757843075,1.0,141,0.1684249065767948,22,12,12,58
A1_TRANSFORMER_C3,1,10,True,84,16.900560711045507,1.0,149,0.16272066313672642,22,10,12,62
A1_TRANSFORMER_C3,1,11,True,86,16.663282050159008,1.0,147,0.1613675213239925,24,10,11,62
A1_TRANSFORMER_C3,1,12,True,84,17.056784212811905,1.0,151,0.16098350050840887,22,10,12,62
A1_TRANSFORMER_C3,1,13,False,120,12.741041458107617,0.0,127,0.17112948324056942,17,13,15,51
A1_TRANSFORMER_C3,1,14,False,120,12.815620727194151,0.0,127,0.1722522090431957,17,13,15,52
A1_TRANSFORMER_C3,1,15,False,120,2.287675359590109,0.0,39,0.10937987109972525,99,3,3,21
A1_TRANSFORMER_C3,1,16,True,117,24.038975366671405,1.0,214,0.15210756030402856,22,13,14,95
A1_TRANSFORMER_C3,1,17,True,71,19.444539177659504,1.0,173,0.16641029003096255,8,10,15,63
A1_TRANSFORMER_C3,1,18,True,71,19.480380000642526,1.0,173,0.16809295777664446,8,10,15,63
A1_TRANSFORMER_C3,1,19,False,120,2.4863092941845295,0.0,42,0.10656414706068137,99,3,3,21
A1_TRANSFORMER_C3,1,20,True,65,19.338577546194806,1.0,171,0.16351679724075915,3,9,16,62
A1_TRANSFORMER_C3,1,21,True,103,15.974122800711562,1.0,151,0.14964798707804408,39,14,9,64
A1_TRANSFORMER_C3,1,22,True,76,19.088762265625853,1.0,169,0.1552088712993794,11,9,16,65
A1_TRANSFORMER_C3,1,23,False,120,10.901195899475923,0.0,126,0.14864433054099785,65,19,8,55
A1_TRANSFORMER_C3,1,24,False,120,2.051705164690339,0.0,42,0.09449181013028718,99,3,3,21
A1_TRANSFORMER_C3,1,25,False,120,1.1006720424866565,0.0,39,0.07640755673574046,99,3,5,21
A1_TRANSFORMER_C3,1,26,True,82,17.22721471326786,1.0,163,0.16574043549869344,15,17,9,67
A1_TRANSFORMER_C3,1,27,False,120,1.621326492177458,0.0,42,0.08253684700492939,99,3,5,21
A1_TRANSFORMER_C3,1,28,True,68,19.271655489001905,1.0,171,0.15547330828440695,4,9,14,64
A1_TRANSFORMER_C3,1,29,False,120,1.5922808860239923,0.0,42,0.08173002461177756,99,3,5,21
A1_TRANSFORMER_C3,2,0,False,120,3.7537935485321854,0.0,45,0.1209387096814496,102,0,6,18
A1_TRANSFORMER_C3,2,1,True,48,15.717576848700663,1.0,124,0.16441505893754604,1,0,9,47
A1_TRANSFORMER_C3,2,2,True,51,15.99908379117418,1.0,127,0.15680286216824701,2,0,10,49
A1_TRANSFORMER_C3,2,3,True,51,15.927424543173471,1.0,127,0.1521192511878085,2,0,10,49
A1_TRANSFORMER_C3,2,4,True,51,16.088956903196085,1.0,129,0.14960502635268513,2,0,11,49
A1_TRANSFORMER_C3,2,5,True,49,15.852809086515963,1.0,127,0.1464495977221743,0,0,10,49
A1_TRANSFORMER_C3,2,6,False,120,3.3162492378417396,0.0,44,0.10739581216227055,99,0,4,21
A1_TRANSFORMER_C3,2,7,True,51,15.755815815017016,1.0,127,0.1409029944455565,2,0,10,49
A1_TRANSFORMER_C3,2,8,True,54,16.21892960919361,1.0,131,0.13697096353046964,2,0,10,52
A1_TRANSFORMER_C3,2,9,False,120,2.4812180212230146,0.0,42,0.09253383392286152,101,0,5,19
A1_TRANSFORMER_C3,2,10,True,54,16.160342656024103,1.0,131,0.13335448493975935,2,0,10,52
A1_TRANSFORMER_C3,2,11,False,120,2.063556055784684,0.0,42,0.08093211266068567,101,0,5,19
A1_TRANSFORMER_C3,2,12,False,120,1.7201119574279609,0.0,43,0.06861422103966558,101,0,3,19
A1_TRANSFORMER_C3,2,13,False,120,0.9685600288310057,0.0,39,0.060237778578639045,102,0,3,18
A1_TRANSFORMER_C3,2,14,True,119,24.53136144585979,1.0,212,0.11712497047226297,25,3,11,94
A1_TRANSFORMER_C3,2,15,False,120,1.6031679123648162,0.0,42,0.0681435531212449,101,0,5,19
A1_TRANSFORMER_C3,2,16,False,120,1.6161673060411892,0.0,45,0.0601713140566997,101,0,6,19
A1_TRANSFORMER_C3,2,17,False,120,1.4341442197267087,0.0,45,0.0551151172146308,101,0,6,19
A1_TRANSFORMER_C3,2,18,False,120,1.3156244503355188,0.0,45,0.05182290139820886,101,0,6,19
A1_TRANSFORMER_C3,2,19,True,69,17.79849704225648,1.0,148,0.11345396339403277,7,0,13,62
A1_TRANSFORMER_C3,2,20,False,120,1.5453745792158287,0.0,45,0.05820484942266191,101,0,6,19
A1_TRANSFORMER_C3,2,21,False,120,1.0194932144373978,0.0,42,0.0519303670677055,101,0,5,19
A1_TRANSFORMER_C3,2,22,False,120,0.9010491401410253,0.0,42,0.04864025389280626,101,0,5,19
A1_TRANSFORMER_C3,2,23,False,120,20.97958973658651,0.0,196,0.1008219371274031,33,3,11,87
A1_TRANSFORMER_C3,2,24,False,120,1.334149628910041,0.0,43,0.05789304524750113,101,0,3,19
A1_TRANSFORMER_C3,2,25,False,120,0.783077772848729,0.0,40,0.05091882702357581,101,0,2,19
A1_TRANSFORMER_C3,2,26,False,120,1.2026879383941282,0.0,45,0.04868577606650357,101,0,6,19
A1_TRANSFORMER_C3,2,27,False,120,0.5726367955189674,0.0,40,0.04507324431997131,101,0,2,19
A1_TRANSFORMER_C3,2,28,False,120,0.7251487617504755,0.0,42,0.04375413227084655,101,0,5,19
A1_TRANSFORMER_C3,2,29,True,75,19.70892342464511,1.0,164,0.10928548553978261,3,0,11,72
A1_TRANSFORMER_C3,3,0,False,120,4.292764547789881,0.0,47,0.12202123743860781,96,0,4,24
A1_TRANSFORMER_C3,3,1,False,120,2.3922111756369877,0.0,40,0.09422808821213856,100,0,2,20
A1_TRANSFORMER_C3,3,2,False,120,2.3479664847039614,0.0,43,0.08188795790844339,98,0,3,22
A1_TRANSFORMER_C3,3,3,False,120,2.274051333537082,0.0,46,0.07427920370936339,100,0,4,20
A1_TRANSFORMER_C3,3,4,False,120,2.0586872188206673,0.0,46,0.06829686718946298,100,0,4,20
A1_TRANSFORMER_C3,3,5,True,62,16.6919238801594,1.0,136,0.12859805807308597,6,0,6,56
A1_TRANSFORMER_C3,3,6,True,61,15.887206505291894,1.0,130,0.13044844291212537,6,1,11,55
A1_TRANSFORMER_C3,3,7,False,120,3.1616871303930303,0.0,51,0.07949130917758418,96,0,4,24
A1_TRANSFORMER_C3,3,8,True,56,15.518391402936723,1.0,127,0.1320471073176621,4,1,10,52
A1_TRANSFORMER_C3,3,9,False,120,2.737926422094058,0.0,48,0.07605351172483493,96,0,3,24
A1_TRANSFORMER_C3,3,10,True,74,18.04952590029214,1.0,149,0.12160026577892516,7,1,5,67
A1_TRANSFORMER_C3,3,11,True,95,17.68343513246824,1.0,154,0.12047140815678037,27,4,11,68
A1_TRANSFORMER_C3,3,12,False,120,3.135815230632353,0.0,51,0.07877264529534313,96,0,4,24
A1_TRANSFORMER_C3,3,13,True,88,18.1667500799534,1.0,157,0.12184659393762876,19,4,12,69
A1_TRANSFORMER_C3,3,14,False,120,2.6500791904393646,0.0,48,0.0736133108455379,96,0,3,24
A1_TRANSFORMER_C3,3,15,False,120,10.849229616212641,0.0,112,0.08331193378368446,67,0,6,53
A1_TRANSFORMER_C3,3,16,False,120,0.9664619721531076,0.0,39,0.05879061033758633,101,0,5,19
A1_TRANSFORMER_C3,3,17,True,100,20.20288770435022,1.0,179,0.11676292347834061,24,5,12,76
A1_TRANSFORMER_C3,3,18,True,96,17.336891923950606,1.0,157,0.12280874735939604,30,7,10,66
A1_TRANSFORMER_C3,3,19,True,56,15.3799739284797,1.0,127,0.12380797193331544,4,1,10,52
A1_TRANSFORMER_C3,3,20,False,120,2.668376299579392,0.0,47,0.07689934165498309,96,0,3,24
A1_TRANSFORMER_C3,3,21,True,87,19.062208521753824,1.0,164,0.11349457937754118,18,2,13,69
A1_TRANSFORMER_C3,3,22,True,56,15.364911650794374,1.0,127,0.12291140778537941,4,1,10,52
A1_TRANSFORMER_C3,3,23,False,120,2.517262003074034,0.0,47,0.07547950008538984,98,0,5,22
A1_TRANSFORMER_C3,3,24,False,120,2.2847387578900693,0.0,48,0.06346496549694637,96,0,3,24
A1_TRANSFORMER_C3,3,25,False,120,2.069230133721788,0.0,48,0.05747861482560522,96,0,3,24
A1_TRANSFORMER_C3,3,26,False,120,1.8313864699316664,0.0,47,0.05364962416476851,96,0,3,24
A1_TRANSFORMER_C3,3,27,False,120,1.7456251582427027,0.0,47,0.05126736550674175,96,0,3,24
A1_TRANSFORMER_C3,3,28,False,120,9.959023186138895,0.0,112,0.07386175517052485,70,2,8,50
A1_TRANSFORMER_C3,3,29,True,77,20.14083444675618,1.0,170,0.11865084185091691,4,2,11,73
A1_TRANSFORMER_C3,4,0,True,77,20.298013162319794,1.0,161,0.1730741628709868,8,2,10,69
A1_TRANSFORMER_C3,4,1,False,120,13.25188204424138,0.0,119,0.1347745012289272,66,1,9,54
A1_TRANSFORMER_C3,4,2,False,120,13.400391702494264,0.0,127,0.12778865840261844,62,4,11,58
