condition,seed,episode,success,steps_to_flag,total_reward,external_reward,semantic_gain_total,prophecy_error_mean,repeat_count,error_count,knowledge_reuse_count,unique_action_count
A2_REWARD_OFF,0,0,False,120,9.3,0.0,142,0.08550071857284741,58,10,11,62
A2_REWARD_OFF,0,1,True,79,15.9,1.0,161,0.08090252471323353,12,3,11,67
A2_REWARD_OFF,0,2,False,120,7.900000000000001,0.0,142,0.10069272209129537,58,17,10,62
A2_REWARD_OFF,0,3,False,120,9.250000000000002,0.0,130,0.063627948525979,59,4,10,61
A2_REWARD_OFF,0,4,False,120,8.600000000000001,0.0,131,0.05912087452980424,58,8,10,62
A2_REWARD_OFF,0,5,True,77,15.750000000000002,1.0,157,0.0701358027396098,7,3,6,70
A2_REWARD_OFF,0,6,True,71,14.4,1.0,144,0.06846150413333224,16,1,8,55
A2_REWARD_OFF,0,7,False,120,7.950000000000001,0.0,130,0.07399268025616194,61,10,12,59
A2_REWARD_OFF,0,8,True,65,14.65,1.0,143,0.05667340022333768,9,1,8,56
A2_REWARD_OFF,0,9,True,71,16.35,1.0,157,0.04468032727991665,3,1,5,68
A2_REWARD_OFF,0,10,True,67,14.600000000000001,1.0,144,0.0509148361923152,12,1,8,55
A2_REWARD_OFF,0,11,True,70,16.55,1.0,157,0.034120836254544054,3,0,5,67
A2_REWARD_OFF,0,12,True,70,16.55,1.0,157,0.03081438357845678,3,0,5,67
A2_REWARD_OFF,0,13,False,120,8.55,0.0,130,0.061428924367997864,61,7,11,59
A2_REWARD_OFF,0,14,False,120,8.25,0.0,131,0.06628402675314952,65,8,12,55
A2_REWARD_OFF,0,15,False,120,8.500000000000002,0.0,130,0.056516745121584194,58,8,10,62
A2_REWARD_OFF,0,16,True,65,14.65,1.0,143,0.049005609553571576,9,1,8,56
A2_REWARD_OFF,0,17,True,70,16.55,1.0,157,0.02846753178841451,3,0,5,67
A2_REWARD_OFF,0,18,False,120,8.500000000000002,0.0,130,0.05513093380756963,58,8,10,62
A2_REWARD_OFF,0,19,False,120,8.25,0.0,131,0.06326958194197914,65,8,12,55
A2_REWARD_OFF,0,20,False,120,8.500000000000002,0.0,130,0.05423089557805202,58,8,10,62
A2_REWARD_OFF,0,21,True,65,14.65,1.0,143,0.04799967885113405,9,1,8,56
A2_REWARD_OFF,0,22,False,120,9.200000000000001,0.0,135,0.06878754806477706,58,7,10,62
A2_REWARD_OFF,0,23,False,120,8.75,0.0,130,0.05160347308421964,61,6,11,59
A2_REWARD_OFF,0,24,False,120,8.75,0.0,142,0.07163277070342874,53,14,10,67
A2_REWARD_OFF,0,25,False,120,9.55,0.0,142,0.06241528730131863,53,10,10,67
A2_REWARD_OFF,0,26,False,120,9.450000000000001,0.0,130,0.04342947001023351,59,3,10,61
A2_REWARD_OFF,0,27,True,70,16.55,1.0,157,0.02717596015248068,3,0,5,67
A2_REWARD_OFF,0,28,False,120,8.0,0.0,131,0.06457395155710478,66,9,12,54
A2_REWARD_OFF,0,29,True,67,14.600000000000001,1.0,144,0.04590564124254148,12,1,8,55
A2_REWARD_OFF,1,0,False,120,8.5,0.0,140,0.09200260642286612,62,12,13,58
A2_REWARD_OFF,1,1,True,108,13.850000000000001,1.0,164,0.08837948015147755,35,9,10,73
A2_REWARD_OFF,1,2,False,120,8.5,0.0,130,0.07067531287035642,58,8,12,62
A2_REWARD_OFF,1,3,False,120,8.350000000000001,0.0,130,0.06328769965880687,61,8,11,59
A2_REWARD_OFF,1,4,False,120,9.3,0.0,138,0.07451124021192781,58,8,11,62
A2_REWARD_OFF,1,5,False,120,7.900000000000001,0.0,130,0.06803316058959614,62,10,12,58
A2_REWARD_OFF,1,6,False,120,7.300000000000001,0.0,127,0.07227930681046607,64,11,13,56
A2_REWARD_OFF,1,7,True,80,15.500000000000002,1.0,156,0.05634486945037763,14,2,4,66
A2_REWARD_OFF,1,8,False,120,9.8,0.0,142,0.076354348985458,52,9,8,68
A2_REWARD_OFF,1,9,False,120,9.200000000000001,0.0,142,0.07195315494900921,52,12,8,68
A2_REWARD_OFF,1,10,False,120,8.8,0.0,130,0.05210679429150649,60,6,12,60
A2_REWARD_OFF,1,11,False,120,8.250000000000002,0.0,130,0.05791254858590315,59,9,11,61
A2_REWARD_OFF,1,12,False,120,8.3,0.0,127,0.058181357760219404,64,6,14,56
A2_REWARD_OFF,1,13,True,77,15.8,1.0,158,0.062237732233180174,8,3,9,69
A2_REWARD_OFF,1,14,True,97,14.9,1.0,156,0.04396234583814671,34,0,8,63
A2_REWARD_OFF,1,15,False,120,8.4,0.0,130,0.05528089385089614,60,8,13,60
A2_REWARD_OFF,1,16,False,120,8.350000000000001,0.0,130,0.05801836255468794,61,8,11,59
A2_REWARD_OFF,1,17,True,77,16.0,1.0,160,0.0592262647579882,8,3,9,69
A2_REWARD_OFF,1,18,True,81,15.8,1.0,157,0.039914611583229245,18,0,8,63
A2_REWARD_OFF,1,19,False,120,10.75,0.0,139,0.023697825645638503,63,0,7,57
A2_REWARD_OFF,1,20,False,120,10.75,0.0,139,0.0209257966371946,63,0,7,57
A2_REWARD_OFF,1,21,False,120,7.9,0.0,127,0.05830908713021072,64,8,13,56
A2_REWARD_OFF,1,22,True,70,16.55,1.0,157,0.040952590056233945,3,0,5,67
A2_REWARD_OFF,1,23,False,120,7.9,0.0,127,0.0573982891802082,64,8,13,56
A2_REWARD_OFF,1,24,False,120,7.9,0.0,127,0.05649625105985158,64,8,13,56
A2_REWARD_OFF,1,25,False,120,10.700000000000001,0.0,138,0.02196221882549689,62,0,8,58
A2_REWARD_OFF,1,26,False,120,10.700000000000001,0.0,138,0.020527207832228365,62,0,8,58
A2_REWARD_OFF,1,27,False,120,7.9,0.0,127,0.05563978009256399,64,8,13,56
A2_REWARD_OFF,1,28,True,70,16.55,1.0,157,0.03193818809920525,3,0,5,67
A2_REWARD_OFF,1,29,False,120,10.65,0.0,138,0.018921164980506666,63,0,8,57
A2_REWARD_OFF,2,0,False,120,9.15,0.0,142,0.09384794615760507,57,11,11,63
A2_REWARD_OFF,2,1,False,120,16.0,0.0,188,0.06809625540265712,32,6,10,88
A2_REWARD_OFF,2,2,False,120,-0.09999999999999998,0.0,47,0.01777860891244319,96,0,4,24
A2_REWARD_OFF,2,3,True,84,15.55,1.0,166,0.07874126449440894,13,7,11,71
A2_REWARD_OFF,2,4,True,68,13.9,1.0,143,0.07846785876632893,12,4,8,56
A2_REWARD_OFF,2,5,False,120,15.8,0.0,184,0.06171875774996927,36,4,11,84
A2_REWARD_OFF,2,6,True,102,18.150000000000002,1.0,193,0.0811597922686851,19,6,16,83
A2_REWARD_OFF,2,7,True,58,14.55,1.0,137,0.04888206995621259,3,0,5,55
A2_REWARD_OFF,2,8,False,120,-0.09999999999999998,0.0,47,0.008144601993792184,96,0,4,24
A2_REWARD_OFF,2,9,False,120,7.700000000000001,0.0,130,0.07443186882006092,62,11,12,58
A2_REWARD_OFF,2,10,False,120,8.950000000000001,0.0,121,0.026088439283279374,63,0,10,57
A2_REWARD_OFF,2,11,True,115,19.85,1.0,210,0.06936524471924185,23,5,13,92
A2_REWARD_OFF,2,12,False,120,8.9,0.0,120,0.01651896936263618,62,0,10,58
A2_REWARD_OFF,2,13,False,120,8.950000000000001,0.0,121,0.014405676362101723,63,0,10,57
A2_REWARD_OFF,2,14,False,120,2.7755575615628914e-17,0.0,48,0.010314165903616227,96,0,4,24
A2_REWARD_OFF,2,15,True,109,14.500000000000002,1.0,173,0.07880306370862712,36,10,12,73
A2_REWARD_OFF,2,16,True,80,15.600000000000001,1.0,158,0.06562885868246739,12,3,11,68
A2_REWARD_OFF,2,17,True,80,15.8,1.0,160,0.060954500348173866,12,3,11,68
A2_REWARD_OFF,2,18,False,120,-0.09999999999999998,0.0,47,0.007722898077918584,96,0,4,24
A2_REWARD_OFF,2,19,False,120,8.0,0.0,130,0.0664936520406396,60,10,12,60
A2_REWARD_OFF,2,20,True,80,15.8,1.0,160,0.05832272768732022,12,3,11,68
A2_REWARD_OFF,2,21,False,120,8.0,0.0,130,0.0652935102678031,60,10,12,60
A2_REWARD_OFF,2,22,False,120,8.0,0.0,130,0.06453499524659892,60,10,12,60
A2_REWARD_OFF,2,23,False,120,8.0,0.0,130,0.06396778365419009,60,10,12,60
A2_REWARD_OFF,2,24,False,120,8.950000000000001,0.0,121,0.013011323010625438,63,0,10,57
A2_REWARD_OFF,2,25,False,120,8.9,0.0,120,0.013727663695836443,62,0,10,58
A2_REWARD_OFF,2,26,False,120,-0.09999999999999998,0.0,47,0.007366928842616767,96,0,4,24
A2_REWARD_OFF,2,27,False,120,8.9,0.0,120,0.012727854253931135,62,0,10,58
A2_REWARD_OFF,2,28,False,120,8.0,0.0,130,0.06355684475358178,60,10,12,60
A2_REWARD_OFF,2,29,True,109,17.8,1.0,180,0.03349513163867775,24,0,13,85
A2_REWARD_OFF,3,0,False,120,8.5,0.0,140,0.09200260642286612,62,12,13,58
A2_REWARD_OFF,3,1,True,77,15.750000000000002,1.0,157,0.0759238894651696,7,3,6,70
A2_REWARD_OFF,3,2,False,120,7.950000000000001,0.0,130,0.07274387504343681,61,10,13,59
A2_REWARD_OFF,3,3,False,120,8.55,0.0,133,0.07651122304630675,59,9,9,61
A2_REWARD_OFF,3,4,False,120,9.3,0.0,141,0.07606282543001124,52,11,8,68
