condition,seed,episode,success,steps_to_flag,total_reward,external_reward,semantic_gain_total,prophecy_error_mean,repeat_count,error_count,knowledge_reuse_count,unique_action_count
A3_D2_B1,0,0,False,120,12.378025868622508,0.0,142,0.08550071857284741,58,10,11,62
A3_D2_B1,0,1,True,79,17.817389835703636,1.0,161,0.08090252471323353,12,3,11,67
A3_D2_B1,0,2,False,120,11.524937995286635,0.0,142,0.10069272209129537,58,17,10,62
A3_D2_B1,0,3,False,120,11.540606146935245,0.0,130,0.063627948525979,59,4,10,61
A3_D2_B1,0,4,False,120,10.85359270919518,0.0,130,0.05426646414431051,58,6,10,62
A3_D2_B1,0,5,True,77,17.370137043284988,1.0,157,0.0701358027396098,7,3,6,70
A3_D2_B1,0,6,True,71,15.858230038039977,1.0,144,0.06846150413333224,16,1,8,55
A3_D2_B1,0,7,False,120,10.61373648922183,0.0,130,0.07399268025616194,61,10,12,59
A3_D2_B1,0,8,True,65,15.755131304355086,1.0,143,0.05667340022333768,9,1,8,56
A3_D2_B1,0,9,True,71,17.301690971062225,1.0,157,0.04468032727991665,3,1,5,68
A3_D2_B1,0,10,True,67,15.623388207465537,1.0,144,0.0509148361923152,12,1,8,55
A3_D2_B1,0,11,True,70,17.266537561345427,1.0,157,0.034120836254544054,3,0,5,67
A3_D2_B1,0,12,True,70,17.197102055147592,1.0,157,0.03081438357845678,3,0,5,67
A3_D2_B1,0,13,False,120,10.761441277247924,0.0,130,0.061428924367997864,61,7,11,59
A3_D2_B1,0,14,False,120,10.636224963113383,0.0,131,0.06628402675314952,65,8,12,55
A3_D2_B1,0,15,False,120,10.485509377128073,0.0,130,0.05515303825355758,58,8,10,62
A3_D2_B1,0,16,True,65,15.605609386294647,1.0,143,0.049005609553571576,9,1,8,56
A3_D2_B1,0,17,True,70,17.147818167556707,1.0,157,0.02846753178841451,3,0,5,67
A3_D2_B1,0,18,False,120,10.447285946138177,0.0,130,0.05409127628161599,58,8,10,62
A3_D2_B1,0,19,False,120,10.52770494991125,0.0,131,0.06326958194197914,65,8,12,55
A3_D2_B1,0,20,False,120,10.422057369726101,0.0,130,0.05339048249239167,58,8,10,62
A3_D2_B1,0,21,True,65,15.585993737597114,1.0,143,0.04799967885113405,9,1,8,56
A3_D2_B1,0,22,False,120,11.676351730331975,0.0,135,0.06878754806477706,58,7,10,62
A3_D2_B1,0,23,False,120,10.607725031031908,0.0,130,0.05160347308421964,61,6,11,59
A3_D2_B1,0,24,False,120,15.616314908128299,0.0,175,0.06573096967023051,41,11,10,79
A3_D2_B1,0,25,False,120,18.319893199183635,0.0,191,0.05749703331065647,29,7,10,91
A3_D2_B1,0,26,True,66,16.37192766274721,1.0,147,0.054137760744808666,8,0,10,58
A3_D2_B1,0,27,True,70,17.120695163202097,1.0,157,0.02717596015248068,3,0,5,67
A3_D2_B1,0,28,False,120,10.47713953126203,0.0,131,0.061864986979500804,65,8,12,55
A3_D2_B1,0,29,True,67,15.522703388975085,1.0,144,0.04590564124254148,12,1,8,55
A3_D2_B1,1,0,False,120,10.52598767766408,0.0,139,0.11877743549066885,69,21,13,51
A3_D2_B1,1,1,True,102,16.965274984318388,1.0,164,0.0789305550430845,33,6,11,69
