condition,seed,episode,success,steps_to_flag,total_reward,external_reward,semantic_gain_total,prophecy_error_mean,repeat_count,error_count,knowledge_reuse_count,unique_action_count
A1_TRANSFORMER_C3,0,0,True,59,7.364154606578243,1.0,58,0.15051720941120014,38,1,7,21
A1_TRANSFORMER_C3,0,1,True,28,8.710544398940998,1.0,65,0.19173147606440458,0,2,5,28
A1_TRANSFORMER_C3,0,2,True,16,5.389917809453678,1.0,36,0.17498287696951614,1,0,5,15
A1_TRANSFORMER_C3,0,3,True,23,8.53751374395902,1.0,65,0.1865961947766694,1,1,6,22
A1_TRANSFORMER_C3,0,4,True,28,8.813519752540369,1.0,67,0.17422854196909157,3,1,7,25
A1_TRANSFORMER_C3,0,5,False,120,5.864274056407785,0.0,66,0.11845205712243848,92,2,4,28
A1_TRANSFORMER_C3,0,6,True,23,7.229381755173513,1.0,56,0.17092489205413228,3,2,4,20
A1_TRANSFORMER_C3,0,7,True,36,10.255912754826252,1.0,82,0.16258451433576407,6,2,6,30
A1_TRANSFORMER_C3,0,8,True,19,7.45718796245839,1.0,59,0.17669964253655948,1,2,7,18
A1_TRANSFORMER_C3,0,9,False,120,6.157946935536433,0.0,72,0.10716519265378979,90,2,6,30
A1_TRANSFORMER_C3,0,10,False,120,5.906874702558499,0.0,74,0.09046874173773607,91,1,7,29
A1_TRANSFORMER_C3,0,11,True,7,3.413418942899958,1.0,22,0.19686616328569415,0,1,4,7
A1_TRANSFORMER_C3,0,12,True,13,5.336527538145914,1.0,40,0.18885321490920853,0,2,3,13
A1_TRANSFORMER_C3,0,13,True,51,9.328994310902567,1.0,76,0.12607805953611548,16,2,5,35
A1_TRANSFORMER_C3,0,14,True,20,7.969659777219805,1.0,64,0.1699432962033007,1,2,5,19
A1_TRANSFORMER_C3,0,15,True,20,7.6657064648045825,1.0,61,0.16095107746743037,0,2,8,20
A1_TRANSFORMER_C3,0,16,True,27,9.466881427011426,1.0,74,0.13788659592733649,1,0,3,26
