condition,seed,episode,success,steps_to_flag,total_reward,external_reward,semantic_gain_total,prophecy_error_mean,repeat_count,error_count,knowledge_reuse_count,unique_action_count
A1_TRANSFORMER_C3,0,0,True,98,23.15672467930159,1.0,191,0.18730356052046218,13,9,13,85
A1_TRANSFORMER_C3,0,1,True,90,19.874425038832083,1.0,168,0.17683055699378084,26,7,6,64
A1_TRANSFORMER_C3,0,2,True,113,23.906445636611558,1.0,201,0.16833172969355625,22,9,12,91
A1_TRANSFORMER_C3,0,3,True,106,22.530522163483468,1.0,191,0.15976484790828513,25,7,11,81
A1_TRANSFORMER_C3,0,4,True,40,14.31466002093885,1.0,118,0.15955500174490406,0,2,17,40
A1_TRANSFORMER_C3,0,5,True,52,13.70371722096931,1.0,117,0.1733152064723916,6,7,13,46
A1_TRANSFORMER_C3,0,6,True,52,15.91141157534882,1.0,136,0.17701356252236022,1,7,16,51
A1_TRANSFORMER_C3,0,7,True,94,19.99825590582221,1.0,178,0.16305872006461733,28,10,10,66
A1_TRANSFORMER_C3,0,8,True,58,17.405246944719387,1.0,150,0.1698417784321486,7,6,9,51
A1_TRANSFORMER_C3,0,9,True,53,14.503585933677398,1.0,125,0.17003685117467907,6,7,17,47
A1_TRANSFORMER_C3,0,10,True,98,22.85363734230877,1.0,192,0.14808290279961794,18,4,7,80
A1_TRANSFORMER_C3,0,11,False,120,13.213108277516485,0.0,131,0.180069702988458,11,11,16,42
A1_TRANSFORMER_C3,0,12,True,111,13.19038936220287,1.0,152,0.1964080889550411,55,34,13,56
A1_TRANSFORMER_C3,0,13,True,28,11.239072226858756,1.0,93,0.1832228841498519,0,3,8,28
A1_TRANSFORMER_C3,0,14,True,46,13.78384469372354,1.0,113,0.16911918070460427,1,4,14,45
A1_TRANSFORMER_C3,0,15,True,47,15.242655162326377,1.0,131,0.1767840540657005,3,6,14,44
A1_TRANSFORMER_C3,0,16,True,82,21.127986823238746,1.0,182,0.16780434240807907,12,8,15,70
A1_TRANSFORMER_C3,0,17,True,73,18.301347068712133,1.0,158,0.16672817665352202,11,8,15,62
A1_TRANSFORMER_C3,0,18,True,13,8.90793832962861,1.0,73,0.15588162298169456,0,0,2,13
A1_TRANSFORMER_C3,0,19,True,98,20.087396151999396,1.0,182,0.1747413657142652,21,16,13,77
A1_TRANSFORMER_C3,0,20,True,80,18.89643580806193,1.0,161,0.14985149200258038,20,4,3,60
A1_TRANSFORMER_C3,0,21,False,120,9.486751662491649,0.0,100,0.12324310173587914,79,5,7,41
A1_TRANSFORMER_C3,0,22,True,60,15.44182942390078,1.0,130,0.14676830132782107,4,5,11,56
A1_TRANSFORMER_C3,0,23,True,83,17.841496634362844,1.0,152,0.14825287688204183,13,7,10,70
A1_TRANSFORMER_C3,0,24,True,88,19.061725298510208,1.0,167,0.14627747342841696,18,8,12,70
A1_TRANSFORMER_C3,0,25,True,51,13.165047698854227,1.0,117,0.17745409796432857,5,10,12,46
A1_TRANSFORMER_C3,0,26,True,96,16.175264044287704,1.0,146,0.13976611264887856,37,8,19,59
A1_TRANSFORMER_C3,0,27,True,78,19.258438606097542,1.0,167,0.15420677803835647,9,8,19,69
A1_TRANSFORMER_C3,0,28,True,65,15.547151655368918,1.0,133,0.14857187976250855,13,5,10,52
A1_TRANSFORMER_C3,0,29,True,56,14.19768563463388,1.0,122,0.13974319253773093,15,3,16,41
A1_TRANSFORMER_C3,1,0,True,82,18.039050392515406,1.0,149,0.18451424359818727,24,6,6,58
A1_TRANSFORMER_C3,1,1,True,114,23.604195870083384,1.0,200,0.17263730614278894,30,9,10,84
A1_TRANSFORMER_C3,1,2,True,15,8.044688374826702,1.0,65,0.20993074996148925,0,2,3,15
A1_TRANSFORMER_C3,1,3,True,66,15.943029067093763,1.0,140,0.19156712460069505,9,12,21,57
A1_TRANSFORMER_C3,1,4,True,44,15.416100452377579,1.0,129,0.17546215548314983,0,4,21,44
A1_TRANSFORMER_C3,1,5,True,34,14.8675433466189,1.0,128,0.18309248496263716,0,4,15,34
A1_TRANSFORMER_C3,1,6,True,59,16.10207806084544,1.0,137,0.17243378874832987,9,6,11,50
A1_TRANSFORMER_C3,1,7,False,120,17.79018593530128,0.0,166,0.14278294264725774,59,5,10,61
A1_TRANSFORMER_C3,1,8,True,53,15.373961341011622,1.0,127,0.158739706981863,1,4,17,52
A1_TRANSFORMER_C3,1,9,True,111,20.775499074115917,1.0,191,0.16292790012360106,35,15,14,76
A1_TRANSFORMER_C3,1,10,False,120,19.29045708679319,0.0,188,0.1650126968553663,37,18,15,83
A1_TRANSFORMER_C3,1,11,True,21,10.320995614948357,1.0,86,0.17793581189656446,0,2,9,21
A1_TRANSFORMER_C3,1,12,True,58,16.433361655098267,1.0,139,0.16571043994817614,3,6,17,55
A1_TRANSFORMER_C3,1,13,True,58,18.148784892611474,1.0,154,0.1608497064719237,1,5,19,57
A1_TRANSFORMER_C3,1,14,False,120,19.900583935660407,0.0,188,0.13890510932390013,54,6,14,66
A1_TRANSFORMER_C3,1,15,False,120,1.3125112914873407,0.0,37,0.09618086920798169,105,3,3,15
