condition,seed,episode,success,steps_to_flag,total_reward,external_reward,semantic_gain_total,prophecy_error_mean,repeat_count,error_count,knowledge_reuse_count,unique_action_count
A3_D3_B1,0,0,True,47,14.239957482993198,1.0,124,0.09148634631157428,1,2,9,46
A3_D3_B1,0,1,False,120,17.511495370120812,0.0,180,0.07531931583668923,48,4,9,72
A3_D3_B1,0,2,True,93,19.590137985030843,1.0,185,0.08208379874662516,16,7,11,77
A3_D3_B1,0,3,True,104,20.309062053646144,1.0,191,0.06279045043737636,27,2,11,77
A3_D3_B1,0,4,True,74,17.45985860381449,1.0,156,0.056750387559211087,8,0,8,66
A3_D3_B1,0,5,True,45,13.247156148457483,1.0,114,0.08127082581166535,1,1,5,44
A3_D3_B1,0,6,True,84,17.98807904395299,1.0,168,0.08484440650607096,19,5,11,65
A3_D3_B1,0,7,False,120,11.79399632847766,0.0,132,0.059555453568823864,59,3,14,61
A3_D3_B1,0,8,False,120,0.1362022925678159,0.0,43,0.03156117479355044,98,2,6,22
A3_D3_B1,0,9,True,76,11.823790137123021,1.0,112,0.04051711127732543,26,0,4,50
A3_D3_B1,0,10,False,120,14.293439749215354,0.0,162,0.08037332636709313,44,13,14,76
A3_D3_B1,0,11,True,91,19.623267578271108,1.0,179,0.05762884902091963,13,1,11,78
A3_D3_B1,0,12,True,65,14.284020023594467,1.0,136,0.09405230890228028,15,7,11,50
A3_D3_B1,0,13,True,60,12.348762634802707,1.0,114,0.06937570193348372,14,3,7,46
A3_D3_B1,0,14,True,77,16.18017355495796,1.0,148,0.05108976428389429,12,1,8,65
A3_D3_B1,0,15,False,120,-1.4805352251264874,0.0,50,0.09359624374648645,93,26,7,27
A3_D3_B1,0,16,True,52,14.201544647476224,1.0,126,0.07061183637668089,2,2,5,50
A3_D3_B1,0,17,True,88,17.652566866037528,1.0,165,0.045551775228694136,17,1,6,71
A3_D3_B1,0,18,True,36,11.675007315966011,1.0,101,0.057871047774630584,1,0,7,35
A3_D3_B1,0,19,True,87,18.763601590765557,1.0,173,0.05416098048910182,11,2,3,76
A3_D3_B1,0,20,True,118,17.569317537758227,1.0,181,0.09094117338300073,35,15,12,83
A3_D3_B1,0,21,True,48,11.958943992988278,1.0,106,0.08048222173529697,4,3,7,44
A3_D3_B1,0,22,True,72,15.233760313805945,1.0,141,0.07332223675027515,13,4,2,59
A3_D3_B1,0,23,True,44,12.483459689616739,1.0,109,0.05177724921338926,2,0,2,42
A3_D3_B1,0,24,True,55,10.350148574617032,1.0,91,0.0575847620980019,10,1,8,45
A3_D3_B1,0,25,True,71,19.01309228572236,1.0,171,0.06399494299166006,1,2,12,70
A3_D3_B1,0,26,True,48,15.179091436962773,1.0,134,0.054103572011303634,0,0,6,48
A3_D3_B1,0,27,True,60,16.390599100888178,1.0,148,0.052255505604898625,3,1,5,57
A3_D3_B1,0,28,True,47,13.410993924207634,1.0,120,0.085886093915435,0,4,7,47
A3_D3_B1,0,29,True,119,19.583675075318833,1.0,193,0.07377241107335668,31,9,11,88
A3_D3_B1,1,0,True,86,17.69523901891759,1.0,162,0.06764492321386008,21,1,12,65
A3_D3_B1,1,1,True,52,11.551521655398757,1.0,103,0.0706103625255613,9,2,8,43
A3_D3_B1,1,2,True,104,18.82079020791239,1.0,177,0.0920125066638586,27,7,15,77
A3_D3_B1,1,3,True,67,17.962833127500573,1.0,161,0.08024045410450607,3,3,5,64
A3_D3_B1,1,4,False,120,16.08072068173642,0.0,170,0.07446446338156722,48,6,11,72
A3_D3_B1,1,5,True,119,17.663024434490502,1.0,173,0.09140124466359949,42,9,13,77
A3_D3_B1,1,6,True,64,14.630384847089973,1.0,132,0.06929087745260269,10,2,6,54
A3_D3_B1,1,7,True,64,17.583015655503683,1.0,157,0.06682373205748351,0,2,4,64
A3_D3_B1,1,8,False,120,12.216353731359643,0.0,139,0.07267649253776783,58,7,10,62
A3_D3_B1,1,9,True,103,18.308050731282748,1.0,181,0.11029290392500794,32,13,15,71
A3_D3_B1,1,10,True,86,12.20707832607101,1.0,130,0.13593326845236464,30,19,14,56
A3_D3_B1,1,11,True,54,12.468150854919312,1.0,107,0.05667597869872296,3,0,5,51
A3_D3_B1,1,12,True,103,16.67273299422914,1.0,166,0.08002372149608865,28,10,10,75
A3_D3_B1,1,13,True,54,16.13305298182539,1.0,143,0.06994154208798686,2,1,5,52
A3_D3_B1,1,14,True,86,17.082811419573336,1.0,154,0.071039202309044,11,3,10,75
A3_D3_B1,1,15,True,32,10.179247649715897,1.0,88,0.06554663017873927,1,1,3,31
A3_D3_B1,1,16,True,76,17.52147833866657,1.0,160,0.07550343590642838,12,3,8,64
A3_D3_B1,1,17,True,59,16.039172285826126,1.0,142,0.07565945117661729,2,2,12,57
A3_D3_B1,1,18,False,120,3.8848689715859486,0.0,73,0.023190804766276343,85,0,6,35
A3_D3_B1,1,19,True,83,17.42974817383019,1.0,164,0.07549189453133294,17,5,9,66
A3_D3_B1,1,20,True,59,11.91250825112954,1.0,110,0.07697786729545414,17,3,6,42
A3_D3_B1,1,21,True,91,19.858754154009425,1.0,179,0.06442322908459429,12,1,10,79
A3_D3_B1,1,22,True,84,19.388831863861387,1.0,177,0.059080629518309044,4,3,4,80
A3_D3_B1,1,23,True,54,15.097569374165314,1.0,133,0.08626971445464897,4,2,9,50
A3_D3_B1,1,24,True,106,21.139497021331586,1.0,196,0.05470116419281714,20,1,8,86
A3_D3_B1,1,25,True,100,19.7943740780289,1.0,184,0.05147913593429659,23,0,6,77
A3_D3_B1,1,26,True,108,19.074674184811897,1.0,187,0.06094673409913264,36,4,8,72
A3_D3_B1,1,27,False,120,12.963106365936685,0.0,155,0.08508628794268568,48,16,9,72
A3_D3_B1,1,28,False,120,9.507960717016289,0.0,117,0.030776686583785778,66,0,7,54
A3_D3_B1,1,29,False,120,10.89833041620637,0.0,133,0.05134251156128805,61,6,8,59
A3_D3_B1,2,0,True,69,17.19959412306462,1.0,161,0.11592242140408787,18,7,10,51
A3_D3_B1,2,1,True,44,14.461245622371756,1.0,129,0.11070042593725421,2,4,14,42
A3_D3_B1,2,2,True,73,15.515995987463812,1.0,141,0.06694045604857586,5,4,8,68
A3_D3_B1,2,3,True,83,16.00453677253845,1.0,157,0.09054364548347194,27,8,17,56
A3_D3_B1,2,4,True,39,11.115401013755053,1.0,99,0.1252479498935941,9,4,12,30
A3_D3_B1,2,5,False,120,16.008026302168965,0.0,177,0.07661184172691564,49,10,12,71
A3_D3_B1,2,6,True,26,9.751867737729645,1.0,84,0.1220343253499545,0,3,7,26
A3_D3_B1,2,7,False,120,15.288466239118026,0.0,169,0.07606850664216736,59,7,11,61
A3_D3_B1,2,8,False,120,16.240615535568644,0.0,171,0.08862820932135122,53,7,16,67
A3_D3_B1,2,9,False,120,-18.204827259965462,0.0,57,0.040143687223181575,99,102,6,21
A3_D3_B1,2,10,False,120,15.569798362513875,0.0,171,0.08666106562538538,57,9,12,63
A3_D3_B1,2,11,True,69,14.208342120720804,1.0,133,0.08252860486573932,16,5,11,53
A3_D3_B1,2,12,True,69,17.181480356151475,1.0,158,0.08123093507978134,10,4,9,59
A3_D3_B1,2,13,True,113,18.520639755550107,1.0,184,0.07288022877728932,43,6,11,70
A3_D3_B1,2,14,True,95,14.871653723062193,1.0,146,0.07444399028288397,45,3,8,50
A3_D3_B1,2,15,False,120,10.435300320257095,0.0,126,0.04403612000714153,75,0,5,45
A3_D3_B1,2,16,True,104,20.453502821443664,1.0,189,0.09466355196934811,28,5,9,76
A3_D3_B1,2,17,True,72,16.14016088537299,1.0,151,0.05047041135986048,17,1,12,55
A3_D3_B1,2,18,True,47,13.850589574776789,1.0,125,0.09933259395580055,5,4,12,42
A3_D3_B1,2,19,True,47,14.823221860243812,1.0,131,0.07966112483998666,0,2,9,47
A3_D3_B1,2,20,False,120,14.105206223092148,0.0,154,0.07792239508589298,58,6,12,62
A3_D3_B1,2,21,True,41,11.88470846445952,1.0,109,0.1207080052406113,2,7,10,39
A3_D3_B1,2,22,True,33,11.976727189012168,1.0,108,0.10876032212244116,2,4,6,31
A3_D3_B1,2,23,False,120,6.318078552671747,0.0,64,0.14000902904272952,6,5,12,23
A3_D3_B1,2,24,False,120,12.386892912556178,0.0,144,0.11908035868211601,58,17,10,62
A3_D3_B1,2,25,True,35,10.92175845174138,1.0,98,0.14969128111822672,5,6,10,30
A3_D3_B1,2,26,True,31,10.489067006222932,1.0,89,0.08484591464762696,0,1,5,31
A3_D3_B1,2,27,False,120,16.733588361293283,0.0,178,0.06065523225814671,45,5,12,75
A3_D3_B1,2,28,True,81,17.117187902664252,1.0,158,0.08712707418371402,12,6,7,69
A3_D3_B1,2,29,False,120,14.18630600594792,0.0,159,0.07739738905410887,50,10,12,70
A3_D3_B1,3,0,False,120,6.065495762396186,0.0,89,0.0740415489554496,74,9,8,46
A3_D3_B1,3,1,True,49,11.309891053391054,1.0,100,0.06529871111503764,9,1,9,40
A3_D3_B1,3,2,True,54,11.0817257086401,1.0,100,0.06060035238519132,10,2,4,44
A3_D3_B1,3,3,False,120,10.553572335513381,0.0,125,0.04871034265314948,58,4,9,62
A3_D3_B1,3,4,False,120,15.612506690910324,0.0,165,0.05451407474750897,45,3,7,75
A3_D3_B1,3,5,False,120,7.691301406422848,0.0,102,0.03170281684507909,73,0,11,47
A3_D3_B1,3,6,True,78,20.3996239963444,1.0,189,0.08972752121129905,8,6,9,70
A3_D3_B1,3,7,True,84,14.836317566925121,1.0,141,0.05104434789385397,19,3,9,65
A3_D3_B1,3,8,True,30,11.487081615857488,1.0,98,0.09856462398416518,0,1,5,30
A3_D3_B1,3,9,True,45,12.212065459825638,1.0,107,0.052745589616713905,0,1,2,45
A3_D3_B1,3,10,True,94,18.11683594586045,1.0,170,0.052015459073065644,11,4,11,83
A3_D3_B1,3,11,False,120,7.418886447127274,0.0,102,0.05746906797575761,73,6,8,47
A3_D3_B1,3,12,True,73,18.991669231108627,1.0,172,0.07267896032459474,8,2,13,65
A3_D3_B1,3,13,True,82,17.70222283767892,1.0,168,0.08748873323898045,17,7,5,65
A3_D3_B1,3,14,True,108,21.245539761103853,1.0,199,0.0569611037377732,18,3,9,90
A3_D3_B1,3,15,True,101,17.62672941150714,1.0,167,0.05203727430716625,25,2,6,76
A3_D3_B1,3,16,False,120,4.718922495355408,0.0,87,0.06441451375987244,78,12,5,42
A3_D3_B1,3,17,True,84,18.23091506823893,1.0,164,0.05876647096186224,13,0,8,71
A3_D3_B1,3,18,False,120,16.0038840140113,0.0,171,0.05983011150031389,49,4,11,71
A3_D3_B1,3,19,True,64,16.12993771808836,1.0,151,0.08489258948376868,8,6,9,56
A3_D3_B1,3,20,True,50,14.504820852253367,1.0,130,0.053654723483557806,2,1,3,48
A3_D3_B1,3,21,True,119,18.677848835187,1.0,181,0.0512002474842296,37,2,8,82
A3_D3_B1,3,22,True,47,12.98469976981744,1.0,116,0.055652465944499116,4,1,5,43
A3_D3_B1,3,23,False,120,5.149702825534016,0.0,84,0.016658411820389313,77,0,4,43
A3_D3_B1,3,24,False,120,16.183562944946377,0.0,180,0.078710081804066,37,14,13,83
A3_D3_B1,3,25,True,75,18.51021991065058,1.0,168,0.04489866269558134,2,1,7,73
A3_D3_B1,3,26,False,120,7.468574698090183,0.0,102,0.018571519391393964,68,0,6,52
A3_D3_B1,3,27,False,120,-2.800313835246115,0.0,56,0.1111023934653857,88,40,9,32
A3_D3_B1,3,28,True,85,18.52459999179245,1.0,170,0.0637098035997039,10,3,10,75
A3_D3_B1,3,29,True,83,14.135668151494155,1.0,137,0.0837617731523757,25,7,10,58
A3_D3_B1,4,0,True,89,16.53143306693307,1.0,154,0.06859299876153808,26,2,11,63
A3_D3_B1,4,1,False,120,2.6221467280202395,0.0,94,0.07700407577833997,83,27,5,37
A3_D3_B1,4,2,True,75,14.280062621901909,1.0,134,0.09244722764008477,16,7,12,59
A3_D3_B1,4,3,True,100,20.578904063198706,1.0,188,0.06429680210662353,11,3,10,89
A3_D3_B1,4,4,True,94,18.190158158463458,1.0,167,0.0670268850518956,24,1,5,70
A3_D3_B1,4,5,True,44,11.644304217497329,1.0,100,0.06396244071949461,0,1,6,44
A3_D3_B1,4,6,True,75,18.738077462844323,1.0,169,0.07947010945974765,11,2,6,64
A3_D3_B1,4,7,True,45,12.71928499103535,1.0,112,0.0717988882248407,1,2,8,44
A3_D3_B1,4,8,True,112,18.50259839446983,1.0,177,0.07150590459731626,32,5,7,80
A3_D3_B1,4,9,True,114,17.674555407897554,1.0,167,0.09136126923677051,43,5,14,71
A3_D3_B1,4,10,True,120,19.904615780682775,1.0,189,0.06123932724118812,36,2,12,84
A3_D3_B1,4,11,True,45,11.901694261476397,1.0,104,0.0519773527019552,0,1,2,45
A3_D3_B1,4,12,True,95,19.324780932838955,1.0,185,0.08858880466101586,18,9,11,77
A3_D3_B1,4,13,False,120,-0.8510076936397879,0.0,37,0.01941645295445034,101,1,5,19
A3_D3_B1,4,14,True,44,13.472216934047704,1.0,118,0.05471340409452298,1,0,2,43
A3_D3_B1,4,15,True,34,10.378460771873625,1.0,91,0.09102556586996323,5,2,8,29
A3_D3_B1,4,16,True,91,19.9408683192494,1.0,181,0.05277905931316483,4,2,9,87
A3_D3_B1,4,17,True,95,17.662474564631754,1.0,161,0.058332440864272035,18,1,11,77
A3_D3_B1,4,18,True,75,15.498102089231399,1.0,144,0.08213787063250658,19,4,9,56
A3_D3_B1,4,19,False,120,16.108683742316288,0.0,169,0.061352326175452374,44,4,7,76
A3_D3_B1,4,20,True,105,19.703148819995892,1.0,189,0.07311583555542507,18,8,13,87
A3_D3_B1,4,21,False,120,0.47402493414247837,0.0,58,0.059000692615068843,89,15,7,31
A3_D3_B1,4,22,False,120,9.882151569178871,0.0,126,0.028670876921635315,71,1,5,49
A3_D3_B1,4,23,True,68,17.273455332433052,1.0,155,0.04771839864867895,4,0,6,64
A3_D3_B1,4,24,False,120,-6.4932867929035725,0.0,36,0.15435314464156744,101,53,6,19
A3_D3_B1,4,25,True,91,19.502163560178712,1.0,180,0.04403529524464141,14,0,5,77
A3_D3_B1,4,26,True,66,15.519069221179487,1.0,139,0.041367132382802305,4,0,7,62
A3_D3_B1,4,27,True,98,17.309985479860355,1.0,161,0.08027161496123657,27,4,9,71
A3_D3_B1,4,28,True,101,20.599365118010063,1.0,190,0.051134162310563135,15,1,9,86
A3_D3_B1,4,29,False,120,16.937983532052296,0.0,172,0.04827732033478595,36,1,10,84
A3_D3_B1,5,0,False,120,4.831090197852123,0.0,95,0.10503028327367006,73,24,3,47
A3_D3_B1,5,1,False,120,11.033685485941403,0.0,126,0.04260237460948337,58,1,7,62
A3_D3_B1,5,2,True,67,17.48221187344402,1.0,156,0.0662791976837819,1,2,10,66
A3_D3_B1,5,3,True,91,19.869092793496986,1.0,185,0.09593746496325949,17,7,9,74
A3_D3_B1,5,4,True,92,18.437412787471327,1.0,177,0.07925408650258434,13,9,8,79
A3_D3_B1,5,5,False,120,13.2735764333991,0.0,152,0.06315490092775272,44,10,7,76
A3_D3_B1,5,6,True,61,15.408388675354553,1.0,137,0.04417424455489354,2,0,4,59
A3_D3_B1,5,7,True,73,18.955045870002643,1.0,171,0.0664404506850522,0,3,11,73
A3_D3_B1,5,8,True,110,18.74900332121224,1.0,181,0.053000100642795055,38,1,11,72
A3_D3_B1,5,9,False,120,3.486541569062681,0.0,77,0.08712615469618556,79,17,8,41
A3_D3_B1,5,10,True,64,15.905668054969304,1.0,143,0.08362854452965121,4,4,8,60
A3_D3_B1,5,11,True,54,15.514692099505899,1.0,135,0.06263531478431474,0,0,5,54
A3_D3_B1,5,12,True,87,16.47388409140894,1.0,155,0.0660491989045571,23,3,7,64
A3_D3_B1,5,13,False,120,-3.625773490188758,0.0,55,0.1159507363836456,90,44,8,30
A3_D3_B1,5,14,True,102,16.641535359114368,1.0,159,0.052010959448181925,33,1,7,69
A3_D3_B1,5,15,True,94,19.124693771836792,1.0,175,0.05761325432045354,12,2,10,82
A3_D3_B1,5,16,True,81,16.286120291750965,1.0,155,0.08584857167699435,18,7,7,63
A3_D3_B1,5,17,True,85,16.191934616777196,1.0,147,0.08595822026577232,22,3,8,63
A3_D3_B1,5,18,True,42,12.39615167055761,1.0,110,0.04731362464742926,0,1,2,42
A3_D3_B1,5,19,True,61,16.40674990688236,1.0,148,0.055013656113790145,0,2,9,61
A3_D3_B1,5,20,True,90,16.560981696426882,1.0,152,0.048554877645440024,15,1,9,75
A3_D3_B1,5,21,True,66,13.352570957721053,1.0,121,0.05821065443035616,14,1,6,52
A3_D3_B1,5,22,True,78,19.473672955291512,1.0,178,0.04802021176459442,1,2,9,77
A3_D3_B1,5,23,False,120,16.528331073635247,0.0,175,0.059120307600979034,46,4,9,74
A3_D3_B1,5,24,False,120,-2.4778997770089144,0.0,32,0.09089167286086348,103,19,6,17
A3_D3_B1,5,25,False,120,5.595218109678697,0.0,100,0.10681161415774158,77,22,14,43
A3_D3_B1,5,26,True,88,20.398845016615752,1.0,184,0.05677443244756626,2,2,6,86
A3_D3_B1,5,27,True,95,18.315552389342987,1.0,174,0.05317727681905207,24,2,11,71
A3_D3_B1,5,28,True,107,20.6144402433657,1.0,195,0.048736456179616805,21,2,7,86
A3_D3_B1,5,29,True,78,11.578608887125704,1.0,108,0.05036790115921809,28,0,7,50
A3_D3_B1,6,0,True,49,14.61395918367347,1.0,127,0.09278633902540608,1,2,7,48
A3_D3_B1,6,1,True,102,17.270353273477223,1.0,166,0.07092657756461512,30,5,13,72
A3_D3_B1,6,2,True,69,14.319380385487529,1.0,130,0.07581547755978398,17,2,10,52
A3_D3_B1,6,3,True,47,13.312531393209966,1.0,114,0.06826463781630955,1,0,4,46
A3_D3_B1,6,4,True,58,15.981013030853369,1.0,142,0.08511569142835441,2,3,7,56
A3_D3_B1,6,5,True,64,16.2650710853474,1.0,143,0.06849328569517714,3,1,6,61
A3_D3_B1,6,6,False,120,10.32439288848256,0.0,120,0.04928869134673776,61,2,12,59
A3_D3_B1,6,7,True,66,16.995981579744157,1.0,151,0.08313038281536148,3,3,7,63
A3_D3_B1,6,8,False,120,15.50300161639966,0.0,166,0.04730560045554608,44,3,15,76
A3_D3_B1,6,9,False,120,-5.455313369952751,0.0,48,0.13457462861242356,98,51,10,22
A3_D3_B1,6,10,True,81,14.881215791573727,1.0,139,0.0650706087067377,20,3,8,61
A3_D3_B1,6,11,True,78,15.553830553109579,1.0,144,0.07281327150040932,11,5,5,67
A3_D3_B1,6,12,False,120,15.326107428998126,0.0,169,0.0910029841388368,37,15,18,83
A3_D3_B1,6,13,True,86,18.05885117885015,1.0,168,0.04491671235853294,18,0,7,68
A3_D3_B1,6,14,True,67,15.571955446157867,1.0,144,0.0657689276695456,7,4,6,60
A3_D3_B1,6,15,True,74,17.93173656845933,1.0,159,0.06674489047114085,5,1,11,69
A3_D3_B1,6,16,True,65,16.72261644609849,1.0,148,0.05500597159479416,3,0,4,62
A3_D3_B1,6,17,True,71,14.016157300129544,1.0,130,0.04066466197791284,13,1,5,58
A3_D3_B1,6,18,False,120,15.83401069332426,0.0,171,0.06483363037011827,44,7,13,76
A3_D3_B1,6,19,True,115,16.308941282296136,1.0,169,0.08431713861727931,46,11,9,69
A3_D3_B1,6,20,True,43,11.379420052869003,1.0,98,0.07204806611387618,3,1,6,40
A3_D3_B1,6,21,False,120,-0.40220463274631685,0.0,61,0.10549431575704675,86,30,7,34
A3_D3_B1,6,22,True,78,17.36276582443231,1.0,156,0.06678486429197893,8,2,6,70
A3_D3_B1,6,23,True,120,18.084078119932126,1.0,190,0.1051132811092257,34,20,8,86
A3_D3_B1,6,24,False,120,8.613290690020015,0.0,109,0.06703585250055598,66,7,12,54
A3_D3_B1,6,25,True,46,13.309808104851506,1.0,119,0.0912904423805438,1,4,10,45
A3_D3_B1,6,26,False,120,15.050784158116393,0.0,162,0.048632893281010905,50,2,13,70
A3_D3_B1,6,27,False,120,18.72120391164032,0.0,191,0.05753344199000888,29,5,10,91
A3_D3_B1,6,28,True,91,19.74539213772307,1.0,178,0.05843927244406847,9,1,4,82
A3_D3_B1,6,29,True,69,13.441526713532896,1.0,122,0.07205443060545391,13,3,14,56
A3_D3_B1,7,0,False,120,11.337626999398491,0.0,133,0.05382297220551363,62,4,17,58
A3_D3_B1,7,1,True,36,12.002476190476191,1.0,102,0.09282186948853614,0,1,2,36
A3_D3_B1,7,2,True,79,19.63839172335601,1.0,175,0.07334986174497928,8,1,5,71
A3_D3_B1,7,3,True,75,16.457223005899696,1.0,151,0.0869876891510976,16,4,11,59
A3_D3_B1,7,4,True,102,20.685369836367528,1.0,191,0.07305130184207605,17,4,12,85
A3_D3_B1,7,5,True,61,16.452561629278247,1.0,149,0.0766427119824177,1,4,7,60
A3_D3_B1,7,6,False,120,16.011934439674537,0.0,169,0.060053734435403745,45,4,15,75
A3_D3_B1,7,7,True,51,15.484188339627758,1.0,137,0.0708619829822064,2,1,7,49
A3_D3_B1,7,8,True,61,14.245799302730067,1.0,126,0.05441526244426594,3,1,6,58
A3_D3_B1,7,9,True,80,19.831232634570206,1.0,178,0.05546802644042526,2,1,5,78
A3_D3_B1,7,10,True,50,14.028404261535925,1.0,123,0.06189361743572834,0,1,7,50
A3_D3_B1,7,11,False,120,6.479395459372904,0.0,94,0.023038762760358447,75,0,6,45
A3_D3_B1,7,12,True,46,13.88948930619486,1.0,126,0.09706444247788848,5,4,6,41
A3_D3_B1,7,13,True,113,17.144810870949307,1.0,168,0.05589412598670525,39,3,12,74
A3_D3_B1,7,14,True,119,20.066138215919867,1.0,191,0.056474459829688115,29,3,12,90
A3_D3_B1,7,15,False,120,9.068643152713108,0.0,168,0.08940675424203075,47,43,13,73
A3_D3_B1,7,16,True,39,13.229355497778194,1.0,117,0.07943209382719593,0,2,8,39
A3_D3_B1,7,17,True,116,19.1746220854908,1.0,180,0.061052358778471205,31,2,10,85
A3_D3_B1,7,18,False,120,4.407782748112874,0.0,79,0.07660507633646872,81,11,8,39
A3_D3_B1,7,19,True,110,13.921658918793193,1.0,150,0.08247451269070277,44,13,2,66
A3_D3_B1,7,20,True,104,15.961021653627464,1.0,161,0.07727633505216226,35,9,10,69
A3_D3_B1,7,21,False,120,0.7155704724972098,0.0,98,0.11293251312492249,75,47,10,45
A3_D3_B1,7,22,True,65,13.862040179666895,1.0,127,0.04933539382907153,16,0,6,49
A3_D3_B1,7,23,True,82,20.09664680704731,1.0,182,0.052709219798671145,4,1,7,78
A3_D3_B1,7,24,True,48,11.230413597817721,1.0,98,0.06808427762623064,3,2,6,45
A3_D3_B1,7,25,False,120,8.287196187325401,0.0,109,0.02603322742570559,67,1,10,53
A3_D3_B1,7,26,True,41,11.438964528281293,1.0,100,0.05194833563262535,0,1,1,41
A3_D3_B1,7,27,False,120,4.551217889013085,0.0,90,0.09308938580591901,72,21,9,48
A3_D3_B1,7,28,True,84,14.345687550703552,1.0,137,0.04546379169458532,18,3,11,66
A3_D3_B1,7,29,True,71,16.985351316282575,1.0,155,0.03452353597570768,1,1,3,70
