condition,seed,episode,success,steps_to_flag,total_reward,external_reward,semantic_gain_total,prophecy_error_mean,repeat_count,error_count,knowledge_reuse_count,unique_action_count
A2_REWARD_OFF,0,0,False,120,9.3,0.0,142,0.08550071857284741,58,10,11,62
A2_REWARD_OFF,0,1,True,79,15.9,1.0,161,0.08090252471323353,12,3,11,67
A2_REWARD_OFF,0,2,False,120,7.900000000000001,0.0,142,0.10069272209129537,58,17,10,62
A2_REWARD_OFF,0,3,False,120,9.250000000000002,0.0,130,0.063627948525979,59,4,10,61
A2_REWARD_OFF,0,4,False,120,8.600000000000001,0.0,131,0.05912087452980424,58,8,10,62
A2_REWARD_OFF,0,5,True,77,15.750000000000002,1.0,157,0.0701358027396098,7,3,6,70
A2_REWARD_OFF,0,6,True,71,14.4,1.0,144,0.06846150413333224,16,1,8,55
A2_REWARD_OFF,0,7,False,120,7.950000000000001,0.0,130,0.07399268025616194,61,10,12,59
A2_REWARD_OFF,0,8,True,65,14.65,1.0,143,0.05667340022333768,9,1,8,56
A2_REWARD_OFF,0,9,True,71,16.35,1.0,157,0.04468032727991665,3,1,5,68
A2_REWARD_OFF,0,10,True,67,14.600000000000001,1.0,144,0.0509148361923152,12,1,8,55
A2_REWARD_OFF,0,11,True,70,16.55,1.0,157,0.034120836254544054,3,0,5,67
A2_REWARD_OFF,0,12,True,70,16.55,1.0,157,0.03081438357845678,3,0,5,67
A2_REWARD_OFF,0,13,False,120,8.55,0.0,130,0.061428924367997864,61,7,11,59
A2_REWARD_OFF,0,14,False,120,8.25,0.0,131,0.06628402675314952,65,8,12,55
A2_REWARD_OFF,0,15,False,120,8.500000000000002,0.0,130,0.056516745121584194,58,8,10,62
A2_REWARD_OFF,0,16,True,65,14.65,1.0,143,0.049005609553571576,9,1,8,56
A2_REWARD_OFF,0,17,True,70,16.55,1.0,157,0.02846753178841451,3,0,5,67
A2_REWARD_OFF,0,18,False,120,8.500000000000002,0.0,130,0.05513093380756963,58,8,10,62
A2_REWARD_OFF,0,19,False,120,8.25,0.0,131,0.06326958194197914,65,8,12,55
A2_REWARD_OFF,0,20,False,120,8.500000000000002,0.0,130,0.05423089557805202,58,8,10,62
A2_REWARD_OFF,0,21,True,65,14.65,1.0,143,0.04799967885113405,9,1,8,56
A2_REWARD_OFF,0,22,False,120,9.200000000000001,0.0,135,0.06878754806477706,58,7,10,62
A2_REWARD_OFF,0,23,False,120,8.75,0.0,130,0.05160347308421964,61,6,11,59
A2_REWARD_OFF,0,24,False,120,8.75,0.0,142,0.07163277070342874,53,14,10,67
A2_REWARD_OFF,0,25,False,120,9.55,0.0,142,0.06241528730131863,53,10,10,67
A2_REWARD_OFF,0,26,False,120,9.450000000000001,0.0,130,0.04342947001023351,59,3,10,61
A2_REWARD_OFF,0,27,True,70,16.55,1.0,157,0.02717596015248068,3,0,5,67
A2_REWARD_OFF,0,28,False,120,8.0,0.0,131,0.06457395155710478,66,9,12,54
A2_REWARD_OFF,0,29,True,67,14.600000000000001,1.0,144,0.04590564124254148,12,1,8,55
A2_REWARD_OFF,0,30,False,120,8.25,0.0,131,0.058526852531081246,61,9,11,59
A2_REWARD_OFF,0,31,False,120,8.0,0.0,131,0.06312351659594136,66,9,12,54
A2_REWARD_OFF,0,32,False,120,8.0,0.0,131,0.0624480133030191,66,9,12,54
A2_REWARD_OFF,0,33,False,120,9.450000000000001,0.0,130,0.041339992687409,59,3,10,61
A2_REWARD_OFF,0,34,False,120,8.15,0.0,130,0.058845204891329245,61,9,11,59
A2_REWARD_OFF,0,35,False,120,8.15,0.0,130,0.05869339786510224,61,9,11,59
A2_REWARD_OFF,0,36,False,120,8.15,0.0,130,0.05855088891709882,61,9,11,59
A2_REWARD_OFF,0,37,False,120,8.0,0.0,131,0.06136162681181937,66,9,12,54
A2_REWARD_OFF,0,38,False,120,9.55,0.0,142,0.06162483265039484,53,10,10,67
A2_REWARD_OFF,0,39,True,65,14.65,1.0,143,0.04650811787850318,9,1,8,56
A2_REWARD_OFF,0,40,False,120,9.55,0.0,142,0.06096432928539951,53,10,10,67
A2_REWARD_OFF,0,41,False,120,9.55,0.0,142,0.06053695933726142,53,10,10,67
A2_REWARD_OFF,0,42,False,120,8.0,0.0,131,0.0618681714902038,66,9,12,54
A2_REWARD_OFF,0,43,False,120,8.0,0.0,131,0.06151243283802098,66,9,12,54
A2_REWARD_OFF,0,44,False,120,9.55,0.0,142,0.059763077929448974,53,10,10,67
A2_REWARD_OFF,0,45,True,65,14.65,1.0,143,0.04628250942260486,9,1,8,56
A2_REWARD_OFF,0,46,False,120,8.0,0.0,131,0.06141934057866269,66,9,12,54
A2_REWARD_OFF,0,47,False,120,8.55,0.0,130,0.054946340493094215,61,7,11,59
A2_REWARD_OFF,0,48,False,120,8.55,0.0,130,0.054328699155785136,61,7,11,59
A2_REWARD_OFF,0,49,True,67,14.600000000000001,1.0,144,0.04394614204673565,12,1,8,55
A2_REWARD_OFF,0,50,True,70,16.55,1.0,157,0.026530203672846437,3,0,5,67
A2_REWARD_OFF,0,51,False,120,9.450000000000001,0.0,130,0.03993248611283489,59,3,10,61
A2_REWARD_OFF,0,52,False,120,8.15,0.0,130,0.05824544020909318,61,9,11,59
A2_REWARD_OFF,0,53,True,65,14.65,1.0,143,0.04487461842500028,9,1,8,56
A2_REWARD_OFF,0,54,True,65,14.65,1.0,143,0.04425370777390049,9,1,8,56
A2_REWARD_OFF,0,55,False,120,7.6000000000000005,0.0,131,0.06566605676883953,66,11,12,54
A2_REWARD_OFF,0,56,True,67,14.600000000000001,1.0,144,0.04209043322468929,12,1,8,55
A2_REWARD_OFF,0,57,False,120,7.6000000000000005,0.0,131,0.06562569977481243,66,11,12,54
A2_REWARD_OFF,0,58,False,120,9.450000000000001,0.0,130,0.03865480760687909,59,3,10,61
A2_REWARD_OFF,0,59,False,120,9.450000000000001,0.0,130,0.03757610121042919,59,3,10,61
A2_REWARD_OFF,0,60,False,120,8.450000000000001,0.0,131,0.05637350147592878,61,8,11,59
A2_REWARD_OFF,0,61,False,120,9.55,0.0,142,0.05998942037469352,53,10,10,67
A2_REWARD_OFF,0,62,False,120,9.450000000000001,0.0,130,0.03678352649076664,59,3,10,61
A2_REWARD_OFF,0,63,True,70,16.55,1.0,157,0.02600956939991518,3,0,5,67
A2_REWARD_OFF,0,64,False,120,9.55,0.0,142,0.05975684073486071,53,10,10,67
A2_REWARD_OFF,0,65,True,70,16.55,1.0,157,0.02542158624850193,3,0,5,67
A2_REWARD_OFF,0,66,True,67,14.600000000000001,1.0,144,0.04175875247927638,12,1,8,55
A2_REWARD_OFF,0,67,False,120,7.6000000000000005,0.0,131,0.06602599422696158,66,11,12,54
A2_REWARD_OFF,0,68,False,120,9.55,0.0,142,0.05962706309007116,53,10,10,67
A2_REWARD_OFF,0,69,False,120,7.6000000000000005,0.0,131,0.0661596878616788,66,11,12,54
A2_REWARD_OFF,0,70,True,67,14.600000000000001,1.0,144,0.041491062589002224,12,1,8,55
A2_REWARD_OFF,0,71,False,120,8.450000000000001,0.0,131,0.056842176548546355,61,8,11,59
A2_REWARD_OFF,0,72,False,120,7.6000000000000005,0.0,131,0.06603141102198798,66,11,12,54
A2_REWARD_OFF,0,73,False,120,8.350000000000001,0.0,130,0.05667694107897362,61,8,11,59
A2_REWARD_OFF,0,74,False,120,7.6000000000000005,0.0,131,0.06594602982017617,66,11,12,54
A2_REWARD_OFF,0,75,True,70,16.55,1.0,157,0.02509180291450542,3,0,5,67
A2_REWARD_OFF,0,76,True,65,14.65,1.0,143,0.04389769281316597,9,1,8,56
A2_REWARD_OFF,0,77,False,120,8.350000000000001,0.0,130,0.05664596070512372,61,8,11,59
A2_REWARD_OFF,0,78,False,120,9.450000000000001,0.0,130,0.03627767984694269,59,3,10,61
A2_REWARD_OFF,0,79,True,65,14.65,1.0,143,0.043300543505420064,9,1,8,56
A2_REWARD_OFF,0,80,True,65,14.65,1.0,143,0.04325227606421991,9,1,8,56
A2_REWARD_OFF,0,81,True,70,16.55,1.0,157,0.02470599327622737,3,0,5,67
A2_REWARD_OFF,0,82,True,65,14.65,1.0,143,0.04274295589489004,9,1,8,56
A2_REWARD_OFF,0,83,False,120,9.350000000000001,0.0,142,0.05976357136576131,53,11,11,67
A2_REWARD_OFF,0,84,False,120,8.350000000000001,0.0,130,0.05647588427480448,61,8,11,59
A2_REWARD_OFF,0,85,False,120,9.05,0.0,130,0.04071279391721018,59,5,10,61
A2_REWARD_OFF,0,86,True,67,14.600000000000001,1.0,144,0.04025411331976236,12,1,8,55
A2_REWARD_OFF,0,87,False,120,9.05,0.0,130,0.040476231873654914,59,5,10,61
A2_REWARD_OFF,0,88,False,120,9.350000000000001,0.0,142,0.05911413644464277,53,11,10,67
A2_REWARD_OFF,0,89,True,67,14.600000000000001,1.0,144,0.039940972661033664,12,1,8,55
A2_REWARD_OFF,0,90,False,120,9.05,0.0,130,0.04033391449426808,59,5,10,61
A2_REWARD_OFF,0,91,False,120,7.6000000000000005,0.0,131,0.06610367114894092,66,11,12,54
A2_REWARD_OFF,0,92,True,70,16.55,1.0,157,0.024463445775174415,3,0,5,67
A2_REWARD_OFF,0,93,True,70,16.55,1.0,157,0.024161512532520177,3,0,5,67
A2_REWARD_OFF,0,94,False,120,9.05,0.0,130,0.04013853882627558,59,5,10,61
