condition,seed,episode,success,steps_to_flag,total_reward,external_reward,semantic_gain_total,prophecy_error_mean,repeat_count,error_count,knowledge_reuse_count,unique_action_count
A2_REWARD_ON,0,0,True,34,8.23826530612245,1.0,67,0.08218287314925969,2,1,4,32
A2_REWARD_ON,0,1,True,35,8.917523809523809,1.0,75,0.09690702947845804,0,3,7,35
A2_REWARD_ON,0,2,True,15,4.862084272869987,1.0,36,0.05824094952666381,0,0,1,15
A2_REWARD_ON,0,3,True,42,8.8633095019741,1.0,77,0.05661186523603967,7,1,5,35
A2_REWARD_ON,0,4,True,34,8.98447767840625,1.0,76,0.11612526258884802,4,3,1,30
A2_REWARD_ON,0,5,True,4,2.9474474077871644,1.0,18,0.12287283982263698,0,0,1,4
A2_REWARD_ON,0,6,True,19,7.589235947010383,1.0,61,0.08583086789655843,0,0,5,19
A2_REWARD_ON,0,7,True,28,8.399460919373151,1.0,69,0.06541201421108944,1,0,4,27
A2_REWARD_ON,0,8,True,41,9.139008744502977,1.0,80,0.07634217434983548,8,2,1,33
A2_REWARD_ON,0,9,True,24,6.133833568258476,1.0,49,0.12275466225812158,5,2,7,19
A2_REWARD_ON,0,10,True,26,8.946448643477483,1.0,73,0.08287803121506179,0,0,5,26
A2_REWARD_ON,0,11,True,5,3.085915016006403,1.0,20,0.19061001067093505,0,1,2,5
A2_REWARD_ON,0,12,True,7,3.806330635303514,1.0,27,0.1458717310969114,0,1,3,7
A2_REWARD_ON,0,13,True,4,2.9589245062908107,1.0,18,0.13243708857567554,0,0,1,4
A2_REWARD_ON,0,14,True,40,7.782528067841935,1.0,68,0.08604400565349452,9,3,11,31
A2_REWARD_ON,0,15,True,30,7.863633630128206,1.0,65,0.04040373668091173,0,0,1,30
A2_REWARD_ON,0,16,True,39,8.822223317741017,1.0,77,0.07882250578983041,4,3,5,35
A2_REWARD_ON,0,17,True,15,4.872554644243551,1.0,36,0.06056769872078893,0,0,1,15
A2_REWARD_ON,0,18,True,19,5.543612038535435,1.0,43,0.04273895412902365,0,0,1,19
A2_REWARD_ON,0,19,True,17,6.080890542102009,1.0,47,0.08448834158862907,1,0,5,16
A2_REWARD_ON,0,20,True,34,8.801769043449973,1.0,75,0.06880088661274232,4,1,4,30
A2_REWARD_ON,0,21,True,20,5.412808527687743,1.0,43,0.1104680879479572,3,2,4,17
A2_REWARD_ON,0,22,False,120,3.498501440683601,0.0,77,0.08329170668565557,84,15,7,36
A2_REWARD_ON,0,23,True,8,4.077933551503647,1.0,29,0.15747231312651963,0,1,2,8
A2_REWARD_ON,0,24,True,28,8.307563158707751,1.0,69,0.07828132841758927,1,1,3,27
A2_REWARD_ON,0,25,True,22,7.742066974640763,1.0,62,0.08213135979405502,0,0,4,22
A2_REWARD_ON,0,26,True,30,8.61808562065617,1.0,71,0.057565068961796764,0,0,1,30
A2_REWARD_ON,0,27,True,55,8.516811030556646,1.0,76,0.08283703215494821,17,3,6,38
A2_REWARD_ON,0,28,True,35,9.208168380766374,1.0,77,0.05792079816822596,2,0,2,33
A2_REWARD_ON,0,29,True,25,6.477024597627644,1.0,52,0.06360327968368583,0,1,3,25
A2_REWARD_ON,0,30,True,18,5.802897567239921,1.0,45,0.056092142081466664,0,0,1,18
A2_REWARD_ON,0,31,True,6,3.2963410644994675,1.0,21,0.10907836916637084,0,0,2,6
A2_REWARD_ON,0,32,True,17,5.139821918341727,1.0,39,0.04702390555720133,0,0,1,17
A2_REWARD_ON,0,33,True,30,9.234680210464052,1.0,78,0.08163113449600579,2,1,4,28
A2_REWARD_ON,0,34,True,28,6.980662348580505,1.0,58,0.08698361292625055,7,1,6,21
A2_REWARD_ON,0,35,True,39,9.090490893130044,1.0,79,0.08038383701966177,7,2,5,32
A2_REWARD_ON,0,36,True,20,5.283416817719001,1.0,40,0.04723613628650009,0,0,2,20
A2_REWARD_ON,0,37,True,49,9.021118272069376,1.0,80,0.09667471238567185,12,4,4,37
A2_REWARD_ON,0,38,True,8,3.3932619388570977,1.0,22,0.08052580785712393,0,0,2,8
A2_REWARD_ON,0,39,True,26,8.575387337245479,1.0,71,0.06094709451865117,0,0,2,26
A2_REWARD_ON,0,40,True,21,6.448660897546284,1.0,50,0.07121601548353702,0,0,2,21
A2_REWARD_ON,0,41,True,32,8.394812683769153,1.0,70,0.041126321225953416,0,0,1,32
A2_REWARD_ON,0,42,True,35,8.99131216797054,1.0,76,0.07536306361624186,0,2,5,35
A2_REWARD_ON,0,43,True,16,4.862943453429118,1.0,37,0.0964465527977329,2,1,3,14
A2_REWARD_ON,0,44,True,65,9.101658385530353,1.0,84,0.08982863515540268,33,2,3,32
A2_REWARD_ON,0,45,True,4,2.957437518766571,1.0,18,0.13119793230547588,0,0,1,4
