condition,seed,episode,success,steps_to_flag,total_reward,external_reward,semantic_gain_total,prophecy_error_mean,repeat_count,error_count,knowledge_reuse_count,unique_action_count
A2_REWARD_OFF,0,0,True,47,12.950000000000001,1.0,124,0.09148634631157428,1,2,9,46
A2_REWARD_OFF,0,1,False,120,14.8,0.0,180,0.07531931583668923,48,4,9,72
A2_REWARD_OFF,0,2,True,93,17.3,1.0,185,0.08208379874662516,16,7,11,77
A2_REWARD_OFF,0,3,True,86,15.8,1.0,168,0.07925842835574004,20,5,9,66
A2_REWARD_OFF,0,4,True,74,16.2,1.0,156,0.056750387559211087,8,0,8,66
A2_REWARD_OFF,0,5,True,45,12.15,1.0,114,0.08127082581166535,1,1,5,44
A2_REWARD_OFF,0,6,True,84,15.850000000000001,1.0,168,0.08484440650607096,19,5,11,65
A2_REWARD_OFF,0,7,False,120,9.65,0.0,132,0.059555453568823864,59,3,14,61
A2_REWARD_OFF,0,8,False,120,-1.0,0.0,43,0.03156117479355044,98,2,6,22
A2_REWARD_OFF,0,9,True,76,10.9,1.0,112,0.04051711127732543,26,0,4,50
A2_REWARD_OFF,0,10,False,120,11.4,0.0,162,0.08037332636709313,44,13,14,76
A2_REWARD_OFF,0,11,True,76,14.000000000000002,1.0,143,0.06976019499253108,14,3,9,62
A2_REWARD_OFF,0,12,True,65,12.450000000000001,1.0,136,0.09405230890228028,15,7,11,50
A2_REWARD_OFF,0,13,True,85,12.8,1.0,138,0.06876447674481474,28,3,6,57
A2_REWARD_OFF,0,14,True,65,13.75,1.0,133,0.05264276899024057,7,1,6,58
A2_REWARD_OFF,0,15,False,120,-4.85,0.0,50,0.09359624374648645,93,26,7,27
A2_REWARD_OFF,0,16,True,52,13.100000000000001,1.0,126,0.07061183637668089,2,2,5,50
A2_REWARD_OFF,0,17,True,88,16.45,1.0,165,0.045551775228694136,17,1,6,71
A2_REWARD_OFF,0,18,True,36,11.05,1.0,101,0.057871047774630584,1,0,7,35
A2_REWARD_OFF,0,19,True,87,17.35,1.0,173,0.05416098048910182,11,2,3,76
A2_REWARD_OFF,0,20,True,118,14.350000000000001,1.0,181,0.0917777638061276,35,15,12,83
A2_REWARD_OFF,0,21,True,48,10.8,1.0,106,0.08048222173529697,4,3,7,44
A2_REWARD_OFF,0,22,True,84,13.8,1.0,148,0.07197935642176535,24,4,10,60
A2_REWARD_OFF,0,23,True,44,11.8,1.0,109,0.052515434201165556,2,0,2,42
A2_REWARD_OFF,0,24,True,31,9.200000000000001,1.0,84,0.06031376423443567,0,1,2,31
A2_REWARD_OFF,0,25,True,71,17.650000000000002,1.0,171,0.0631605404558612,1,2,12,70
A2_REWARD_OFF,0,26,True,48,14.4,1.0,134,0.05408595303268456,0,0,6,48
A2_REWARD_OFF,0,27,True,60,15.450000000000001,1.0,148,0.05225636404607921,3,1,5,57
A2_REWARD_OFF,0,28,True,47,12.200000000000001,1.0,120,0.08502921666113103,0,4,7,47
A2_REWARD_OFF,0,29,True,108,14.750000000000002,1.0,158,0.04956635445397304,41,0,9,67
A2_REWARD_OFF,0,30,True,49,10.6,1.0,114,0.12220617967786573,8,7,8,41
A2_REWARD_OFF,0,31,True,87,17.1,1.0,171,0.04258365611075039,20,0,5,67
A2_REWARD_OFF,0,32,True,112,15.450000000000001,1.0,174,0.07215708263564574,39,5,16,73
A2_REWARD_OFF,0,33,True,38,10.200000000000001,1.0,94,0.04755106086010878,0,1,5,38
A2_REWARD_OFF,0,34,True,77,15.750000000000002,1.0,161,0.07068328718733718,7,5,16,70
A2_REWARD_OFF,0,35,False,120,6.7,0.0,112,0.03822501130935888,78,3,7,42
A2_REWARD_OFF,0,36,False,120,1.2000000000000006,0.0,95,0.0916922703343485,74,23,7,46
A2_REWARD_OFF,0,37,True,58,15.15,1.0,145,0.055460442774886154,3,1,7,55
A2_REWARD_OFF,0,38,True,81,16.950000000000003,1.0,169,0.059479540976879006,7,3,12,74
A2_REWARD_OFF,0,39,True,41,11.5,1.0,109,0.06296446027702933,0,2,6,41
A2_REWARD_OFF,0,40,False,120,15.250000000000002,0.0,183,0.05653449132501078,37,6,14,83
A2_REWARD_OFF,0,41,True,98,16.400000000000002,1.0,174,0.05391363450057769,24,4,7,74
