condition,seed,episode,success,steps_to_flag,total_reward,external_reward,semantic_gain_total,prophecy_error_mean,repeat_count,error_count,knowledge_reuse_count,unique_action_count
C0,0,0,False,140,9.65,0.0,153,0.0,77,9,11,63
C0,0,1,True,131,12.15,1.0,150,0.0,69,2,10,62
C0,0,2,True,112,10.850000000000001,1.0,136,0.0,63,3,12,49
C0,0,3,True,98,13.8,1.0,151,0.0,38,2,17,60
C0,0,4,False,140,8.8,0.0,139,0.0,82,5,11,58
C0,0,5,False,140,7.500000000000001,0.0,131,0.0,80,8,11,60
C0,0,6,True,134,8.75,1.0,126,0.0,85,3,10,49
C0,0,7,False,140,7.8500000000000005,0.0,132,0.0,83,6,9,57
C0,0,8,True,113,11.100000000000001,1.0,135,0.0,60,2,10,53
C0,0,9,True,138,11.500000000000002,1.0,150,0.0,78,3,9,60
C0,0,10,False,140,9.9,0.0,156,0.0,74,10,10,66
C0,0,11,False,140,6.6000000000000005,0.0,130,0.0,80,12,11,60
C0,0,12,False,140,5.750000000000001,0.0,122,0.0,89,10,9,51
C0,0,13,False,140,7.050000000000001,0.0,128,0.0,95,5,7,45
C0,0,14,True,101,13.15,1.0,150,0.0,41,4,7,60
C0,0,15,False,140,8.600000000000001,0.0,138,0.0,80,6,12,60
C0,0,16,False,140,5.8500000000000005,0.0,123,0.0,85,11,7,55
C0,0,17,True,102,12.200000000000001,1.0,143,0.0,50,3,10,52
C0,0,18,False,140,12.250000000000002,0.0,170,0.0,71,6,10,69
C0,0,19,False,140,8.9,0.0,135,0.0,80,3,10,60
C0,0,20,True,85,13.55,1.0,148,0.0,29,4,11,56
C0,0,21,True,72,12.9,1.0,140,0.0,22,5,11,50
C0,0,22,False,140,4.800000000000001,0.0,106,0.0,96,5,10,44
C0,0,23,False,140,9.75,0.0,152,0.0,77,8,14,63
C0,0,24,True,101,12.35,1.0,153,0.0,43,9,10,58
C0,0,25,False,140,6.750000000000001,0.0,121,0.0,87,5,10,53
C0,0,26,False,140,10.25,0.0,153,0.0,77,6,11,63
C0,0,27,False,140,7.750000000000001,0.0,130,0.0,81,6,12,59
C0,0,28,False,140,7.250000000000001,0.0,127,0.0,89,5,8,51
