condition,seed,episode,success,steps_to_flag,total_reward,external_reward,semantic_gain_total,prophecy_error_mean,repeat_count,error_count,knowledge_reuse_count,unique_action_count
DQN_PARTIAL,0,0,False,140,7.700000000000001,0.0,142,0.0,82,12,8,58
DQN_PARTIAL,0,1,False,140,4.4,0.0,115,0.0,90,13,9,50
DQN_PARTIAL,0,2,True,97,14.15,1.0,157,0.0,27,6,8,70
DQN_PARTIAL,0,3,True,95,12.600000000000001,1.0,137,0.0,34,2,12,61
DQN_PARTIAL,0,4,True,104,14.9,1.0,156,0.0,34,0,9,70
DQN_PARTIAL,0,5,False,140,12.15,0.0,157,0.0,71,0,14,69
DQN_PARTIAL,0,6,False,140,14.000000000000002,0.0,193,0.0,50,14,10,90
DQN_PARTIAL,0,7,False,140,8.3,0.0,126,0.0,82,1,14,58
DQN_PARTIAL,0,8,True,67,14.9,1.0,144,0.0,6,1,8,61
DQN_PARTIAL,0,9,True,80,15.600000000000001,1.0,159,0.0,10,4,7,70
DQN_PARTIAL,0,10,True,66,15.450000000000001,1.0,148,0.0,7,0,7,59
DQN_PARTIAL,0,11,True,73,15.700000000000001,1.0,156,0.0,10,2,7,63
DQN_PARTIAL,0,12,False,140,11.950000000000001,0.0,164,0.0,61,7,13,79
DQN_PARTIAL,0,13,False,140,9.100000000000001,0.0,137,0.0,76,4,12,64
DQN_PARTIAL,0,14,True,86,16.150000000000002,1.0,161,0.0,19,0,13,67
DQN_PARTIAL,0,15,True,73,15.25,1.0,148,0.0,11,0,13,62
DQN_PARTIAL,0,16,False,140,14.600000000000001,0.0,183,0.0,62,3,10,78
DQN_PARTIAL,0,17,True,89,16.0,1.0,162,0.0,16,2,6,73
DQN_PARTIAL,0,18,True,106,15.8,1.0,168,0.0,36,1,10,70
DQN_PARTIAL,0,19,True,75,15.850000000000001,1.0,155,0.0,13,0,10,62
DQN_PARTIAL,0,20,True,121,11.75,1.0,141,0.0,59,2,9,62
DQN_PARTIAL,0,21,False,140,18.450000000000003,0.0,209,0.0,45,1,9,95
DQN_PARTIAL,0,22,True,78,15.55,1.0,156,0.0,13,2,8,65
DQN_PARTIAL,0,23,True,120,17.25,1.0,183,0.0,37,1,13,83
DQN_PARTIAL,0,24,True,90,15.100000000000001,1.0,154,0.0,22,1,14,68
DQN_PARTIAL,0,25,True,105,17.400000000000002,1.0,178,0.0,28,0,10,77
DQN_PARTIAL,0,26,True,74,13.4,1.0,136,0.0,12,3,8,62
DQN_PARTIAL,0,27,True,90,15.750000000000002,1.0,163,0.0,15,4,9,75
DQN_PARTIAL,0,28,True,104,18.25,1.0,182,0.0,19,0,14,85
DQN_PARTIAL,0,29,True,62,13.8,1.0,134,0.0,12,0,5,50
DQN_PARTIAL,1,0,False,140,1.0,0.0,65,0.0,110,0,5,30
DQN_PARTIAL,1,1,False,140,-0.8500000000000001,0.0,50,0.0,117,0,5,23
DQN_PARTIAL,1,2,False,140,-0.7000000000000001,0.0,50,0.0,114,0,5,26
DQN_PARTIAL,1,3,False,140,-1.5,0.0,44,0.0,118,0,4,22
DQN_PARTIAL,1,4,True,82,16.55,1.0,163,0.0,15,0,9,67
DQN_PARTIAL,1,5,False,140,9.0,0.0,133,0.0,82,1,11,58
DQN_PARTIAL,1,6,False,140,3.35,0.0,84,0.0,101,0,8,39
DQN_PARTIAL,1,7,True,74,14.100000000000001,1.0,139,0.0,16,0,8,58
DQN_PARTIAL,1,8,True,113,19.25,1.0,199,0.0,29,1,9,84
DQN_PARTIAL,1,9,False,140,6.750000000000001,0.0,114,0.0,93,0,7,47
DQN_PARTIAL,1,10,False,140,4.45,0.0,92,0.0,95,0,8,45
DQN_PARTIAL,1,11,False,140,5.050000000000001,0.0,97,0.0,93,0,8,47
DQN_PARTIAL,1,12,True,60,13.9,1.0,130,0.0,2,0,13,58
DQN_PARTIAL,1,13,False,140,7.750000000000001,0.0,122,0.0,89,0,8,51
DQN_PARTIAL,1,14,True,81,16.900000000000002,1.0,165,0.0,12,0,9,69
DQN_PARTIAL,1,15,False,140,9.850000000000001,0.0,141,0.0,77,2,12,63
DQN_PARTIAL,1,16,True,118,17.200000000000003,1.0,185,0.0,38,2,8,80
DQN_PARTIAL,1,17,True,85,14.350000000000001,1.0,147,0.0,27,0,8,58
DQN_PARTIAL,1,18,True,96,17.900000000000002,1.0,183,0.0,20,2,12,76
DQN_PARTIAL,1,19,True,115,18.25,1.0,192,0.0,35,1,10,80
DQN_PARTIAL,1,20,True,87,15.15,1.0,152,0.0,21,0,9,66
DQN_PARTIAL,1,21,True,69,15.3,1.0,149,0.0,4,2,9,65
DQN_PARTIAL,1,22,True,109,13.850000000000001,1.0,155,0.0,41,3,7,68
DQN_PARTIAL,1,23,True,72,15.75,1.0,152,0.0,9,0,10,63
DQN_PARTIAL,1,24,True,70,13.3,1.0,132,0.0,18,0,8,52
DQN_PARTIAL,1,25,True,81,16.85,1.0,167,0.0,13,1,8,68
DQN_PARTIAL,1,26,False,140,8.850000000000001,0.0,130,0.0,83,0,6,57
DQN_PARTIAL,1,27,True,86,15.9,1.0,158,0.0,14,1,13,72
DQN_PARTIAL,1,28,True,102,20.650000000000002,1.0,203,0.0,13,0,5,89
DQN_PARTIAL,1,29,True,95,17.25,1.0,172,0.0,19,0,11,76
DQN_PARTIAL,2,0,False,140,6.6000000000000005,0.0,111,0.0,90,0,8,50
DQN_PARTIAL,2,1,False,140,8.700000000000001,0.0,129,0.0,80,1,10,60
