condition,seed,episode,success,steps_to_flag,total_reward,external_reward,semantic_gain_total,prophecy_error_mean,repeat_count,error_count,knowledge_reuse_count,unique_action_count
QLEARN,0,0,False,140,8.25,0.0,131,0.0,77,5,10,63
QLEARN,0,1,False,140,6.65,0.0,120,0.0,79,7,13,61
QLEARN,0,2,False,140,8.35,0.0,130,0.0,77,4,12,63
QLEARN,0,3,True,136,14.4,1.0,169,0.0,62,2,14,74
QLEARN,0,4,True,59,13.700000000000001,1.0,132,0.0,6,1,12,53
QLEARN,0,5,True,109,14.15,1.0,159,0.0,35,5,11,74
QLEARN,0,6,True,134,12.450000000000001,1.0,154,0.0,63,4,13,71
QLEARN,0,7,False,140,8.55,0.0,132,0.0,77,4,13,63
QLEARN,0,8,True,67,13.450000000000001,1.0,131,0.0,13,0,9,54
QLEARN,0,9,False,140,8.25,0.0,129,0.0,81,3,11,59
QLEARN,0,10,False,140,11.15,0.0,156,0.0,65,6,15,75
QLEARN,0,11,True,107,15.05,1.0,164,0.0,35,3,12,72
QLEARN,0,12,False,140,12.750000000000002,0.0,164,0.0,65,2,12,75
QLEARN,0,13,True,49,13.4,1.0,126,0.0,4,0,8,45
QLEARN,0,14,True,60,14.850000000000001,1.0,142,0.0,7,0,10,53
QLEARN,0,15,False,140,8.75,0.0,133,0.0,75,4,12,65
QLEARN,0,16,True,52,12.700000000000001,1.0,121,0.0,4,1,8,48
QLEARN,0,17,True,74,16.6,1.0,161,0.0,10,0,8,64
QLEARN,0,18,True,102,14.450000000000001,1.0,152,0.0,35,0,13,67
QLEARN,0,19,True,126,14.05,1.0,160,0.0,55,1,12,71
QLEARN,0,20,True,139,11.9,1.0,155,0.0,72,5,12,67
QLEARN,0,21,True,59,13.600000000000001,1.0,131,0.0,10,0,7,49
QLEARN,0,22,False,140,12.750000000000002,0.0,164,0.0,65,2,9,75
QLEARN,0,23,True,125,13.55,1.0,162,0.0,57,4,13,68
QLEARN,0,24,True,106,15.4,1.0,163,0.0,38,0,12,68
QLEARN,0,25,True,139,15.350000000000001,1.0,180,0.0,61,3,11,78
QLEARN,0,26,True,50,13.9,1.0,130,0.0,2,0,10,48
QLEARN,0,27,True,100,18.75,1.0,191,0.0,19,2,10,81
QLEARN,0,28,True,59,13.600000000000001,1.0,134,0.0,8,2,12,51
QLEARN,0,29,True,65,14.200000000000001,1.0,138,0.0,8,1,9,57
QLEARN,1,0,False,140,9.15,0.0,136,0.0,73,4,13,67
QLEARN,1,1,True,88,13.600000000000001,1.0,143,0.0,30,1,9,58
QLEARN,1,2,False,140,9.55,0.0,136,0.0,69,3,12,71
QLEARN,1,3,True,88,14.200000000000001,1.0,146,0.0,24,1,10,64
