condition,seed,episode,success,steps_to_flag,total_reward,external_reward,semantic_gain_total,prophecy_error_mean,repeat_count,error_count,knowledge_reuse_count,unique_action_count
C0,0,0,True,57,6.95,1.0,83,0.0,23,6,8,34
C0,0,1,False,120,9.950000000000001,0.0,156,0.0,61,13,13,59
C0,0,2,False,120,6.050000000000001,0.0,109,0.0,69,7,15,51
C0,0,3,True,57,12.950000000000001,1.0,129,0.0,11,2,13,46
C0,0,4,False,120,12.950000000000001,0.0,162,0.0,53,3,13,67
C0,0,5,True,72,11.5,1.0,126,0.0,26,4,7,46
C0,0,6,True,87,14.55,1.0,154,0.0,25,3,18,62
C0,0,7,False,120,2.3000000000000003,0.0,75,0.0,84,5,9,36
C0,0,8,True,106,14.350000000000001,1.0,172,0.0,41,9,13,65
C0,0,9,True,25,9.0,1.0,83,0.0,2,1,10,23
C0,0,10,False,120,8.700000000000001,0.0,129,0.0,68,4,14,52
C0,0,11,False,120,5.6000000000000005,0.0,113,0.0,78,9,15,42
C0,0,12,False,120,-2.8,0.0,59,0.0,90,21,8,30
C0,0,13,True,83,11.4,1.0,131,0.0,46,2,5,37
C0,0,14,True,35,7.75,1.0,78,0.0,9,3,7,26
C0,0,15,True,39,9.0,1.0,89,0.0,6,3,10,33
C0,0,16,False,120,3.9500000000000006,0.0,90,0.0,81,5,9,39
C0,0,17,True,110,10.4,1.0,132,0.0,60,4,7,50
C0,0,18,True,46,12.0,1.0,116,0.0,12,0,8,34
C0,0,19,False,120,5.550000000000001,0.0,126,0.0,73,17,9,47
C0,0,20,False,120,8.05,0.0,124,0.0,71,4,5,49
C0,0,21,False,120,6.45,0.0,110,0.0,75,4,9,45
C0,0,22,True,87,14.600000000000001,1.0,160,0.0,36,3,6,51
C0,0,23,True,92,8.85,1.0,110,0.0,47,4,10,45
C0,0,24,True,55,6.700000000000001,1.0,86,0.0,22,9,11,33
C0,0,25,True,65,7.45,1.0,87,0.0,33,3,6,32
C0,0,26,False,120,4.5,0.0,91,0.0,76,4,10,44
C0,0,27,True,78,11.05,1.0,124,0.0,35,3,13,43
C0,0,28,False,120,9.15,0.0,130,0.0,69,2,11,51
C0,0,29,False,120,4.8500000000000005,0.0,91,0.0,81,1,12,39
