condition,seed,episode,success,steps_to_flag,total_reward,external_reward,semantic_gain_total,prophecy_error_mean,repeat_count,error_count,knowledge_reuse_count,unique_action_count
DQN_PARTIAL,0,0,True,69,7.8500000000000005,1.0,91,0.0,29,4,9,40
DQN_PARTIAL,0,1,True,112,12.05,1.0,142,0.0,63,0,16,49
DQN_PARTIAL,0,2,False,120,5.1000000000000005,0.0,98,0.0,78,4,8,42
DQN_PARTIAL,0,3,True,83,14.750000000000002,1.0,148,0.0,21,0,16,62
DQN_PARTIAL,0,4,True,118,10.4,1.0,125,0.0,62,0,17,56
DQN_PARTIAL,0,5,False,120,0.15000000000000002,0.0,49,0.0,95,0,4,25
DQN_PARTIAL,0,6,True,87,16.3,1.0,163,0.0,16,1,13,71
DQN_PARTIAL,0,7,False,120,7.4,0.0,110,0.0,68,1,11,52
DQN_PARTIAL,0,8,True,85,16.200000000000003,1.0,170,0.0,20,4,12,65
DQN_PARTIAL,0,9,True,38,9.850000000000001,1.0,90,0.0,3,0,7,35
DQN_PARTIAL,0,10,False,120,8.600000000000001,0.0,120,0.0,68,0,14,52
DQN_PARTIAL,0,11,True,102,14.200000000000001,1.0,149,0.0,34,0,15,68
DQN_PARTIAL,0,12,False,120,-3.3,0.0,59,0.0,92,23,6,28
DQN_PARTIAL,0,13,True,63,10.850000000000001,1.0,109,0.0,17,1,7,46
DQN_PARTIAL,0,14,True,69,14.500000000000002,1.0,141,0.0,8,1,12,61
DQN_PARTIAL,0,15,True,47,10.9,1.0,103,0.0,8,0,7,39
DQN_PARTIAL,0,16,False,120,1.1000000000000003,0.0,73,0.0,84,10,12,36
DQN_PARTIAL,0,17,False,120,4.45,0.0,86,0.0,75,2,4,45
DQN_PARTIAL,0,18,True,74,11.25,1.0,117,0.0,29,0,13,45
DQN_PARTIAL,0,19,False,120,2.1000000000000005,0.0,79,0.0,84,8,10,36
DQN_PARTIAL,0,20,False,120,13.250000000000002,0.0,163,0.0,53,2,14,67
DQN_PARTIAL,0,21,False,120,4.65,0.0,92,0.0,71,5,11,49
DQN_PARTIAL,0,22,False,120,9.3,0.0,125,0.0,64,0,8,56
DQN_PARTIAL,0,23,True,93,11.25,1.0,124,0.0,39,1,11,54
DQN_PARTIAL,0,24,True,54,10.25,1.0,98,0.0,11,0,6,43
DQN_PARTIAL,0,25,True,47,11.15,1.0,103,0.0,3,0,4,44
DQN_PARTIAL,0,26,True,102,12.700000000000001,1.0,139,0.0,44,0,10,58
DQN_PARTIAL,0,27,True,84,16.35,1.0,160,0.0,13,0,11,71
DQN_PARTIAL,0,28,True,34,11.3,1.0,104,0.0,2,0,6,32
