condition,seed,episode,success,steps_to_flag,total_reward,external_reward,semantic_gain_total,prophecy_error_mean,repeat_count,error_count,knowledge_reuse_count,unique_action_count
QLEARN,0,0,True,46,8.950000000000001,1.0,85,0.0,11,0,10,35
QLEARN,0,1,False,120,5.550000000000001,0.0,93,0.0,75,0,7,45
QLEARN,0,2,False,120,9.700000000000001,0.0,143,0.0,52,10,14,68
QLEARN,0,3,False,120,10.850000000000001,0.0,138,0.0,59,0,10,61
QLEARN,0,4,True,63,14.850000000000001,1.0,142,0.0,7,0,8,56
QLEARN,0,5,True,30,8.850000000000001,1.0,81,0.0,1,1,5,29
QLEARN,0,6,True,97,15.4,1.0,163,0.0,26,3,14,71
QLEARN,0,7,False,120,11.450000000000001,0.0,143,0.0,49,2,11,71
QLEARN,0,8,True,77,15.55,1.0,158,0.0,13,3,14,64
QLEARN,0,9,True,88,11.850000000000001,1.0,127,0.0,37,0,8,51
QLEARN,0,10,False,120,8.9,0.0,126,0.0,62,3,12,58
QLEARN,0,11,True,96,11.25,1.0,124,0.0,43,0,10,53
QLEARN,0,12,True,120,11.950000000000001,1.0,147,0.0,67,2,7,53
QLEARN,0,13,True,42,9.3,1.0,90,0.0,6,2,9,36
QLEARN,0,14,True,91,12.950000000000001,1.0,137,0.0,35,0,9,56
QLEARN,0,15,True,39,11.5,1.0,106,0.0,2,0,4,37
QLEARN,0,16,True,65,10.850000000000001,1.0,112,0.0,15,3,10,50
QLEARN,0,17,False,120,3.2500000000000004,0.0,78,0.0,79,3,4,41
QLEARN,0,18,True,31,9.450000000000001,1.0,88,0.0,3,1,5,28
QLEARN,0,19,False,120,10.450000000000001,0.0,138,0.0,55,3,11,65
QLEARN,0,20,False,120,11.100000000000001,0.0,140,0.0,58,0,9,62
QLEARN,0,21,False,120,6.15,0.0,99,0.0,71,1,9,49
QLEARN,0,22,True,115,14.100000000000001,1.0,157,0.0,48,1,14,67
QLEARN,0,23,True,104,12.4,1.0,139,0.0,42,2,8,62
QLEARN,0,24,True,91,7.7,1.0,92,0.0,50,0,8,41
QLEARN,0,25,True,32,8.6,1.0,76,0.0,0,0,4,32
QLEARN,0,26,True,78,13.5,1.0,137,0.0,24,0,8,54
QLEARN,0,27,True,108,12.9,1.0,141,0.0,44,0,9,64
QLEARN,0,28,True,31,11.3,1.0,104,0.0,2,0,5,29
